model_key,condition,phase,agent_i,agent_j,community_i,community_j,connected_correlation,between_cluster_sd,independent_clusters,source_type,graph_distance,metric,estimate,ci_low,ci_high,clusters_total,undefined_clusters,bootstrap_replicates
granite,field_persistent,disruption,0.0,0.0,0.0,0.0,0.1548148148148148,0.3792173009197661,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,0.0,1.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,0.0,2.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,0.0,3.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,0.0,4.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,0.0,5.0,0.0,0.0,0.0985185185185185,0.2413201005853056,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,0.0,6.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,0.0,7.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,0.0,8.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,0.0,9.0,0.0,1.0,0.1249074074074074,0.305959413242084,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,0.0,10.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,0.0,11.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,0.0,12.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,0.0,13.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,0.0,14.0,0.0,1.0,0.0527777777777777,0.1292786253135566,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,0.0,15.0,0.0,1.0,0.0686111111111111,0.1680622129076236,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,1.0,0.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,1.0,1.0,0.0,0.0,0.1388773148148148,0.3401785581441592,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,1.0,2.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,1.0,3.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,1.0,4.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,1.0,5.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,1.0,6.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,1.0,7.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,1.0,8.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,1.0,9.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,1.0,10.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,1.0,11.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,1.0,12.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,1.0,13.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,1.0,14.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,1.0,15.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,0.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,1.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,2.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,3.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,4.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,5.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,6.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,7.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,8.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,9.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,10.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,11.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,12.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,13.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,14.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
