panel_id,disruption,phase,node,community,belief,action,confidence,uncertainty,memory
V14Q_g0_nominal,nominal,baseline,0,0,-1,-1,0.65,0.6474466390346325,1
V14Q_g0_nominal,nominal,baseline,1,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_nominal,nominal,baseline,2,0,1,1,0.7,0.6108643020548935,2
V14Q_g0_nominal,nominal,baseline,3,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_nominal,nominal,baseline,4,0,1,1,0.75,0.5623351446188083,2
V14Q_g0_nominal,nominal,baseline,5,0,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_nominal,nominal,baseline,6,0,1,1,0.75,0.5623351446188083,2
V14Q_g0_nominal,nominal,baseline,7,0,-1,-1,0.65,0.6474466390346325,1
V14Q_g0_nominal,nominal,baseline,8,1,1,1,0.68,0.6268694575724263,2
V14Q_g0_nominal,nominal,baseline,9,1,1,1,0.68,0.6268694575724263,2
V14Q_g0_nominal,nominal,baseline,10,1,-1,-1,0.6,0.6730116670092565,1
V14Q_g0_nominal,nominal,baseline,11,1,1,1,0.75,0.5623351446188083,2
V14Q_g0_nominal,nominal,baseline,12,1,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_nominal,nominal,baseline,13,1,1,1,0.7,0.6108643020548935,2
V14Q_g0_nominal,nominal,baseline,14,1,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_nominal,nominal,baseline,15,1,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_nominal,nominal,disruption,0,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_nominal,nominal,disruption,1,0,-1,-1,0.75,0.5623351446188083,1
V14Q_g0_nominal,nominal,disruption,2,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_nominal,nominal,disruption,3,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_nominal,nominal,disruption,4,0,1,1,0.76,0.5510799280869728,2
V14Q_g0_nominal,nominal,disruption,5,0,-1,-1,0.7,0.6108643020548935,1
V14Q_g0_nominal,nominal,disruption,6,0,1,1,0.75,0.5623351446188083,2
