model_key,window_sweeps,held_out_cluster,condition,training_clusters,held_out_cluster_excluded,training_nominal_threshold_95,maximum_distance,mean_distance
granite,3,V15G_g0,field_markovized,"[""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.096557610185775,69.68426698993885,13.100527497364228
granite,3,V15G_g0,field_persistent,"[""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.096557610185775,39.42488019448824,14.742440805274343
granite,3,V15G_g0,field_scrambled,"[""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.096557610185775,34.894474039454416,14.247491157765227
granite,3,V15G_g0,nominal_markovized,"[""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.096557610185775,13.56705893415463,5.082879528272911
granite,3,V15G_g1,field_markovized,"[""V15G_g0"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.242908792146725,33.239200297044775,9.565082339414586
granite,3,V15G_g1,field_persistent,"[""V15G_g0"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.242908792146725,12.147887912121387,9.218667078131588
granite,3,V15G_g1,field_scrambled,"[""V15G_g0"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.242908792146725,48.286091557640006,12.142135884292914
granite,3,V15G_g1,nominal_markovized,"[""V15G_g0"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.242908792146725,7.045711242843698,3.407504639241083
granite,3,V15G_g2,field_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.720737909478476,88.1195222117271,10.765305018187538
granite,3,V15G_g2,field_persistent,"[""V15G_g0"", ""V15G_g1"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.720737909478476,23.13268990720381,12.952699034471234
granite,3,V15G_g2,field_scrambled,"[""V15G_g0"", ""V15G_g1"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.720737909478476,25.72672933791756,12.518614428822735
granite,3,V15G_g2,nominal_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.720737909478476,4.871291956927236,3.5657219987645346
granite,3,V15G_g3,field_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g4"", ""V15G_g5""]",True,5.802732433945289,11.307892212659683,5.810937408876065
granite,3,V15G_g3,field_persistent,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g4"", ""V15G_g5""]",True,5.802732433945289,43.260725007546114,12.268296024292885
granite,3,V15G_g3,field_scrambled,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g4"", ""V15G_g5""]",True,5.802732433945289,30.36116607996215,10.408857586827473
granite,3,V15G_g3,nominal_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g4"", ""V15G_g5""]",True,5.802732433945289,5.524704502267235,2.7189362721510117
granite,3,V15G_g4,field_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g5""]",True,5.516131405985291,109.71236354078565,14.486686895530056
granite,3,V15G_g4,field_persistent,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g5""]",True,5.516131405985291,17.819625758591723,13.422095312825686
granite,3,V15G_g4,field_scrambled,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g5""]",True,5.516131405985291,25.549082986018046,13.321209535408517
granite,3,V15G_g4,nominal_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g5""]",True,5.516131405985291,8.481306693647271,3.532595364269789
granite,3,V15G_g5,field_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4""]",True,5.176423936739984,70.33043342470295,15.331095143725252
granite,3,V15G_g5,field_persistent,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4""]",True,5.176423936739984,46.255717346296066,13.206972307881658
granite,3,V15G_g5,field_scrambled,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4""]",True,5.176423936739984,45.56255921228609,16.939211988557602
granite,3,V15G_g5,nominal_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4""]",True,5.176423936739984,70.24382002537493,5.891481736287776
granite,5,V15G_g0,field_markovized,"[""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.458678911092433,50.579485242440995,13.928378075175035
granite,5,V15G_g0,field_persistent,"[""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.458678911092433,25.564752111560807,14.951517834667122
granite,5,V15G_g0,field_scrambled,"[""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.458678911092433,20.287674822789462,14.092773441720235
granite,5,V15G_g0,nominal_markovized,"[""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.458678911092433,10.727740418261789,5.255384111666211
granite,5,V15G_g1,field_markovized,"[""V15G_g0"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.757765829513417,25.991447860661328,9.718890988352959
granite,5,V15G_g1,field_persistent,"[""V15G_g0"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.757765829513417,12.642994673564898,9.323741398439772
granite,5,V15G_g1,field_scrambled,"[""V15G_g0"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.757765829513417,33.70231655226041,12.446204695947687
granite,5,V15G_g1,nominal_markovized,"[""V15G_g0"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.757765829513417,6.526909473152254,3.573224347433322
granite,5,V15G_g2,field_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.558147085650867,54.95738009815352,11.734787374153472
granite,5,V15G_g2,field_persistent,"[""V15G_g0"", ""V15G_g1"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.558147085650867,26.754503886849022,13.238204855713645
granite,5,V15G_g2,field_scrambled,"[""V15G_g0"", ""V15G_g1"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.558147085650867,22.775711585309946,13.272149006988977
granite,5,V15G_g2,nominal_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.558147085650867,4.72190113552027,3.650619840424666
granite,5,V15G_g3,field_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g4"", ""V15G_g5""]",True,5.659175603412318,12.072129374355386,6.192747145063761
granite,5,V15G_g3,field_persistent,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g4"", ""V15G_g5""]",True,5.659175603412318,30.752401526557062,12.843495072652493
granite,5,V15G_g3,field_scrambled,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g4"", ""V15G_g5""]",True,5.659175603412318,25.5851530093448,10.595514491105055
granite,5,V15G_g3,nominal_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g4"", ""V15G_g5""]",True,5.659175603412318,4.8557913115285904,2.8101856285314617
granite,5,V15G_g4,field_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g5""]",True,5.519943939324743,87.44411252243731,16.33356649700511
granite,5,V15G_g4,field_persistent,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g5""]",True,5.519943939324743,20.885332946169793,13.856260424912282
granite,5,V15G_g4,field_scrambled,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g5""]",True,5.519943939324743,27.812846238676176,14.266542941216574
granite,5,V15G_g4,nominal_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g5""]",True,5.519943939324743,11.126184141366844,3.8926143903913486
granite,5,V15G_g5,field_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4""]",True,5.6346683775974755,56.741914330027,17.45549420930919
granite,5,V15G_g5,field_persistent,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4""]",True,5.6346683775974755,29.81645543480119,13.28100043295296
granite,5,V15G_g5,field_scrambled,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4""]",True,5.6346683775974755,75.44293185534282,18.251847147205964
granite,5,V15G_g5,nominal_markovized,"[""V15G_g0"", ""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4""]",True,5.6346683775974755,54.32077978492191,6.3945569171204815
granite,7,V15G_g0,field_markovized,"[""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.204355572289442,38.4456198282875,14.800407430115401
granite,7,V15G_g0,field_persistent,"[""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.204355572289442,23.196866940665206,15.309414903064544
granite,7,V15G_g0,field_scrambled,"[""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.204355572289442,20.267774035078414,14.08326200188654
granite,7,V15G_g0,nominal_markovized,"[""V15G_g1"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.204355572289442,9.951284102450975,5.420598409836142
granite,7,V15G_g1,field_markovized,"[""V15G_g0"", ""V15G_g2"", ""V15G_g3"", ""V15G_g4"", ""V15G_g5""]",True,5.507458181795823,23.81776181343284,10.009033211372174
