condition,source,target,weight
reciprocal,0,1,0.5
reciprocal,0,7,0.5
reciprocal,1,0,0.5
reciprocal,1,2,0.5
reciprocal,2,1,0.5
reciprocal,2,3,0.5
reciprocal,3,2,0.5
reciprocal,3,4,0.5
reciprocal,4,3,0.5
reciprocal,4,5,0.5
reciprocal,5,4,0.5
reciprocal,5,6,0.5
reciprocal,6,5,0.5
reciprocal,6,7,0.5
reciprocal,7,0,0.5
reciprocal,7,6,0.5
nonreciprocal,0,1,0.9
nonreciprocal,0,7,0.09999999999999998
nonreciprocal,1,0,0.09999999999999998
nonreciprocal,1,2,0.9
nonreciprocal,2,1,0.09999999999999998
nonreciprocal,2,3,0.9
nonreciprocal,3,2,0.09999999999999998
nonreciprocal,3,4,0.9
nonreciprocal,4,3,0.09999999999999998
nonreciprocal,4,5,0.9
nonreciprocal,5,4,0.09999999999999998
nonreciprocal,5,6,0.9
nonreciprocal,6,5,0.09999999999999998
nonreciprocal,6,7,0.9
nonreciprocal,7,0,0.9
nonreciprocal,7,6,0.09999999999999998
