figure,filename,scientific_purpose,recommendation,source_data_prefix,limitations
1,figure_01_micro_to_macro_architecture.pdf,information boundary,main,figure_01_micro_to_macro_architecture,finite-size single-model simulation; effective quantities are not physical thermodynamics
2,figure_02_individual_response_law.pdf,microscopic response,main,figure_02_individual_response_law,finite-size single-model simulation; effective quantities are not physical thermodynamics
3,figure_03_surrogate_stability.pdf,surrogate stability,main,figure_03_surrogate_stability,finite-size single-model simulation; effective quantities are not physical thermodynamics
4,figure_04_direct_llm_order_map.pdf,direct order map,main,figure_04_direct_llm_order_map,finite-size single-model simulation; effective quantities are not physical thermodynamics
5,figure_05_susceptibility_correlation_time.pdf,fluctuation response,main,figure_05_susceptibility_correlation_time,finite-size single-model simulation; effective quantities are not physical thermodynamics
6,figure_06_entropy_decomposition.pdf,entropy decomposition,main,figure_06_entropy_decomposition,finite-size single-model simulation; effective quantities are not physical thermodynamics
7,figure_07_energy_fluctuations.pdf,reference energy,supplemental_candidate,figure_07_energy_fluctuations,finite-size single-model simulation; effective quantities are not physical thermodynamics
8,figure_08_energy_entropy_nominal.pdf,nominal phase portrait,supplemental_candidate,figure_08_energy_entropy_nominal,finite-size single-model simulation; effective quantities are not physical thermodynamics
9,figure_09_energy_entropy_field_reversal.pdf,field-reversal portrait,main,figure_09_energy_entropy_field_reversal,finite-size single-model simulation; effective quantities are not physical thermodynamics
10,figure_10_energy_entropy_partition.pdf,partition portrait,main,figure_10_energy_entropy_partition,finite-size single-model simulation; effective quantities are not physical thermodynamics
11,figure_11_energy_entropy_corruption.pdf,corruption portrait,main,figure_11_energy_entropy_corruption,finite-size single-model simulation; effective quantities are not physical thermodynamics
12,figure_12_magnetization_entropy_trajectories.pdf,order-entropy trajectories,supplemental_candidate,figure_12_magnetization_entropy_trajectories,finite-size single-model simulation; effective quantities are not physical thermodynamics
13,figure_13_network_partition_snapshots.pdf,network snapshots,supplemental_candidate,figure_13_network_partition_snapshots,finite-size single-model simulation; effective quantities are not physical thermodynamics
14,figure_14_disruption_response_recovery.pdf,disruption response,main,figure_14_disruption_response_recovery,finite-size single-model simulation; effective quantities are not physical thermodynamics
15,figure_15_macrostate_distance.pdf,nominal distance,supplemental_candidate,figure_15_macrostate_distance,finite-size single-model simulation; effective quantities are not physical thermodynamics
16,figure_16_memory_irreversibility.pdf,memory irreversibility,main,figure_16_memory_irreversibility,finite-size single-model simulation; effective quantities are not physical thermodynamics
17,figure_17_memory_loop_area.pdf,memory hysteresis,supplemental_candidate,figure_17_memory_loop_area,finite-size single-model simulation; effective quantities are not physical thermodynamics
18,figure_18_surrogate_vs_llm.pdf,surrogate comparison,supplemental_candidate,figure_18_surrogate_vs_llm,finite-size single-model simulation; effective quantities are not physical thermodynamics
19,figure_19_representation_ablation.pdf,representation ablation,main,figure_19_representation_ablation,finite-size single-model simulation; effective quantities are not physical thermodynamics
20,figure_20_discovery_replication_confirmation.pdf,discovery-confirmation,main,figure_20_discovery_confirmation,finite-size single-model simulation; effective quantities are not physical thermodynamics
21,figure_21_finite_size.pdf,finite-size comparison,supplemental_candidate,figure_21_finite_size,finite-size single-model simulation; effective quantities are not physical thermodynamics
22,figure_22_observable_correlation.pdf,observable redundancy,supplemental_candidate,figure_22_observable_correlation,finite-size single-model simulation; effective quantities are not physical thermodynamics
