hypothesis,contrast,metric,estimate,ci_low,ci_high,independent_clusters,bootstrap_replicates,one_sided_sign_flip_p,hypothesis_raw_p,hypothesis_holm_p
H1,coupling_0.80_minus_0.35,mean_abs_belief_magnetization,-0.0005918560606060606,-0.006865530303030303,0.005681818181818181,6.0,10000.0,0.5956404359564044,0.9657034296570343,1.0
H2,noise_0.85_minus_0.50,mean_abs_belief_magnetization,0.007753314393939393,0.0013020833333333333,0.01521070075757576,6.0,10000.0,0.9666033396660334,0.9714028597140286,1.0
H1,coupling_0.80_minus_0.35,belief_susceptibility,-0.0034549882987382967,-0.01339538740580407,0.00877631627631628,6.0,10000.0,0.7277272272772722,0.9657034296570343,1.0
H2,noise_0.85_minus_0.50,belief_susceptibility,0.0159515022015022,0.0025156556406556413,0.03309867601534268,6.0,10000.0,0.9714028597140286,0.9714028597140286,1.0
H1,coupling_0.80_minus_0.35,belief_integrated_autocorrelation_time_updates,-3.555540339093918,-8.910447029270252,-0.23677851894326007,6.0,10000.0,0.9657034296570343,0.9657034296570343,1.0
H2,noise_0.85_minus_0.50,belief_integrated_autocorrelation_time_updates,3.2319270447721986,0.7516506670318011,5.484369462966373,6.0,10000.0,0.9702029797020298,0.9714028597140286,1.0
H3,persistent_minus_markovized,adjusted_block_irreversibility_nats_per_update,0.04029769607263655,0.028825060315121612,0.058556017806128256,6.0,10000.0,0.015998400159984,0.015998400159984,0.047995200479952004
H4,,maximum_macrostate_departure_disrupted_minus_nominal,14.544585971294385,14.05474997269651,14.86749043166538,4.0,10000.0,0.06509349065093491,,
H5,,full_representation_accuracy_minus_chance,0.25,0.25,0.25,4.0,10000.0,0.0627937206279372,,
H6,,full_accuracy_minus_strongest_reduced,0.1875,0.0625,0.25,4.0,10000.0,0.12268773122687732,,
