panel_id,disruption,phase,source,target,active,message_count,cross_community
C_quench_n16_g0_nominal,nominal,baseline,0,1,1,8,0
C_quench_n16_g0_nominal,nominal,baseline,0,7,1,6,0
C_quench_n16_g0_nominal,nominal,baseline,0,15,1,1,1
C_quench_n16_g0_nominal,nominal,baseline,1,0,1,5,0
C_quench_n16_g0_nominal,nominal,baseline,1,2,1,7,0
C_quench_n16_g0_nominal,nominal,baseline,1,14,1,3,1
C_quench_n16_g0_nominal,nominal,baseline,2,1,1,6,0
C_quench_n16_g0_nominal,nominal,baseline,2,3,1,3,0
C_quench_n16_g0_nominal,nominal,baseline,2,10,1,6,1
C_quench_n16_g0_nominal,nominal,baseline,3,2,1,5,0
C_quench_n16_g0_nominal,nominal,baseline,3,4,1,8,0
C_quench_n16_g0_nominal,nominal,baseline,3,11,1,2,1
C_quench_n16_g0_nominal,nominal,baseline,4,3,1,4,0
C_quench_n16_g0_nominal,nominal,baseline,4,5,1,6,0
C_quench_n16_g0_nominal,nominal,baseline,4,13,1,5,1
C_quench_n16_g0_nominal,nominal,baseline,5,4,1,4,0
C_quench_n16_g0_nominal,nominal,baseline,5,6,1,8,0
C_quench_n16_g0_nominal,nominal,baseline,5,8,1,3,1
C_quench_n16_g0_nominal,nominal,baseline,6,5,1,9,0
C_quench_n16_g0_nominal,nominal,baseline,6,7,1,5,0
C_quench_n16_g0_nominal,nominal,baseline,6,12,1,1,1
C_quench_n16_g0_nominal,nominal,baseline,7,0,1,4,0
C_quench_n16_g0_nominal,nominal,baseline,7,6,1,4,0
C_quench_n16_g0_nominal,nominal,baseline,7,9,1,7,1
C_quench_n16_g0_nominal,nominal,baseline,8,5,1,7,1
C_quench_n16_g0_nominal,nominal,baseline,8,9,1,6,0
C_quench_n16_g0_nominal,nominal,baseline,8,15,1,2,0
C_quench_n16_g0_nominal,nominal,baseline,9,7,1,4,1
C_quench_n16_g0_nominal,nominal,baseline,9,8,1,3,0
C_quench_n16_g0_nominal,nominal,baseline,9,10,1,8,0
C_quench_n16_g0_nominal,nominal,baseline,10,2,1,10,1
C_quench_n16_g0_nominal,nominal,baseline,10,9,1,2,0
C_quench_n16_g0_nominal,nominal,baseline,10,11,1,3,0
C_quench_n16_g0_nominal,nominal,baseline,11,3,1,5,1
C_quench_n16_g0_nominal,nominal,baseline,11,10,1,7,0
C_quench_n16_g0_nominal,nominal,baseline,11,12,1,3,0
C_quench_n16_g0_nominal,nominal,baseline,12,6,1,5,1
C_quench_n16_g0_nominal,nominal,baseline,12,11,1,6,0
C_quench_n16_g0_nominal,nominal,baseline,12,13,1,4,0
C_quench_n16_g0_nominal,nominal,baseline,13,4,1,7,1
C_quench_n16_g0_nominal,nominal,baseline,13,12,1,2,0
C_quench_n16_g0_nominal,nominal,baseline,13,14,1,6,0
C_quench_n16_g0_nominal,nominal,baseline,14,1,1,6,1
C_quench_n16_g0_nominal,nominal,baseline,14,13,1,4,0
C_quench_n16_g0_nominal,nominal,baseline,14,15,1,5,0
C_quench_n16_g0_nominal,nominal,baseline,15,0,1,5,1
C_quench_n16_g0_nominal,nominal,baseline,15,8,1,6,0
C_quench_n16_g0_nominal,nominal,baseline,15,14,1,4,0
C_quench_n16_g0_nominal,nominal,disruption,0,1,1,2,0
C_quench_n16_g0_nominal,nominal,disruption,0,7,1,10,0
C_quench_n16_g0_nominal,nominal,disruption,0,15,1,3,1
C_quench_n16_g0_nominal,nominal,disruption,1,0,1,6,0
C_quench_n16_g0_nominal,nominal,disruption,1,2,1,6,0
C_quench_n16_g0_nominal,nominal,disruption,1,14,1,3,1
C_quench_n16_g0_nominal,nominal,disruption,2,1,1,2,0
C_quench_n16_g0_nominal,nominal,disruption,2,3,1,6,0
