panel_id,disruption,phase,node,community,belief,action,confidence,confidence_uncertainty
C_quench_n16_g0_network_partition,network_partition,baseline,0,0,-1,-1,0.7,0.6108643020548935
C_quench_n16_g0_network_partition,network_partition,baseline,1,0,-1,-1,0.75,0.5623351446188083
C_quench_n16_g0_network_partition,network_partition,baseline,2,0,1,1,0.7,0.6108643020548935
C_quench_n16_g0_network_partition,network_partition,baseline,3,0,-1,-1,0.8,0.5004024235381879
C_quench_n16_g0_network_partition,network_partition,baseline,4,0,-1,-1,0.8,0.5004024235381879
C_quench_n16_g0_network_partition,network_partition,baseline,5,0,1,1,0.8,0.5004024235381879
C_quench_n16_g0_network_partition,network_partition,baseline,6,0,1,1,0.8,0.5004024235381879
C_quench_n16_g0_network_partition,network_partition,baseline,7,0,1,1,0.75,0.5623351446188083
C_quench_n16_g0_network_partition,network_partition,baseline,8,1,1,1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,baseline,9,1,1,1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,baseline,10,1,-1,-1,0.65,0.6474466390346325
C_quench_n16_g0_network_partition,network_partition,baseline,11,1,-1,-1,0.8,0.5004024235381879
C_quench_n16_g0_network_partition,network_partition,baseline,12,1,1,1,0.78,0.5269079614313803
C_quench_n16_g0_network_partition,network_partition,baseline,13,1,-1,-1,0.8,0.5004024235381879
C_quench_n16_g0_network_partition,network_partition,baseline,14,1,1,1,0.8,0.5004024235381879
C_quench_n16_g0_network_partition,network_partition,baseline,15,1,-1,-1,0.7,0.6108643020548935
C_quench_n16_g0_network_partition,network_partition,disruption,0,0,-1,-1,0.75,0.5623351446188083
C_quench_n16_g0_network_partition,network_partition,disruption,1,0,-1,-1,0.75,0.5623351446188083
C_quench_n16_g0_network_partition,network_partition,disruption,2,0,1,1,0.75,0.5623351446188083
C_quench_n16_g0_network_partition,network_partition,disruption,3,0,-1,-1,0.8,0.5004024235381879
C_quench_n16_g0_network_partition,network_partition,disruption,4,0,-1,-1,0.8,0.5004024235381879
C_quench_n16_g0_network_partition,network_partition,disruption,5,0,1,1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,disruption,6,0,1,1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,disruption,7,0,1,1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,disruption,8,1,1,1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,disruption,9,1,1,1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,disruption,10,1,-1,-1,0.8,0.5004024235381879
C_quench_n16_g0_network_partition,network_partition,disruption,11,1,-1,-1,0.8,0.5004024235381879
C_quench_n16_g0_network_partition,network_partition,disruption,12,1,1,1,0.78,0.5269079614313803
C_quench_n16_g0_network_partition,network_partition,disruption,13,1,-1,-1,0.8,0.5004024235381879
C_quench_n16_g0_network_partition,network_partition,disruption,14,1,1,1,0.8,0.5004024235381879
C_quench_n16_g0_network_partition,network_partition,disruption,15,1,-1,-1,0.7,0.6108643020548935
C_quench_n16_g0_network_partition,network_partition,recovery,0,0,-1,-1,0.75,0.5623351446188083
C_quench_n16_g0_network_partition,network_partition,recovery,1,0,-1,-1,0.75,0.5623351446188083
C_quench_n16_g0_network_partition,network_partition,recovery,2,0,1,1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,recovery,3,0,-1,-1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,recovery,4,0,-1,-1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,recovery,5,0,1,1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,recovery,6,0,1,1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,recovery,7,0,1,1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,recovery,8,1,1,1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,recovery,9,1,1,1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,recovery,10,1,-1,-1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,recovery,11,1,-1,-1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,recovery,12,1,1,1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,recovery,13,1,-1,-1,0.85,0.4227090878059909
C_quench_n16_g0_network_partition,network_partition,recovery,14,1,1,1,0.8,0.5004024235381879
C_quench_n16_g0_network_partition,network_partition,recovery,15,1,-1,-1,0.75,0.5623351446188083
