gate,criterion,observed,threshold,pass,evidence
A,replay mismatches,0,0,True,reproducibility/replay/replay_summary.json
A,maximum reconstructed conservation residual,1.3002932064409833e-12,1e-09,True,reproducibility/replay/replay_summary.json
A,privacy failures,0,0,True,reproducibility/replay/replay_summary.json
B,humanitarian: independent panels,3,3,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,humanitarian: accepted counterfactual probes,168,50,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,humanitarian: beneficial probes,69,15,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,humanitarian: harmful probes,99,15,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,humanitarian: beneficial fraction lower bound,0.4107142857142857,0.08,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,humanitarian: beneficial fraction upper bound,0.4107142857142857,0.92,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,humanitarian: physical action types,5,4,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,humanitarian: causal chain depth,3,3,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,humanitarian: cross-community messages,8845,1,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,humanitarian: KPI harm AUC not near-perfect,0.5030010247401552,0.92,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
C,humanitarian: competitive panels,3,3,True,pilots_iteration3/analysis/mechanism_variation.csv
C,humanitarian: Shannon standard deviation,0.09060452357477246,0.03,True,pilots_iteration3/analysis/mechanism_variation.csv
C,humanitarian: JS standard deviation,0.025360078603301188,0.01,True,pilots_iteration3/analysis/mechanism_variation.csv
C,humanitarian: graph disagreement standard deviation,0.031719549125427855,0.01,True,pilots_iteration3/analysis/mechanism_variation.csv
C,humanitarian: mean distributed contributors,2.3214285714285716,1.5,True,pilots_iteration3/analysis/mechanism_variation.csv
C,humanitarian: single entropy score AUC not a disguised label,0.6111843068364808,0.95,True,pilots_iteration3/analysis/mechanism_variation.csv
B,utility_restoration: independent panels,7,3,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,utility_restoration: accepted counterfactual probes,369,50,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,utility_restoration: beneficial probes,41,15,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,utility_restoration: harmful probes,328,15,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,utility_restoration: beneficial fraction lower bound,0.1111111111111111,0.08,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,utility_restoration: beneficial fraction upper bound,0.1111111111111111,0.92,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,utility_restoration: physical action types,5,4,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,utility_restoration: causal chain depth,3,3,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,utility_restoration: cross-community messages,28774,1,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
B,utility_restoration: KPI harm AUC not near-perfect,0.650208209399167,0.92,True,pilots_iteration3/candidate_decisions.csv; pilots_iteration3/episode_summary.csv
C,utility_restoration: competitive panels,7,3,True,pilots_iteration3/analysis/mechanism_variation.csv
C,utility_restoration: Shannon standard deviation,0.08485060182452354,0.03,True,pilots_iteration3/analysis/mechanism_variation.csv
C,utility_restoration: JS standard deviation,0.021822449839661542,0.01,True,pilots_iteration3/analysis/mechanism_variation.csv
C,utility_restoration: graph disagreement standard deviation,0.020897710188225106,0.01,True,pilots_iteration3/analysis/mechanism_variation.csv
C,utility_restoration: mean distributed contributors,2.6910569105691056,1.5,True,pilots_iteration3/analysis/mechanism_variation.csv
C,utility_restoration: single entropy score AUC not a disguised label,0.47070196311719215,0.95,True,pilots_iteration3/analysis/mechanism_variation.csv
