panel_id,application,complexity,coupling,fragmentation,network_disruption,information_condition,topology_family,environment_seed,purpose,reference_controller,reference_sketch_policy,operational_communication_policy,counterfactual_limit_per_epoch
v7-response_surface-humanitarian-787001,humanitarian,medium,low,low,low,private_fragmented,random_geometric,787001,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787002,humanitarian,medium,low,low,low,private_fragmented,small_world,787002,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787003,humanitarian,medium,low,low,low,private_fragmented,modular,787003,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787004,humanitarian,medium,low,medium,medium,private_fragmented,small_world,787004,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787005,humanitarian,medium,low,medium,medium,private_fragmented,modular,787005,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787006,humanitarian,medium,low,medium,medium,private_fragmented,random_geometric,787006,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787007,humanitarian,medium,low,high,high,private_fragmented,modular,787007,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787008,humanitarian,medium,low,high,high,private_fragmented,random_geometric,787008,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787009,humanitarian,medium,low,high,high,private_fragmented,small_world,787009,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787010,humanitarian,medium,medium,low,medium,private_fragmented,small_world,787010,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787011,humanitarian,medium,medium,low,medium,private_fragmented,modular,787011,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787012,humanitarian,medium,medium,low,medium,private_fragmented,random_geometric,787012,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787013,humanitarian,medium,medium,medium,medium,private_fragmented,modular,787013,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787014,humanitarian,medium,medium,medium,medium,private_fragmented,random_geometric,787014,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787015,humanitarian,medium,medium,medium,medium,private_fragmented,small_world,787015,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787016,humanitarian,medium,medium,high,high,private_fragmented,random_geometric,787016,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787017,humanitarian,medium,medium,high,high,private_fragmented,small_world,787017,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787018,humanitarian,medium,medium,high,high,private_fragmented,modular,787018,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787019,humanitarian,medium,high,low,high,private_fragmented,modular,787019,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787020,humanitarian,medium,high,low,high,private_fragmented,random_geometric,787020,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787021,humanitarian,medium,high,low,high,private_fragmented,small_world,787021,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787022,humanitarian,medium,high,medium,high,private_fragmented,random_geometric,787022,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787023,humanitarian,medium,high,medium,high,private_fragmented,small_world,787023,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787024,humanitarian,medium,high,medium,high,private_fragmented,modular,787024,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787025,humanitarian,medium,high,high,high,private_fragmented,small_world,787025,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787026,humanitarian,medium,high,high,high,private_fragmented,modular,787026,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-humanitarian-787027,humanitarian,medium,high,high,high,private_fragmented,random_geometric,787027,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-humanitarian-787028,humanitarian,medium,high,high,high,private_fragmented,random_geometric,787028,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-humanitarian-787029,humanitarian,medium,high,high,high,private_fragmented,small_world,787029,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-humanitarian-787030,humanitarian,medium,high,high,high,private_fragmented,modular,787030,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-humanitarian-787031,humanitarian,medium,high,high,high,private_fragmented,random_geometric,787031,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-humanitarian-787032,humanitarian,medium,high,high,high,private_fragmented,small_world,787032,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-humanitarian-787033,humanitarian,medium,high,high,high,private_fragmented,modular,787033,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-humanitarian-787034,humanitarian,medium,high,high,high,private_fragmented,random_geometric,787034,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-humanitarian-787035,humanitarian,medium,high,high,high,private_fragmented,small_world,787035,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-high_complexity-humanitarian-787036,humanitarian,medium,high,high,high,private_fragmented,modular,787036,high_complexity,always_act,event_triggered,agent_event_triggered,6
v7-scale-humanitarian-787037,humanitarian,small,high,high,high,private_fragmented,random_geometric,787037,scale,always_act,event_triggered,agent_event_triggered,6
v7-scale-humanitarian-787038,humanitarian,small,high,high,high,private_fragmented,small_world,787038,scale,always_act,event_triggered,agent_event_triggered,6
v7-scale-humanitarian-787039,humanitarian,small,high,high,high,private_fragmented,modular,787039,scale,always_act,event_triggered,agent_event_triggered,6
v7-scale-humanitarian-787040,humanitarian,small,high,high,high,private_fragmented,random_geometric,787040,scale,always_act,event_triggered,agent_event_triggered,6
v7-scale-humanitarian-787041,humanitarian,large,high,high,high,private_fragmented,random_geometric,787041,scale,always_act,event_triggered,agent_event_triggered,6
v7-scale-humanitarian-787042,humanitarian,large,high,high,high,private_fragmented,small_world,787042,scale,always_act,event_triggered,agent_event_triggered,6
v7-scale-humanitarian-787043,humanitarian,large,high,high,high,private_fragmented,modular,787043,scale,always_act,event_triggered,agent_event_triggered,6
v7-scale-humanitarian-787044,humanitarian,large,high,high,high,private_fragmented,random_geometric,787044,scale,always_act,event_triggered,agent_event_triggered,6
v7-public_control-humanitarian-787045,humanitarian,medium,high,high,high,public_shared,random_geometric,787045,public_control,always_act,event_triggered,agent_event_triggered,6
v7-public_control-humanitarian-787046,humanitarian,medium,high,high,high,public_shared,small_world,787046,public_control,always_act,event_triggered,agent_event_triggered,6
v7-public_control-humanitarian-787047,humanitarian,medium,high,high,high,public_shared,modular,787047,public_control,always_act,event_triggered,agent_event_triggered,6
v7-public_control-humanitarian-787048,humanitarian,medium,high,high,high,public_shared,random_geometric,787048,public_control,always_act,event_triggered,agent_event_triggered,6
v7-public_control-humanitarian-787049,humanitarian,medium,high,high,high,public_shared,small_world,787049,public_control,always_act,event_triggered,agent_event_triggered,6
v7-public_control-humanitarian-787050,humanitarian,medium,high,high,high,public_shared,modular,787050,public_control,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787051,utility_restoration,medium,low,low,low,private_fragmented,grid,787051,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787052,utility_restoration,medium,low,low,low,private_fragmented,scale_free,787052,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787053,utility_restoration,medium,low,low,low,private_fragmented,modular,787053,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787054,utility_restoration,medium,low,medium,medium,private_fragmented,scale_free,787054,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787055,utility_restoration,medium,low,medium,medium,private_fragmented,modular,787055,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787056,utility_restoration,medium,low,medium,medium,private_fragmented,grid,787056,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787057,utility_restoration,medium,low,high,high,private_fragmented,modular,787057,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787058,utility_restoration,medium,low,high,high,private_fragmented,grid,787058,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787059,utility_restoration,medium,low,high,high,private_fragmented,scale_free,787059,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787060,utility_restoration,medium,medium,low,medium,private_fragmented,scale_free,787060,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787061,utility_restoration,medium,medium,low,medium,private_fragmented,modular,787061,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787062,utility_restoration,medium,medium,low,medium,private_fragmented,grid,787062,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787063,utility_restoration,medium,medium,medium,medium,private_fragmented,modular,787063,response_surface,always_act,event_triggered,agent_event_triggered,6
v7-response_surface-utility_restoration-787064,utility_restoration,medium,medium,medium,medium,private_fragmented,grid,787064,response_surface,always_act,event_triggered,agent_event_triggered,6
