application,complexity,method,rows,independent_panels,harm_prevalence,roc_auc,average_precision
humanitarian,large,kpi_confidence,54,2,0.5185185185185185,0.4285714285714286,0.47523304484297113
humanitarian,large,predictive_uncertainty,54,2,0.5185185185185185,0.37362637362637363,0.4933827263042645
humanitarian,large,shannon_js,54,2,0.5185185185185185,0.37087912087912084,0.49476078942089785
humanitarian,large,generalized_tsallis_gini,54,2,0.5185185185185185,0.37637362637362637,0.49909537873447873
humanitarian,large,graph_disagreement,54,2,0.5185185185185185,0.49725274725274726,0.5112230477064469
humanitarian,large,combined_generalized_entropic,54,2,0.5185185185185185,0.4409340659340659,0.5120859500983459
humanitarian,medium,kpi_confidence,202,7,0.6782178217821783,0.5010668163952836,0.6768875204473185
humanitarian,medium,predictive_uncertainty,202,7,0.6782178217821783,0.49500280741156655,0.7019903536845464
humanitarian,medium,shannon_js,202,7,0.6782178217821783,0.47580011229646263,0.6983998377710232
humanitarian,medium,generalized_tsallis_gini,202,7,0.6782178217821783,0.473778775968557,0.6982074858036242
humanitarian,medium,graph_disagreement,202,7,0.6782178217821783,0.42302077484559236,0.6542739925082075
humanitarian,medium,combined_generalized_entropic,202,7,0.6782178217821783,0.4618753509264458,0.6504238421016129
humanitarian,small,kpi_confidence,27,3,0.2962962962962963,0.6776315789473684,0.5710526315789474
humanitarian,small,predictive_uncertainty,27,3,0.2962962962962963,0.6513157894736842,0.6216931216931216
humanitarian,small,shannon_js,27,3,0.2962962962962963,0.5921052631578947,0.5357804232804233
humanitarian,small,generalized_tsallis_gini,27,3,0.2962962962962963,0.611842105263158,0.558339424951267
humanitarian,small,graph_disagreement,27,3,0.2962962962962963,0.6513157894736843,0.6012490573152338
humanitarian,small,combined_generalized_entropic,27,3,0.2962962962962963,0.5131578947368421,0.39661195286195283
utility_restoration,large,kpi_confidence,20,2,1.0,nan,nan
utility_restoration,large,predictive_uncertainty,20,2,1.0,nan,nan
utility_restoration,large,shannon_js,20,2,1.0,nan,nan
utility_restoration,large,generalized_tsallis_gini,20,2,1.0,nan,nan
utility_restoration,large,graph_disagreement,20,2,1.0,nan,nan
utility_restoration,large,combined_generalized_entropic,20,2,1.0,nan,nan
utility_restoration,medium,kpi_confidence,83,7,0.963855421686747,0.35000000000000003,0.9595874450722105
utility_restoration,medium,predictive_uncertainty,83,7,0.963855421686747,0.6333333333333334,0.9773133781928063
utility_restoration,medium,shannon_js,83,7,0.963855421686747,0.5541666666666667,0.9599224952237502
utility_restoration,medium,generalized_tsallis_gini,83,7,0.963855421686747,0.5791666666666667,0.961634869354097
utility_restoration,medium,graph_disagreement,83,7,0.963855421686747,0.5916666666666668,0.9697432279177086
utility_restoration,medium,combined_generalized_entropic,83,7,0.963855421686747,0.33333333333333337,0.94980912512871
utility_restoration,small,kpi_confidence,13,3,1.0,nan,nan
utility_restoration,small,predictive_uncertainty,13,3,1.0,nan,nan
utility_restoration,small,shannon_js,13,3,1.0,nan,nan
utility_restoration,small,generalized_tsallis_gini,13,3,1.0,nan,nan
utility_restoration,small,graph_disagreement,13,3,1.0,nan,nan
utility_restoration,small,combined_generalized_entropic,13,3,1.0,nan,nan
