sender,recipient,messages
HUM-00-ngo,HUM-02-local_authority,52
HUM-01-transport,HUM-02-local_authority,50
HUM-02-local_authority,HUM-00-ngo,51
HUM-02-local_authority,HUM-01-transport,44
HUM-02-local_authority,HUM-03-assessment,51
HUM-02-local_authority,HUM-04-clinic,46
HUM-02-local_authority,HUM-05-shelter,51
HUM-02-local_authority,HUM-06-depot,44
HUM-03-assessment,HUM-02-local_authority,49
HUM-03-assessment,HUM-05-shelter,49
HUM-03-assessment,HUM-25-transport,49
HUM-04-clinic,HUM-02-local_authority,45
HUM-04-clinic,HUM-05-shelter,30
HUM-05-shelter,HUM-02-local_authority,39
HUM-05-shelter,HUM-03-assessment,39
HUM-05-shelter,HUM-04-clinic,39
HUM-06-depot,HUM-02-local_authority,66
HUM-06-depot,HUM-14-depot,53
HUM-07-hub,HUM-08-ngo,74
HUM-07-hub,HUM-09-transport,67
HUM-07-hub,HUM-12-clinic,73
HUM-07-hub,HUM-13-shelter,68
HUM-07-hub,HUM-20-clinic,72
HUM-07-hub,HUM-27-assessment,67
HUM-08-ngo,HUM-07-hub,62
HUM-08-ngo,HUM-10-local_authority,45
HUM-08-ngo,HUM-11-assessment,47
HUM-08-ngo,HUM-12-clinic,47
HUM-09-transport,HUM-07-hub,61
HUM-09-transport,HUM-13-shelter,62
HUM-09-transport,HUM-27-assessment,61
HUM-10-local_authority,HUM-08-ngo,37
HUM-11-assessment,HUM-08-ngo,39
HUM-11-assessment,HUM-12-clinic,24
HUM-12-clinic,HUM-07-hub,46
HUM-12-clinic,HUM-08-ngo,46
HUM-12-clinic,HUM-11-assessment,46
HUM-13-shelter,HUM-07-hub,52
HUM-13-shelter,HUM-09-transport,54
HUM-13-shelter,HUM-24-ngo,53
HUM-14-depot,HUM-06-depot,41
HUM-14-depot,HUM-15-hub,41
HUM-14-depot,HUM-19-assessment,40
HUM-15-hub,HUM-14-depot,39
HUM-15-hub,HUM-18-local_authority,22
HUM-16-ngo,HUM-17-transport,27
HUM-17-transport,HUM-16-ngo,39
HUM-17-transport,HUM-19-assessment,24
HUM-18-local_authority,HUM-15-hub,37
HUM-18-local_authority,HUM-19-assessment,24
HUM-19-assessment,HUM-14-depot,38
HUM-19-assessment,HUM-17-transport,39
HUM-19-assessment,HUM-18-local_authority,39
HUM-20-clinic,HUM-07-hub,48
HUM-21-shelter,HUM-26-local_authority,56
HUM-21-shelter,HUM-27-assessment,39
HUM-22-depot,HUM-26-local_authority,35
HUM-23-hub,HUM-24-ngo,38
HUM-24-ngo,HUM-13-shelter,67
HUM-24-ngo,HUM-23-hub,50
HUM-24-ngo,HUM-25-transport,52
HUM-24-ngo,HUM-26-local_authority,52
HUM-25-transport,HUM-03-assessment,64
HUM-25-transport,HUM-24-ngo,64
HUM-25-transport,HUM-27-assessment,64
HUM-26-local_authority,HUM-21-shelter,65
HUM-26-local_authority,HUM-22-depot,50
HUM-26-local_authority,HUM-24-ngo,50
HUM-26-local_authority,HUM-27-assessment,48
HUM-27-assessment,HUM-07-hub,68
HUM-27-assessment,HUM-09-transport,68
HUM-27-assessment,HUM-21-shelter,67
HUM-27-assessment,HUM-25-transport,69
HUM-27-assessment,HUM-26-local_authority,69
