sender,recipient,messages
HUM-00-ngo,HUM-01-transport,83
HUM-00-ngo,HUM-03-assessment,78
HUM-00-ngo,HUM-04-clinic,80
HUM-00-ngo,HUM-20-clinic,79
HUM-00-ngo,HUM-24-ngo,79
HUM-01-transport,HUM-00-ngo,69
HUM-01-transport,HUM-04-clinic,69
HUM-01-transport,HUM-07-hub,69
HUM-02-local_authority,HUM-06-depot,125
HUM-02-local_authority,HUM-10-local_authority,114
HUM-02-local_authority,HUM-17-transport,114
HUM-02-local_authority,HUM-26-local_authority,110
HUM-03-assessment,HUM-00-ngo,72
HUM-03-assessment,HUM-04-clinic,74
HUM-03-assessment,HUM-24-ngo,73
HUM-04-clinic,HUM-00-ngo,80
HUM-04-clinic,HUM-01-transport,68
HUM-04-clinic,HUM-03-assessment,64
HUM-04-clinic,HUM-24-ngo,66
HUM-05-shelter,HUM-08-ngo,157
HUM-05-shelter,HUM-09-transport,158
HUM-05-shelter,HUM-21-shelter,161
HUM-05-shelter,HUM-26-local_authority,157
HUM-05-shelter,HUM-27-assessment,157
HUM-06-depot,HUM-02-local_authority,164
HUM-06-depot,HUM-07-hub,164
HUM-06-depot,HUM-09-transport,162
HUM-06-depot,HUM-10-local_authority,163
HUM-06-depot,HUM-17-transport,163
HUM-06-depot,HUM-18-local_authority,162
HUM-06-depot,HUM-26-local_authority,163
HUM-07-hub,HUM-01-transport,103
HUM-07-hub,HUM-06-depot,99
HUM-07-hub,HUM-17-transport,103
HUM-08-ngo,HUM-05-shelter,213
HUM-08-ngo,HUM-11-assessment,205
HUM-08-ngo,HUM-15-hub,205
HUM-08-ngo,HUM-19-assessment,205
HUM-08-ngo,HUM-21-shelter,212
HUM-08-ngo,HUM-22-depot,206
HUM-08-ngo,HUM-26-local_authority,204
HUM-08-ngo,HUM-27-assessment,204
HUM-09-transport,HUM-05-shelter,229
HUM-09-transport,HUM-06-depot,225
HUM-09-transport,HUM-18-local_authority,226
HUM-09-transport,HUM-19-assessment,227
HUM-09-transport,HUM-21-shelter,227
HUM-09-transport,HUM-26-local_authority,225
HUM-09-transport,HUM-27-assessment,226
HUM-10-local_authority,HUM-02-local_authority,95
HUM-10-local_authority,HUM-06-depot,90
HUM-10-local_authority,HUM-17-transport,89
HUM-11-assessment,HUM-08-ngo,157
HUM-11-assessment,HUM-15-hub,143
HUM-11-assessment,HUM-22-depot,144
HUM-11-assessment,HUM-27-assessment,143
HUM-12-clinic,HUM-13-shelter,153
HUM-12-clinic,HUM-14-depot,151
HUM-12-clinic,HUM-15-hub,152
HUM-12-clinic,HUM-19-assessment,151
HUM-12-clinic,HUM-22-depot,152
HUM-12-clinic,HUM-25-transport,152
HUM-12-clinic,HUM-27-assessment,151
HUM-13-shelter,HUM-12-clinic,151
HUM-13-shelter,HUM-14-depot,150
HUM-13-shelter,HUM-15-hub,149
HUM-13-shelter,HUM-19-assessment,150
HUM-13-shelter,HUM-22-depot,149
HUM-13-shelter,HUM-25-transport,149
HUM-13-shelter,HUM-27-assessment,150
HUM-14-depot,HUM-12-clinic,161
HUM-14-depot,HUM-13-shelter,160
HUM-14-depot,HUM-15-hub,158
HUM-14-depot,HUM-19-assessment,159
HUM-14-depot,HUM-22-depot,159
HUM-14-depot,HUM-25-transport,158
HUM-14-depot,HUM-27-assessment,159
HUM-15-hub,HUM-08-ngo,180
HUM-15-hub,HUM-11-assessment,178
HUM-15-hub,HUM-12-clinic,181
HUM-15-hub,HUM-13-shelter,178
HUM-15-hub,HUM-14-depot,179
HUM-15-hub,HUM-19-assessment,178
HUM-15-hub,HUM-21-shelter,180
HUM-15-hub,HUM-22-depot,177
HUM-15-hub,HUM-25-transport,179
HUM-15-hub,HUM-27-assessment,177
HUM-16-ngo,HUM-23-hub,43
HUM-17-transport,HUM-02-local_authority,93
HUM-17-transport,HUM-06-depot,73
HUM-17-transport,HUM-07-hub,77
HUM-17-transport,HUM-10-local_authority,72
HUM-18-local_authority,HUM-06-depot,159
HUM-18-local_authority,HUM-09-transport,145
HUM-18-local_authority,HUM-21-shelter,146
HUM-18-local_authority,HUM-26-local_authority,145
HUM-19-assessment,HUM-08-ngo,188
HUM-19-assessment,HUM-09-transport,186
HUM-19-assessment,HUM-12-clinic,189
HUM-19-assessment,HUM-13-shelter,186
HUM-19-assessment,HUM-14-depot,188
HUM-19-assessment,HUM-15-hub,185
HUM-19-assessment,HUM-21-shelter,188
HUM-19-assessment,HUM-22-depot,185
HUM-19-assessment,HUM-25-transport,188
HUM-19-assessment,HUM-27-assessment,185
HUM-20-clinic,HUM-00-ngo,75
HUM-20-clinic,HUM-23-hub,75
HUM-20-clinic,HUM-24-ngo,75
HUM-21-shelter,HUM-05-shelter,197
HUM-21-shelter,HUM-08-ngo,186
HUM-21-shelter,HUM-09-transport,187
HUM-21-shelter,HUM-15-hub,186
HUM-21-shelter,HUM-18-local_authority,194
HUM-21-shelter,HUM-19-assessment,186
HUM-21-shelter,HUM-26-local_authority,188
HUM-21-shelter,HUM-27-assessment,186
HUM-22-depot,HUM-08-ngo,161
HUM-22-depot,HUM-11-assessment,162
HUM-22-depot,HUM-12-clinic,162
HUM-22-depot,HUM-13-shelter,162
HUM-22-depot,HUM-14-depot,161
HUM-22-depot,HUM-15-hub,160
HUM-22-depot,HUM-19-assessment,160
HUM-22-depot,HUM-25-transport,160
HUM-22-depot,HUM-27-assessment,161
HUM-23-hub,HUM-16-ngo,78
HUM-23-hub,HUM-20-clinic,74
HUM-23-hub,HUM-24-ngo,72
HUM-24-ngo,HUM-00-ngo,82
HUM-24-ngo,HUM-03-assessment,82
HUM-24-ngo,HUM-04-clinic,85
HUM-24-ngo,HUM-20-clinic,83
HUM-24-ngo,HUM-23-hub,81
HUM-25-transport,HUM-12-clinic,163
HUM-25-transport,HUM-13-shelter,162
HUM-25-transport,HUM-14-depot,160
HUM-25-transport,HUM-15-hub,160
HUM-25-transport,HUM-19-assessment,161
HUM-25-transport,HUM-22-depot,160
HUM-25-transport,HUM-27-assessment,160
HUM-26-local_authority,HUM-02-local_authority,228
HUM-26-local_authority,HUM-05-shelter,220
HUM-26-local_authority,HUM-06-depot,220
HUM-26-local_authority,HUM-08-ngo,219
HUM-26-local_authority,HUM-09-transport,226
HUM-26-local_authority,HUM-18-local_authority,220
HUM-26-local_authority,HUM-21-shelter,221
HUM-26-local_authority,HUM-27-assessment,220
HUM-27-assessment,HUM-05-shelter,205
HUM-27-assessment,HUM-08-ngo,203
HUM-27-assessment,HUM-09-transport,204
HUM-27-assessment,HUM-11-assessment,205
HUM-27-assessment,HUM-12-clinic,206
HUM-27-assessment,HUM-13-shelter,205
HUM-27-assessment,HUM-14-depot,204
HUM-27-assessment,HUM-15-hub,204
HUM-27-assessment,HUM-19-assessment,204
HUM-27-assessment,HUM-21-shelter,204
HUM-27-assessment,HUM-22-depot,205
HUM-27-assessment,HUM-25-transport,203
HUM-27-assessment,HUM-26-local_authority,204
