sender,recipient,messages
UTL-00-zone_operator,UTL-01-crew_dispatch,60
UTL-00-zone_operator,UTL-06-zone_operator,56
UTL-01-crew_dispatch,UTL-00-zone_operator,77
UTL-01-crew_dispatch,UTL-02-cyber_defense,78
UTL-01-crew_dispatch,UTL-07-crew_dispatch,82
UTL-02-cyber_defense,UTL-01-crew_dispatch,94
UTL-02-cyber_defense,UTL-03-communications,95
UTL-02-cyber_defense,UTL-08-cyber_defense,95
UTL-03-communications,UTL-02-cyber_defense,93
UTL-03-communications,UTL-04-resource_allocation,92
UTL-03-communications,UTL-09-communications,94
UTL-04-resource_allocation,UTL-03-communications,87
UTL-04-resource_allocation,UTL-05-critical_load,85
UTL-04-resource_allocation,UTL-10-resource_allocation,84
UTL-05-critical_load,UTL-04-resource_allocation,65
UTL-05-critical_load,UTL-11-critical_load,57
UTL-06-zone_operator,UTL-00-zone_operator,77
UTL-06-zone_operator,UTL-07-crew_dispatch,79
UTL-06-zone_operator,UTL-12-zone_operator,77
UTL-07-crew_dispatch,UTL-01-crew_dispatch,115
UTL-07-crew_dispatch,UTL-06-zone_operator,103
UTL-07-crew_dispatch,UTL-08-cyber_defense,100
UTL-07-crew_dispatch,UTL-13-crew_dispatch,103
UTL-08-cyber_defense,UTL-02-cyber_defense,133
UTL-08-cyber_defense,UTL-07-crew_dispatch,122
UTL-08-cyber_defense,UTL-09-communications,122
UTL-08-cyber_defense,UTL-14-cyber_defense,123
UTL-09-communications,UTL-03-communications,132
UTL-09-communications,UTL-08-cyber_defense,119
UTL-09-communications,UTL-10-resource_allocation,119
UTL-09-communications,UTL-15-communications,122
UTL-10-resource_allocation,UTL-04-resource_allocation,121
UTL-10-resource_allocation,UTL-09-communications,113
UTL-10-resource_allocation,UTL-11-critical_load,114
UTL-10-resource_allocation,UTL-16-resource_allocation,114
UTL-11-critical_load,UTL-05-critical_load,74
UTL-11-critical_load,UTL-10-resource_allocation,75
UTL-11-critical_load,UTL-17-critical_load,79
UTL-12-zone_operator,UTL-06-zone_operator,94
UTL-12-zone_operator,UTL-13-crew_dispatch,96
UTL-12-zone_operator,UTL-18-zone_operator,94
UTL-13-crew_dispatch,UTL-07-crew_dispatch,131
UTL-13-crew_dispatch,UTL-12-zone_operator,120
UTL-13-crew_dispatch,UTL-14-cyber_defense,119
UTL-13-crew_dispatch,UTL-19-crew_dispatch,119
UTL-14-cyber_defense,UTL-08-cyber_defense,141
UTL-14-cyber_defense,UTL-13-crew_dispatch,129
UTL-14-cyber_defense,UTL-15-communications,130
UTL-14-cyber_defense,UTL-20-cyber_defense,131
UTL-15-communications,UTL-09-communications,130
UTL-15-communications,UTL-14-cyber_defense,116
UTL-15-communications,UTL-16-resource_allocation,116
UTL-15-communications,UTL-21-communications,119
UTL-16-resource_allocation,UTL-10-resource_allocation,116
UTL-16-resource_allocation,UTL-15-communications,108
UTL-16-resource_allocation,UTL-17-critical_load,107
UTL-16-resource_allocation,UTL-22-resource_allocation,110
UTL-17-critical_load,UTL-11-critical_load,81
UTL-17-critical_load,UTL-16-resource_allocation,77
UTL-17-critical_load,UTL-23-critical_load,79
UTL-18-zone_operator,UTL-12-zone_operator,84
UTL-18-zone_operator,UTL-19-crew_dispatch,84
UTL-18-zone_operator,UTL-24-zone_operator,86
UTL-19-crew_dispatch,UTL-13-crew_dispatch,123
UTL-19-crew_dispatch,UTL-18-zone_operator,112
UTL-19-crew_dispatch,UTL-20-cyber_defense,114
UTL-19-crew_dispatch,UTL-25-crew_dispatch,111
UTL-20-cyber_defense,UTL-14-cyber_defense,125
UTL-20-cyber_defense,UTL-19-crew_dispatch,116
UTL-20-cyber_defense,UTL-21-communications,115
UTL-20-cyber_defense,UTL-26-cyber_defense,112
UTL-21-communications,UTL-15-communications,118
UTL-21-communications,UTL-20-cyber_defense,104
UTL-21-communications,UTL-22-resource_allocation,102
UTL-21-communications,UTL-27-communications,103
UTL-22-resource_allocation,UTL-16-resource_allocation,93
UTL-22-resource_allocation,UTL-21-communications,88
UTL-22-resource_allocation,UTL-23-critical_load,91
UTL-23-critical_load,UTL-17-critical_load,65
UTL-23-critical_load,UTL-22-resource_allocation,58
UTL-24-zone_operator,UTL-18-zone_operator,69
UTL-24-zone_operator,UTL-25-crew_dispatch,59
UTL-25-crew_dispatch,UTL-19-crew_dispatch,84
UTL-25-crew_dispatch,UTL-24-zone_operator,85
UTL-25-crew_dispatch,UTL-26-cyber_defense,84
UTL-26-cyber_defense,UTL-20-cyber_defense,81
UTL-26-cyber_defense,UTL-25-crew_dispatch,81
UTL-26-cyber_defense,UTL-27-communications,87
UTL-27-communications,UTL-21-communications,69
UTL-27-communications,UTL-26-cyber_defense,61
