sender,recipient,messages
UTL-00-zone_operator,UTL-01-crew_dispatch,35
UTL-00-zone_operator,UTL-06-zone_operator,29
UTL-01-crew_dispatch,UTL-00-zone_operator,42
UTL-01-crew_dispatch,UTL-02-cyber_defense,43
UTL-01-crew_dispatch,UTL-07-crew_dispatch,45
UTL-02-cyber_defense,UTL-01-crew_dispatch,51
UTL-02-cyber_defense,UTL-03-communications,51
UTL-02-cyber_defense,UTL-08-cyber_defense,51
UTL-03-communications,UTL-02-cyber_defense,49
UTL-03-communications,UTL-04-resource_allocation,49
UTL-03-communications,UTL-09-communications,50
UTL-04-resource_allocation,UTL-03-communications,49
UTL-04-resource_allocation,UTL-05-critical_load,47
UTL-04-resource_allocation,UTL-10-resource_allocation,46
UTL-05-critical_load,UTL-04-resource_allocation,39
UTL-05-critical_load,UTL-11-critical_load,30
UTL-06-zone_operator,UTL-00-zone_operator,41
UTL-06-zone_operator,UTL-07-crew_dispatch,43
UTL-06-zone_operator,UTL-12-zone_operator,43
UTL-07-crew_dispatch,UTL-01-crew_dispatch,66
UTL-07-crew_dispatch,UTL-06-zone_operator,54
UTL-07-crew_dispatch,UTL-08-cyber_defense,53
UTL-07-crew_dispatch,UTL-13-crew_dispatch,54
UTL-08-cyber_defense,UTL-02-cyber_defense,75
UTL-08-cyber_defense,UTL-07-crew_dispatch,65
UTL-08-cyber_defense,UTL-09-communications,65
UTL-08-cyber_defense,UTL-14-cyber_defense,65
UTL-09-communications,UTL-03-communications,77
UTL-09-communications,UTL-08-cyber_defense,65
UTL-09-communications,UTL-10-resource_allocation,65
UTL-09-communications,UTL-15-communications,66
UTL-10-resource_allocation,UTL-04-resource_allocation,67
UTL-10-resource_allocation,UTL-09-communications,59
UTL-10-resource_allocation,UTL-11-critical_load,59
UTL-10-resource_allocation,UTL-16-resource_allocation,59
UTL-11-critical_load,UTL-05-critical_load,39
UTL-11-critical_load,UTL-10-resource_allocation,40
UTL-11-critical_load,UTL-17-critical_load,42
UTL-12-zone_operator,UTL-06-zone_operator,51
UTL-12-zone_operator,UTL-13-crew_dispatch,52
UTL-12-zone_operator,UTL-18-zone_operator,51
UTL-13-crew_dispatch,UTL-07-crew_dispatch,73
UTL-13-crew_dispatch,UTL-12-zone_operator,63
UTL-13-crew_dispatch,UTL-14-cyber_defense,63
UTL-13-crew_dispatch,UTL-19-crew_dispatch,63
UTL-14-cyber_defense,UTL-08-cyber_defense,80
UTL-14-cyber_defense,UTL-13-crew_dispatch,69
UTL-14-cyber_defense,UTL-15-communications,69
UTL-14-cyber_defense,UTL-20-cyber_defense,70
UTL-15-communications,UTL-09-communications,73
UTL-15-communications,UTL-14-cyber_defense,60
UTL-15-communications,UTL-16-resource_allocation,60
UTL-15-communications,UTL-21-communications,61
UTL-16-resource_allocation,UTL-10-resource_allocation,64
UTL-16-resource_allocation,UTL-15-communications,56
UTL-16-resource_allocation,UTL-17-critical_load,56
UTL-16-resource_allocation,UTL-22-resource_allocation,57
UTL-17-critical_load,UTL-11-critical_load,43
UTL-17-critical_load,UTL-16-resource_allocation,42
UTL-17-critical_load,UTL-23-critical_load,44
UTL-18-zone_operator,UTL-12-zone_operator,45
UTL-18-zone_operator,UTL-19-crew_dispatch,44
UTL-18-zone_operator,UTL-24-zone_operator,47
UTL-19-crew_dispatch,UTL-13-crew_dispatch,71
UTL-19-crew_dispatch,UTL-18-zone_operator,59
UTL-19-crew_dispatch,UTL-20-cyber_defense,60
UTL-19-crew_dispatch,UTL-25-crew_dispatch,59
UTL-20-cyber_defense,UTL-14-cyber_defense,70
UTL-20-cyber_defense,UTL-19-crew_dispatch,60
UTL-20-cyber_defense,UTL-21-communications,59
UTL-20-cyber_defense,UTL-26-cyber_defense,58
UTL-21-communications,UTL-15-communications,66
UTL-21-communications,UTL-20-cyber_defense,53
UTL-21-communications,UTL-22-resource_allocation,53
UTL-21-communications,UTL-27-communications,53
UTL-22-resource_allocation,UTL-16-resource_allocation,51
UTL-22-resource_allocation,UTL-21-communications,48
UTL-22-resource_allocation,UTL-23-critical_load,51
UTL-23-critical_load,UTL-17-critical_load,38
UTL-23-critical_load,UTL-22-resource_allocation,31
UTL-24-zone_operator,UTL-18-zone_operator,42
UTL-24-zone_operator,UTL-25-crew_dispatch,31
UTL-25-crew_dispatch,UTL-19-crew_dispatch,47
UTL-25-crew_dispatch,UTL-24-zone_operator,47
UTL-25-crew_dispatch,UTL-26-cyber_defense,46
UTL-26-cyber_defense,UTL-20-cyber_defense,45
UTL-26-cyber_defense,UTL-25-crew_dispatch,44
UTL-26-cyber_defense,UTL-27-communications,48
UTL-27-communications,UTL-21-communications,42
UTL-27-communications,UTL-26-cyber_defense,32
