sender,recipient,messages
UTL-00-zone_operator,UTL-04-resource_allocation,40
UTL-00-zone_operator,UTL-05-critical_load,37
UTL-00-zone_operator,UTL-06-zone_operator,38
UTL-01-crew_dispatch,UTL-05-critical_load,39
UTL-02-cyber_defense,UTL-24-zone_operator,30
UTL-03-communications,UTL-05-critical_load,39
UTL-04-resource_allocation,UTL-00-zone_operator,35
UTL-04-resource_allocation,UTL-06-zone_operator,21
UTL-05-critical_load,UTL-00-zone_operator,71
UTL-05-critical_load,UTL-01-crew_dispatch,72
UTL-05-critical_load,UTL-03-communications,72
UTL-05-critical_load,UTL-06-zone_operator,70
UTL-05-critical_load,UTL-17-critical_load,72
UTL-06-zone_operator,UTL-00-zone_operator,71
UTL-06-zone_operator,UTL-04-resource_allocation,61
UTL-06-zone_operator,UTL-05-critical_load,57
UTL-06-zone_operator,UTL-23-critical_load,63
UTL-07-crew_dispatch,UTL-08-cyber_defense,81
UTL-07-crew_dispatch,UTL-09-communications,69
UTL-07-crew_dispatch,UTL-11-critical_load,74
UTL-07-crew_dispatch,UTL-12-zone_operator,70
UTL-08-cyber_defense,UTL-07-crew_dispatch,94
UTL-08-cyber_defense,UTL-10-resource_allocation,94
UTL-08-cyber_defense,UTL-12-zone_operator,94
UTL-08-cyber_defense,UTL-21-communications,92
UTL-08-cyber_defense,UTL-25-crew_dispatch,92
UTL-09-communications,UTL-07-crew_dispatch,49
UTL-09-communications,UTL-11-critical_load,50
UTL-09-communications,UTL-13-crew_dispatch,48
UTL-10-resource_allocation,UTL-08-cyber_defense,81
UTL-10-resource_allocation,UTL-11-critical_load,66
UTL-10-resource_allocation,UTL-12-zone_operator,67
UTL-10-resource_allocation,UTL-13-crew_dispatch,67
UTL-11-critical_load,UTL-07-crew_dispatch,59
UTL-11-critical_load,UTL-09-communications,47
UTL-11-critical_load,UTL-10-resource_allocation,48
UTL-11-critical_load,UTL-13-crew_dispatch,49
UTL-12-zone_operator,UTL-07-crew_dispatch,102
UTL-12-zone_operator,UTL-08-cyber_defense,91
UTL-12-zone_operator,UTL-10-resource_allocation,91
UTL-12-zone_operator,UTL-20-cyber_defense,90
UTL-13-crew_dispatch,UTL-09-communications,44
UTL-13-crew_dispatch,UTL-10-resource_allocation,45
UTL-13-crew_dispatch,UTL-11-critical_load,45
UTL-14-cyber_defense,UTL-16-resource_allocation,56
UTL-14-cyber_defense,UTL-17-critical_load,46
UTL-15-communications,UTL-16-resource_allocation,54
UTL-15-communications,UTL-20-cyber_defense,37
UTL-16-resource_allocation,UTL-14-cyber_defense,59
UTL-16-resource_allocation,UTL-15-communications,48
UTL-16-resource_allocation,UTL-17-critical_load,47
UTL-16-resource_allocation,UTL-18-zone_operator,44
UTL-17-critical_load,UTL-05-critical_load,75
UTL-17-critical_load,UTL-14-cyber_defense,73
UTL-17-critical_load,UTL-16-resource_allocation,75
UTL-17-critical_load,UTL-18-zone_operator,71
UTL-17-critical_load,UTL-19-crew_dispatch,79
UTL-17-critical_load,UTL-20-cyber_defense,71
UTL-18-zone_operator,UTL-16-resource_allocation,66
UTL-18-zone_operator,UTL-17-critical_load,69
UTL-18-zone_operator,UTL-19-crew_dispatch,72
UTL-18-zone_operator,UTL-20-cyber_defense,65
UTL-18-zone_operator,UTL-26-cyber_defense,72
UTL-19-crew_dispatch,UTL-17-critical_load,43
UTL-19-crew_dispatch,UTL-18-zone_operator,30
UTL-20-cyber_defense,UTL-12-zone_operator,78
UTL-20-cyber_defense,UTL-15-communications,68
UTL-20-cyber_defense,UTL-17-critical_load,71
UTL-20-cyber_defense,UTL-18-zone_operator,67
UTL-21-communications,UTL-08-cyber_defense,73
UTL-21-communications,UTL-23-critical_load,76
UTL-21-communications,UTL-25-crew_dispatch,70
UTL-22-resource_allocation,UTL-26-cyber_defense,28
UTL-23-critical_load,UTL-06-zone_operator,77
UTL-23-critical_load,UTL-21-communications,65
UTL-23-critical_load,UTL-24-zone_operator,67
UTL-23-critical_load,UTL-26-cyber_defense,73
UTL-24-zone_operator,UTL-02-cyber_defense,58
UTL-24-zone_operator,UTL-23-critical_load,58
UTL-24-zone_operator,UTL-25-crew_dispatch,57
UTL-25-crew_dispatch,UTL-08-cyber_defense,79
UTL-25-crew_dispatch,UTL-21-communications,64
UTL-25-crew_dispatch,UTL-24-zone_operator,66
UTL-25-crew_dispatch,UTL-27-communications,64
UTL-26-cyber_defense,UTL-18-zone_operator,53
UTL-26-cyber_defense,UTL-22-resource_allocation,54
UTL-26-cyber_defense,UTL-23-critical_load,59
UTL-27-communications,UTL-25-crew_dispatch,48
