sender,recipient,messages
UTL-00-zone_operator,UTL-01-crew_dispatch,39
UTL-01-crew_dispatch,UTL-00-zone_operator,70
UTL-01-crew_dispatch,UTL-02-cyber_defense,68
UTL-01-crew_dispatch,UTL-21-communications,71
UTL-02-cyber_defense,UTL-01-crew_dispatch,51
UTL-02-cyber_defense,UTL-03-communications,40
UTL-03-communications,UTL-02-cyber_defense,34
UTL-04-resource_allocation,UTL-05-critical_load,47
UTL-05-critical_load,UTL-04-resource_allocation,63
UTL-05-critical_load,UTL-06-zone_operator,63
UTL-05-critical_load,UTL-16-resource_allocation,67
UTL-06-zone_operator,UTL-05-critical_load,49
UTL-07-crew_dispatch,UTL-09-communications,91
UTL-07-crew_dispatch,UTL-10-resource_allocation,95
UTL-07-crew_dispatch,UTL-24-zone_operator,93
UTL-08-cyber_defense,UTL-15-communications,47
UTL-09-communications,UTL-07-crew_dispatch,72
UTL-09-communications,UTL-11-critical_load,69
UTL-09-communications,UTL-12-zone_operator,67
UTL-09-communications,UTL-13-crew_dispatch,67
UTL-10-resource_allocation,UTL-07-crew_dispatch,70
UTL-10-resource_allocation,UTL-11-critical_load,72
UTL-10-resource_allocation,UTL-13-crew_dispatch,69
UTL-11-critical_load,UTL-09-communications,54
UTL-11-critical_load,UTL-10-resource_allocation,42
UTL-12-zone_operator,UTL-09-communications,73
UTL-12-zone_operator,UTL-13-crew_dispatch,61
UTL-13-crew_dispatch,UTL-09-communications,104
UTL-13-crew_dispatch,UTL-10-resource_allocation,94
UTL-13-crew_dispatch,UTL-12-zone_operator,92
UTL-13-crew_dispatch,UTL-19-crew_dispatch,92
UTL-14-cyber_defense,UTL-16-resource_allocation,102
UTL-14-cyber_defense,UTL-17-critical_load,101
UTL-14-cyber_defense,UTL-19-crew_dispatch,101
UTL-15-communications,UTL-08-cyber_defense,72
UTL-15-communications,UTL-16-resource_allocation,79
UTL-15-communications,UTL-20-cyber_defense,75
UTL-16-resource_allocation,UTL-05-critical_load,120
UTL-16-resource_allocation,UTL-14-cyber_defense,110
UTL-16-resource_allocation,UTL-15-communications,112
UTL-16-resource_allocation,UTL-23-critical_load,110
UTL-17-critical_load,UTL-14-cyber_defense,74
UTL-17-critical_load,UTL-19-crew_dispatch,76
UTL-17-critical_load,UTL-20-cyber_defense,78
UTL-18-zone_operator,UTL-20-cyber_defense,38
UTL-19-crew_dispatch,UTL-13-crew_dispatch,129
UTL-19-crew_dispatch,UTL-14-cyber_defense,122
UTL-19-crew_dispatch,UTL-17-critical_load,123
UTL-19-crew_dispatch,UTL-24-zone_operator,125
UTL-20-cyber_defense,UTL-15-communications,70
UTL-20-cyber_defense,UTL-17-critical_load,71
UTL-20-cyber_defense,UTL-18-zone_operator,70
UTL-21-communications,UTL-01-crew_dispatch,102
UTL-21-communications,UTL-22-resource_allocation,103
UTL-21-communications,UTL-24-zone_operator,97
UTL-21-communications,UTL-25-crew_dispatch,100
UTL-21-communications,UTL-26-cyber_defense,100
UTL-22-resource_allocation,UTL-21-communications,90
UTL-22-resource_allocation,UTL-23-critical_load,79
UTL-22-resource_allocation,UTL-24-zone_operator,79
UTL-22-resource_allocation,UTL-27-communications,76
UTL-23-critical_load,UTL-16-resource_allocation,76
UTL-23-critical_load,UTL-22-resource_allocation,76
UTL-23-critical_load,UTL-27-communications,78
UTL-24-zone_operator,UTL-07-crew_dispatch,122
UTL-24-zone_operator,UTL-19-crew_dispatch,121
UTL-24-zone_operator,UTL-21-communications,122
UTL-24-zone_operator,UTL-22-resource_allocation,125
UTL-24-zone_operator,UTL-26-cyber_defense,122
UTL-25-crew_dispatch,UTL-21-communications,54
UTL-26-cyber_defense,UTL-21-communications,89
UTL-26-cyber_defense,UTL-24-zone_operator,89
UTL-26-cyber_defense,UTL-27-communications,86
UTL-27-communications,UTL-22-resource_allocation,69
UTL-27-communications,UTL-23-critical_load,71
UTL-27-communications,UTL-26-cyber_defense,64
