sender,recipient,messages
UTL-00-zone_operator,UTL-01-crew_dispatch,24
UTL-01-crew_dispatch,UTL-00-zone_operator,37
UTL-01-crew_dispatch,UTL-02-cyber_defense,34
UTL-01-crew_dispatch,UTL-21-communications,37
UTL-02-cyber_defense,UTL-01-crew_dispatch,31
UTL-02-cyber_defense,UTL-03-communications,20
UTL-03-communications,UTL-02-cyber_defense,23
UTL-04-resource_allocation,UTL-05-critical_load,30
UTL-05-critical_load,UTL-04-resource_allocation,31
UTL-05-critical_load,UTL-06-zone_operator,31
UTL-05-critical_load,UTL-16-resource_allocation,32
UTL-06-zone_operator,UTL-05-critical_load,32
UTL-07-crew_dispatch,UTL-09-communications,48
UTL-07-crew_dispatch,UTL-10-resource_allocation,50
UTL-07-crew_dispatch,UTL-24-zone_operator,48
UTL-08-cyber_defense,UTL-15-communications,32
UTL-09-communications,UTL-07-crew_dispatch,41
UTL-09-communications,UTL-11-critical_load,35
UTL-09-communications,UTL-12-zone_operator,35
UTL-09-communications,UTL-13-crew_dispatch,34
UTL-10-resource_allocation,UTL-07-crew_dispatch,36
UTL-10-resource_allocation,UTL-11-critical_load,37
UTL-10-resource_allocation,UTL-13-crew_dispatch,36
UTL-11-critical_load,UTL-09-communications,32
UTL-11-critical_load,UTL-10-resource_allocation,20
UTL-12-zone_operator,UTL-09-communications,41
UTL-12-zone_operator,UTL-13-crew_dispatch,31
UTL-13-crew_dispatch,UTL-09-communications,57
UTL-13-crew_dispatch,UTL-10-resource_allocation,48
UTL-13-crew_dispatch,UTL-12-zone_operator,48
UTL-13-crew_dispatch,UTL-19-crew_dispatch,48
UTL-14-cyber_defense,UTL-16-resource_allocation,56
UTL-14-cyber_defense,UTL-17-critical_load,56
UTL-14-cyber_defense,UTL-19-crew_dispatch,56
UTL-15-communications,UTL-08-cyber_defense,37
UTL-15-communications,UTL-16-resource_allocation,41
UTL-15-communications,UTL-20-cyber_defense,37
UTL-16-resource_allocation,UTL-05-critical_load,62
UTL-16-resource_allocation,UTL-14-cyber_defense,54
UTL-16-resource_allocation,UTL-15-communications,54
UTL-16-resource_allocation,UTL-23-critical_load,53
UTL-17-critical_load,UTL-14-cyber_defense,37
UTL-17-critical_load,UTL-19-crew_dispatch,38
UTL-17-critical_load,UTL-20-cyber_defense,38
UTL-18-zone_operator,UTL-20-cyber_defense,23
UTL-19-crew_dispatch,UTL-13-crew_dispatch,67
UTL-19-crew_dispatch,UTL-14-cyber_defense,60
UTL-19-crew_dispatch,UTL-17-critical_load,60
UTL-19-crew_dispatch,UTL-24-zone_operator,60
UTL-20-cyber_defense,UTL-15-communications,36
UTL-20-cyber_defense,UTL-17-critical_load,37
UTL-20-cyber_defense,UTL-18-zone_operator,36
UTL-21-communications,UTL-01-crew_dispatch,52
UTL-21-communications,UTL-22-resource_allocation,52
UTL-21-communications,UTL-24-zone_operator,48
UTL-21-communications,UTL-25-crew_dispatch,51
UTL-21-communications,UTL-26-cyber_defense,51
UTL-22-resource_allocation,UTL-21-communications,46
UTL-22-resource_allocation,UTL-23-critical_load,35
UTL-22-resource_allocation,UTL-24-zone_operator,35
UTL-22-resource_allocation,UTL-27-communications,33
UTL-23-critical_load,UTL-16-resource_allocation,38
UTL-23-critical_load,UTL-22-resource_allocation,37
UTL-23-critical_load,UTL-27-communications,40
UTL-24-zone_operator,UTL-07-crew_dispatch,57
UTL-24-zone_operator,UTL-19-crew_dispatch,56
UTL-24-zone_operator,UTL-21-communications,58
UTL-24-zone_operator,UTL-22-resource_allocation,59
UTL-24-zone_operator,UTL-26-cyber_defense,58
UTL-25-crew_dispatch,UTL-21-communications,31
UTL-26-cyber_defense,UTL-21-communications,47
UTL-26-cyber_defense,UTL-24-zone_operator,47
UTL-26-cyber_defense,UTL-27-communications,46
UTL-27-communications,UTL-22-resource_allocation,37
UTL-27-communications,UTL-23-critical_load,39
UTL-27-communications,UTL-26-cyber_defense,34
