sender,recipient,messages
HUM-00-ngo,HUM-01-transport,97
HUM-00-ngo,HUM-09-transport,95
HUM-00-ngo,HUM-13-shelter,98
HUM-00-ngo,HUM-17-transport,96
HUM-00-ngo,HUM-25-transport,93
HUM-01-transport,HUM-00-ngo,96
HUM-01-transport,HUM-06-depot,95
HUM-01-transport,HUM-09-transport,89
HUM-01-transport,HUM-13-shelter,94
HUM-01-transport,HUM-15-hub,99
HUM-01-transport,HUM-17-transport,93
HUM-01-transport,HUM-20-clinic,95
HUM-01-transport,HUM-25-transport,90
HUM-02-local_authority,HUM-03-assessment,214
HUM-02-local_authority,HUM-06-depot,213
HUM-02-local_authority,HUM-07-hub,211
HUM-02-local_authority,HUM-09-transport,208
HUM-02-local_authority,HUM-16-ngo,210
HUM-02-local_authority,HUM-23-hub,211
HUM-02-local_authority,HUM-24-ngo,213
HUM-03-assessment,HUM-02-local_authority,148
HUM-03-assessment,HUM-04-clinic,149
HUM-03-assessment,HUM-05-shelter,149
HUM-03-assessment,HUM-07-hub,144
HUM-03-assessment,HUM-14-depot,147
HUM-03-assessment,HUM-16-ngo,144
HUM-03-assessment,HUM-19-assessment,148
HUM-03-assessment,HUM-23-hub,144
HUM-03-assessment,HUM-24-ngo,151
HUM-03-assessment,HUM-27-assessment,148
HUM-04-clinic,HUM-03-assessment,123
HUM-04-clinic,HUM-05-shelter,118
HUM-04-clinic,HUM-07-hub,116
HUM-04-clinic,HUM-14-depot,118
HUM-04-clinic,HUM-18-local_authority,126
HUM-04-clinic,HUM-19-assessment,119
HUM-04-clinic,HUM-23-hub,116
HUM-04-clinic,HUM-24-ngo,121
HUM-05-shelter,HUM-03-assessment,119
HUM-05-shelter,HUM-04-clinic,119
HUM-05-shelter,HUM-14-depot,116
HUM-05-shelter,HUM-19-assessment,118
HUM-05-shelter,HUM-23-hub,115
HUM-05-shelter,HUM-24-ngo,120
HUM-05-shelter,HUM-27-assessment,118
HUM-06-depot,HUM-01-transport,135
HUM-06-depot,HUM-02-local_authority,133
HUM-06-depot,HUM-09-transport,131
HUM-06-depot,HUM-13-shelter,135
HUM-06-depot,HUM-15-hub,134
HUM-06-depot,HUM-20-clinic,137
HUM-06-depot,HUM-25-transport,130
HUM-07-hub,HUM-02-local_authority,151
