sender,recipient,messages
HUM-00-ngo,HUM-01-transport,174
HUM-00-ngo,HUM-03-assessment,167
HUM-00-ngo,HUM-04-clinic,167
HUM-00-ngo,HUM-09-transport,165
HUM-00-ngo,HUM-10-local_authority,173
HUM-00-ngo,HUM-22-depot,165
HUM-00-ngo,HUM-25-transport,167
HUM-00-ngo,HUM-26-local_authority,168
HUM-01-transport,HUM-00-ngo,182
HUM-01-transport,HUM-02-local_authority,173
HUM-01-transport,HUM-03-assessment,178
HUM-01-transport,HUM-10-local_authority,177
HUM-01-transport,HUM-15-hub,183
HUM-01-transport,HUM-24-ngo,176
HUM-01-transport,HUM-26-local_authority,177
HUM-01-transport,HUM-27-assessment,174
HUM-02-local_authority,HUM-01-transport,124
HUM-02-local_authority,HUM-03-assessment,110
HUM-02-local_authority,HUM-04-clinic,111
HUM-02-local_authority,HUM-14-depot,111
HUM-03-assessment,HUM-00-ngo,152
HUM-03-assessment,HUM-01-transport,150
HUM-03-assessment,HUM-02-local_authority,151
HUM-03-assessment,HUM-04-clinic,152
HUM-03-assessment,HUM-05-shelter,157
HUM-03-assessment,HUM-06-depot,147
HUM-04-clinic,HUM-00-ngo,138
HUM-04-clinic,HUM-02-local_authority,132
HUM-04-clinic,HUM-03-assessment,142
HUM-04-clinic,HUM-07-hub,137
HUM-04-clinic,HUM-09-transport,143
HUM-04-clinic,HUM-11-assessment,137
HUM-05-shelter,HUM-03-assessment,136
HUM-05-shelter,HUM-06-depot,131
HUM-05-shelter,HUM-07-hub,136
HUM-05-shelter,HUM-08-ngo,136
HUM-05-shelter,HUM-27-assessment,136
HUM-06-depot,HUM-03-assessment,158
HUM-06-depot,HUM-05-shelter,158
HUM-06-depot,HUM-07-hub,157
HUM-06-depot,HUM-09-transport,155
HUM-06-depot,HUM-11-assessment,157
HUM-06-depot,HUM-12-clinic,159
HUM-06-depot,HUM-23-hub,155
HUM-07-hub,HUM-04-clinic,167
HUM-07-hub,HUM-05-shelter,167
HUM-07-hub,HUM-06-depot,161
HUM-07-hub,HUM-09-transport,164
HUM-07-hub,HUM-20-clinic,167
HUM-07-hub,HUM-21-shelter,161
HUM-07-hub,HUM-23-hub,164
HUM-08-ngo,HUM-05-shelter,134
HUM-08-ngo,HUM-09-transport,118
HUM-08-ngo,HUM-11-assessment,118
HUM-08-ngo,HUM-16-ngo,115
HUM-09-transport,HUM-00-ngo,157
HUM-09-transport,HUM-04-clinic,155
HUM-09-transport,HUM-06-depot,148
HUM-09-transport,HUM-07-hub,153
HUM-09-transport,HUM-08-ngo,161
HUM-09-transport,HUM-10-local_authority,152
HUM-09-transport,HUM-11-assessment,153
HUM-09-transport,HUM-12-clinic,154
HUM-10-local_authority,HUM-00-ngo,167
HUM-10-local_authority,HUM-01-transport,169
HUM-10-local_authority,HUM-09-transport,168
HUM-10-local_authority,HUM-11-assessment,171
HUM-10-local_authority,HUM-12-clinic,171
HUM-10-local_authority,HUM-13-shelter,168
HUM-10-local_authority,HUM-27-assessment,166
HUM-11-assessment,HUM-04-clinic,112
HUM-11-assessment,HUM-06-depot,107
HUM-11-assessment,HUM-08-ngo,113
HUM-11-assessment,HUM-09-transport,110
HUM-11-assessment,HUM-10-local_authority,112
HUM-12-clinic,HUM-06-depot,147
HUM-12-clinic,HUM-09-transport,143
HUM-12-clinic,HUM-10-local_authority,149
HUM-12-clinic,HUM-13-shelter,143
HUM-12-clinic,HUM-14-depot,150
HUM-12-clinic,HUM-15-hub,143
HUM-13-shelter,HUM-10-local_authority,162
HUM-13-shelter,HUM-12-clinic,159
HUM-13-shelter,HUM-15-hub,161
HUM-13-shelter,HUM-16-ngo,156
HUM-13-shelter,HUM-21-shelter,158
HUM-13-shelter,HUM-25-transport,159
HUM-14-depot,HUM-02-local_authority,107
HUM-14-depot,HUM-12-clinic,110
HUM-14-depot,HUM-15-hub,106
HUM-14-depot,HUM-16-ngo,105
HUM-14-depot,HUM-17-transport,107
HUM-15-hub,HUM-01-transport,171
HUM-15-hub,HUM-12-clinic,168
HUM-15-hub,HUM-13-shelter,170
HUM-15-hub,HUM-14-depot,163
HUM-15-hub,HUM-16-ngo,169
HUM-15-hub,HUM-17-transport,166
HUM-16-ngo,HUM-08-ngo,134
HUM-16-ngo,HUM-13-shelter,131
HUM-16-ngo,HUM-14-depot,129
HUM-16-ngo,HUM-15-hub,131
HUM-16-ngo,HUM-17-transport,132
HUM-16-ngo,HUM-18-local_authority,134
HUM-16-ngo,HUM-19-assessment,130
HUM-17-transport,HUM-14-depot,121
HUM-17-transport,HUM-15-hub,118
HUM-17-transport,HUM-16-ngo,122
HUM-17-transport,HUM-18-local_authority,121
HUM-17-transport,HUM-19-assessment,122
HUM-17-transport,HUM-20-clinic,121
HUM-18-local_authority,HUM-16-ngo,107
HUM-18-local_authority,HUM-17-transport,109
HUM-18-local_authority,HUM-19-assessment,107
HUM-18-local_authority,HUM-20-clinic,111
HUM-18-local_authority,HUM-21-shelter,105
HUM-19-assessment,HUM-16-ngo,106
HUM-19-assessment,HUM-17-transport,103
HUM-19-assessment,HUM-18-local_authority,110
HUM-19-assessment,HUM-20-clinic,105
HUM-19-assessment,HUM-21-shelter,104
HUM-19-assessment,HUM-22-depot,103
HUM-20-clinic,HUM-07-hub,140
HUM-20-clinic,HUM-17-transport,138
HUM-20-clinic,HUM-18-local_authority,140
HUM-20-clinic,HUM-19-assessment,136
HUM-20-clinic,HUM-21-shelter,134
HUM-20-clinic,HUM-22-depot,133
HUM-20-clinic,HUM-23-hub,137
HUM-21-shelter,HUM-07-hub,153
HUM-21-shelter,HUM-13-shelter,150
HUM-21-shelter,HUM-18-local_authority,153
HUM-21-shelter,HUM-19-assessment,149
HUM-21-shelter,HUM-20-clinic,153
HUM-21-shelter,HUM-22-depot,150
HUM-21-shelter,HUM-24-ngo,153
HUM-22-depot,HUM-00-ngo,135
HUM-22-depot,HUM-19-assessment,130
HUM-22-depot,HUM-20-clinic,136
HUM-22-depot,HUM-21-shelter,129
HUM-22-depot,HUM-23-hub,133
HUM-22-depot,HUM-24-ngo,128
HUM-23-hub,HUM-06-depot,135
HUM-23-hub,HUM-07-hub,140
HUM-23-hub,HUM-20-clinic,141
HUM-23-hub,HUM-22-depot,134
HUM-23-hub,HUM-24-ngo,138
HUM-24-ngo,HUM-01-transport,141
HUM-24-ngo,HUM-21-shelter,138
HUM-24-ngo,HUM-22-depot,136
HUM-24-ngo,HUM-23-hub,135
HUM-24-ngo,HUM-25-transport,139
HUM-24-ngo,HUM-27-assessment,133
HUM-25-transport,HUM-00-ngo,108
HUM-25-transport,HUM-13-shelter,108
HUM-25-transport,HUM-24-ngo,105
HUM-25-transport,HUM-26-local_authority,107
HUM-25-transport,HUM-27-assessment,104
HUM-26-local_authority,HUM-00-ngo,108
HUM-26-local_authority,HUM-01-transport,93
HUM-26-local_authority,HUM-25-transport,91
HUM-26-local_authority,HUM-27-assessment,90
HUM-27-assessment,HUM-01-transport,149
HUM-27-assessment,HUM-05-shelter,147
HUM-27-assessment,HUM-10-local_authority,149
HUM-27-assessment,HUM-24-ngo,142
HUM-27-assessment,HUM-25-transport,147
HUM-27-assessment,HUM-26-local_authority,144
