sender,recipient,messages
HUM-00-ngo,HUM-01-transport,136
HUM-00-ngo,HUM-03-assessment,139
HUM-00-ngo,HUM-04-clinic,137
HUM-00-ngo,HUM-06-depot,140
HUM-00-ngo,HUM-07-hub,138
HUM-00-ngo,HUM-08-ngo,140
HUM-00-ngo,HUM-09-transport,140
HUM-00-ngo,HUM-14-depot,136
HUM-00-ngo,HUM-17-transport,136
HUM-01-transport,HUM-00-ngo,114
HUM-01-transport,HUM-03-assessment,115
HUM-01-transport,HUM-07-hub,116
HUM-01-transport,HUM-08-ngo,115
HUM-01-transport,HUM-23-hub,111
HUM-02-local_authority,HUM-04-clinic,158
HUM-02-local_authority,HUM-09-transport,158
HUM-02-local_authority,HUM-10-local_authority,153
HUM-02-local_authority,HUM-16-ngo,153
HUM-02-local_authority,HUM-18-local_authority,159
HUM-02-local_authority,HUM-19-assessment,153
HUM-02-local_authority,HUM-21-shelter,154
HUM-02-local_authority,HUM-25-transport,153
HUM-03-assessment,HUM-00-ngo,98
HUM-03-assessment,HUM-01-transport,92
HUM-03-assessment,HUM-06-depot,101
HUM-03-assessment,HUM-07-hub,95
HUM-03-assessment,HUM-08-ngo,100
HUM-03-assessment,HUM-17-transport,92
HUM-04-clinic,HUM-00-ngo,200
HUM-04-clinic,HUM-02-local_authority,193
HUM-04-clinic,HUM-09-transport,197
HUM-04-clinic,HUM-14-depot,192
HUM-04-clinic,HUM-17-transport,197
HUM-04-clinic,HUM-19-assessment,192
HUM-04-clinic,HUM-20-clinic,192
HUM-04-clinic,HUM-21-shelter,193
HUM-05-shelter,HUM-11-assessment,79
HUM-05-shelter,HUM-22-depot,81
HUM-05-shelter,HUM-24-ngo,81
HUM-06-depot,HUM-00-ngo,86
HUM-06-depot,HUM-03-assessment,85
HUM-06-depot,HUM-07-hub,89
HUM-06-depot,HUM-08-ngo,86
HUM-06-depot,HUM-14-depot,86
HUM-06-depot,HUM-17-transport,82
HUM-07-hub,HUM-00-ngo,95
HUM-07-hub,HUM-01-transport,90
HUM-07-hub,HUM-03-assessment,97
HUM-07-hub,HUM-06-depot,95
HUM-07-hub,HUM-08-ngo,98
HUM-07-hub,HUM-17-transport,90
HUM-08-ngo,HUM-00-ngo,94
HUM-08-ngo,HUM-01-transport,91
HUM-08-ngo,HUM-03-assessment,94
HUM-08-ngo,HUM-06-depot,96
HUM-08-ngo,HUM-07-hub,95
HUM-08-ngo,HUM-17-transport,91
HUM-09-transport,HUM-00-ngo,198
HUM-09-transport,HUM-02-local_authority,195
HUM-09-transport,HUM-04-clinic,195
HUM-09-transport,HUM-14-depot,194
HUM-09-transport,HUM-17-transport,195
HUM-09-transport,HUM-20-clinic,194
HUM-09-transport,HUM-21-shelter,196
HUM-10-local_authority,HUM-02-local_authority,117
HUM-10-local_authority,HUM-16-ngo,117
HUM-10-local_authority,HUM-18-local_authority,118
HUM-10-local_authority,HUM-19-assessment,117
HUM-10-local_authority,HUM-21-shelter,120
HUM-11-assessment,HUM-05-shelter,143
HUM-11-assessment,HUM-15-hub,145
HUM-11-assessment,HUM-18-local_authority,143
HUM-11-assessment,HUM-24-ngo,144
HUM-11-assessment,HUM-25-transport,145
HUM-11-assessment,HUM-26-local_authority,145
HUM-12-clinic,HUM-22-depot,30
HUM-13-shelter,HUM-15-hub,119
HUM-13-shelter,HUM-20-clinic,116
HUM-13-shelter,HUM-23-hub,116
HUM-13-shelter,HUM-26-local_authority,120
HUM-13-shelter,HUM-27-assessment,122
HUM-14-depot,HUM-00-ngo,122
HUM-14-depot,HUM-04-clinic,118
HUM-14-depot,HUM-06-depot,123
HUM-14-depot,HUM-09-transport,123
HUM-14-depot,HUM-17-transport,119
HUM-15-hub,HUM-11-assessment,174
HUM-15-hub,HUM-13-shelter,176
HUM-15-hub,HUM-18-local_authority,172
HUM-15-hub,HUM-20-clinic,172
HUM-15-hub,HUM-21-shelter,176
HUM-15-hub,HUM-24-ngo,174
HUM-15-hub,HUM-25-transport,172
HUM-15-hub,HUM-26-local_authority,175
HUM-16-ngo,HUM-02-local_authority,119
HUM-16-ngo,HUM-10-local_authority,118
HUM-16-ngo,HUM-18-local_authority,120
HUM-16-ngo,HUM-19-assessment,118
HUM-16-ngo,HUM-21-shelter,121
HUM-16-ngo,HUM-25-transport,118
HUM-17-transport,HUM-00-ngo,128
HUM-17-transport,HUM-03-assessment,124
HUM-17-transport,HUM-04-clinic,121
HUM-17-transport,HUM-06-depot,126
HUM-17-transport,HUM-07-hub,126
HUM-17-transport,HUM-08-ngo,125
HUM-17-transport,HUM-09-transport,126
HUM-17-transport,HUM-14-depot,121
HUM-18-local_authority,HUM-02-local_authority,162
HUM-18-local_authority,HUM-10-local_authority,160
HUM-18-local_authority,HUM-11-assessment,162
HUM-18-local_authority,HUM-15-hub,163
HUM-18-local_authority,HUM-16-ngo,163
HUM-18-local_authority,HUM-21-shelter,162
HUM-18-local_authority,HUM-24-ngo,162
HUM-18-local_authority,HUM-25-transport,160
HUM-19-assessment,HUM-02-local_authority,132
HUM-19-assessment,HUM-04-clinic,133
HUM-19-assessment,HUM-10-local_authority,132
HUM-19-assessment,HUM-16-ngo,131
HUM-19-assessment,HUM-21-shelter,133
HUM-20-clinic,HUM-04-clinic,168
