sender,recipient,messages
HUM-00-ngo,HUM-03-assessment,79
HUM-00-ngo,HUM-10-local_authority,76
HUM-01-transport,HUM-06-depot,41
HUM-02-local_authority,HUM-03-assessment,66
HUM-02-local_authority,HUM-04-clinic,66
HUM-02-local_authority,HUM-06-depot,67
HUM-03-assessment,HUM-00-ngo,66
HUM-03-assessment,HUM-02-local_authority,55
HUM-03-assessment,HUM-04-clinic,55
HUM-03-assessment,HUM-05-shelter,58
HUM-04-clinic,HUM-02-local_authority,52
HUM-04-clinic,HUM-03-assessment,55
HUM-04-clinic,HUM-05-shelter,56
HUM-05-shelter,HUM-03-assessment,74
HUM-05-shelter,HUM-04-clinic,66
HUM-05-shelter,HUM-06-depot,68
HUM-05-shelter,HUM-07-hub,74
HUM-06-depot,HUM-01-transport,82
HUM-06-depot,HUM-02-local_authority,81
HUM-06-depot,HUM-05-shelter,81
HUM-06-depot,HUM-08-ngo,79
HUM-06-depot,HUM-14-depot,83
HUM-07-hub,HUM-05-shelter,63
HUM-07-hub,HUM-08-ngo,52
HUM-07-hub,HUM-11-assessment,51
HUM-07-hub,HUM-13-shelter,49
HUM-08-ngo,HUM-06-depot,99
HUM-08-ngo,HUM-07-hub,97
HUM-08-ngo,HUM-10-local_authority,96
HUM-08-ngo,HUM-20-clinic,94
HUM-09-transport,HUM-10-local_authority,56
HUM-09-transport,HUM-11-assessment,53
HUM-09-transport,HUM-12-clinic,53
HUM-10-local_authority,HUM-00-ngo,82
HUM-10-local_authority,HUM-08-ngo,82
HUM-10-local_authority,HUM-09-transport,83
HUM-10-local_authority,HUM-11-assessment,83
HUM-10-local_authority,HUM-12-clinic,84
HUM-10-local_authority,HUM-26-local_authority,80
HUM-11-assessment,HUM-07-hub,54
HUM-11-assessment,HUM-09-transport,49
HUM-11-assessment,HUM-10-local_authority,51
HUM-12-clinic,HUM-09-transport,39
HUM-12-clinic,HUM-10-local_authority,35
HUM-13-shelter,HUM-07-hub,27
HUM-14-depot,HUM-06-depot,50
HUM-14-depot,HUM-16-ngo,55
HUM-14-depot,HUM-17-transport,51
HUM-15-hub,HUM-18-local_authority,20
HUM-16-ngo,HUM-14-depot,24
HUM-17-transport,HUM-14-depot,40
HUM-17-transport,HUM-19-assessment,31
HUM-18-local_authority,HUM-15-hub,33
HUM-18-local_authority,HUM-19-assessment,34
HUM-18-local_authority,HUM-20-clinic,33
HUM-19-assessment,HUM-17-transport,38
HUM-19-assessment,HUM-18-local_authority,40
HUM-19-assessment,HUM-20-clinic,35
HUM-20-clinic,HUM-08-ngo,49
HUM-20-clinic,HUM-18-local_authority,54
HUM-20-clinic,HUM-19-assessment,51
HUM-21-shelter,HUM-26-local_authority,23
HUM-22-depot,HUM-27-assessment,23
HUM-23-hub,HUM-27-assessment,28
HUM-24-ngo,HUM-25-transport,31
HUM-24-ngo,HUM-26-local_authority,28
HUM-25-transport,HUM-24-ngo,37
HUM-25-transport,HUM-27-assessment,30
HUM-26-local_authority,HUM-10-local_authority,65
HUM-26-local_authority,HUM-21-shelter,60
HUM-26-local_authority,HUM-24-ngo,61
HUM-27-assessment,HUM-22-depot,35
HUM-27-assessment,HUM-23-hub,33
HUM-27-assessment,HUM-25-transport,34
