sender,recipient,messages
HUM-00-ngo,HUM-01-transport,99
HUM-00-ngo,HUM-02-local_authority,92
HUM-00-ngo,HUM-03-assessment,93
HUM-00-ngo,HUM-23-hub,90
HUM-00-ngo,HUM-26-local_authority,96
HUM-00-ngo,HUM-27-assessment,92
HUM-01-transport,HUM-00-ngo,97
HUM-01-transport,HUM-02-local_authority,90
HUM-01-transport,HUM-03-assessment,89
HUM-01-transport,HUM-04-clinic,88
HUM-01-transport,HUM-05-shelter,92
HUM-01-transport,HUM-27-assessment,90
HUM-02-local_authority,HUM-00-ngo,117
HUM-02-local_authority,HUM-01-transport,117
HUM-02-local_authority,HUM-03-assessment,109
HUM-02-local_authority,HUM-04-clinic,115
HUM-02-local_authority,HUM-05-shelter,111
HUM-02-local_authority,HUM-18-local_authority,113
HUM-02-local_authority,HUM-27-assessment,114
HUM-03-assessment,HUM-00-ngo,117
HUM-03-assessment,HUM-01-transport,115
HUM-03-assessment,HUM-02-local_authority,113
HUM-03-assessment,HUM-04-clinic,111
HUM-03-assessment,HUM-05-shelter,110
HUM-03-assessment,HUM-09-transport,112
HUM-03-assessment,HUM-19-assessment,116
HUM-04-clinic,HUM-01-transport,107
HUM-04-clinic,HUM-02-local_authority,106
HUM-04-clinic,HUM-03-assessment,98
HUM-04-clinic,HUM-05-shelter,101
HUM-04-clinic,HUM-06-depot,104
HUM-04-clinic,HUM-12-clinic,106
HUM-04-clinic,HUM-14-depot,103
HUM-05-shelter,HUM-01-transport,98
HUM-05-shelter,HUM-02-local_authority,91
HUM-05-shelter,HUM-03-assessment,90
HUM-05-shelter,HUM-04-clinic,89
HUM-05-shelter,HUM-06-depot,96
HUM-05-shelter,HUM-07-hub,93
HUM-06-depot,HUM-04-clinic,78
HUM-06-depot,HUM-05-shelter,78
HUM-06-depot,HUM-07-hub,79
HUM-06-depot,HUM-08-ngo,78
HUM-06-depot,HUM-09-transport,77
HUM-07-hub,HUM-05-shelter,95
HUM-07-hub,HUM-06-depot,91
HUM-07-hub,HUM-08-ngo,94
HUM-07-hub,HUM-09-transport,88
HUM-07-hub,HUM-10-local_authority,96
HUM-07-hub,HUM-21-shelter,93
HUM-08-ngo,HUM-06-depot,83
HUM-08-ngo,HUM-07-hub,82
HUM-08-ngo,HUM-09-transport,80
HUM-08-ngo,HUM-10-local_authority,83
HUM-08-ngo,HUM-11-assessment,82
HUM-09-transport,HUM-03-assessment,101
HUM-09-transport,HUM-06-depot,105
HUM-09-transport,HUM-07-hub,104
HUM-09-transport,HUM-08-ngo,103
HUM-09-transport,HUM-10-local_authority,105
HUM-09-transport,HUM-11-assessment,104
HUM-09-transport,HUM-12-clinic,105
