sender,recipient,messages
HUM-00-ngo,HUM-01-transport,158
HUM-00-ngo,HUM-02-local_authority,155
HUM-00-ngo,HUM-18-local_authority,161
HUM-00-ngo,HUM-25-transport,156
HUM-00-ngo,HUM-26-local_authority,157
HUM-00-ngo,HUM-27-assessment,157
HUM-01-transport,HUM-00-ngo,155
HUM-01-transport,HUM-03-assessment,154
HUM-01-transport,HUM-04-clinic,164
HUM-01-transport,HUM-15-hub,153
HUM-01-transport,HUM-26-local_authority,160
HUM-01-transport,HUM-27-assessment,156
HUM-02-local_authority,HUM-00-ngo,171
HUM-02-local_authority,HUM-04-clinic,174
HUM-02-local_authority,HUM-05-shelter,172
HUM-02-local_authority,HUM-22-depot,169
HUM-02-local_authority,HUM-27-assessment,174
HUM-03-assessment,HUM-01-transport,139
HUM-03-assessment,HUM-05-shelter,131
HUM-03-assessment,HUM-06-depot,129
HUM-03-assessment,HUM-08-ngo,129
HUM-04-clinic,HUM-01-transport,217
HUM-04-clinic,HUM-02-local_authority,212
HUM-04-clinic,HUM-05-shelter,215
HUM-04-clinic,HUM-06-depot,210
HUM-04-clinic,HUM-14-depot,216
HUM-04-clinic,HUM-19-assessment,212
HUM-05-shelter,HUM-02-local_authority,170
HUM-05-shelter,HUM-03-assessment,167
HUM-05-shelter,HUM-04-clinic,174
HUM-05-shelter,HUM-06-depot,165
HUM-05-shelter,HUM-08-ngo,169
HUM-05-shelter,HUM-12-clinic,169
HUM-06-depot,HUM-03-assessment,145
HUM-06-depot,HUM-04-clinic,145
HUM-06-depot,HUM-05-shelter,146
HUM-06-depot,HUM-07-hub,143
HUM-06-depot,HUM-08-ngo,145
HUM-06-depot,HUM-09-transport,139
HUM-07-hub,HUM-06-depot,178
HUM-07-hub,HUM-08-ngo,177
HUM-07-hub,HUM-10-local_authority,185
HUM-07-hub,HUM-11-assessment,179
HUM-07-hub,HUM-19-assessment,184
HUM-07-hub,HUM-20-clinic,184
HUM-08-ngo,HUM-03-assessment,156
HUM-08-ngo,HUM-05-shelter,156
HUM-08-ngo,HUM-06-depot,154
HUM-08-ngo,HUM-07-hub,158
HUM-08-ngo,HUM-09-transport,152
HUM-08-ngo,HUM-10-local_authority,158
HUM-08-ngo,HUM-11-assessment,156
HUM-09-transport,HUM-06-depot,163
HUM-09-transport,HUM-08-ngo,161
HUM-09-transport,HUM-10-local_authority,168
HUM-09-transport,HUM-11-assessment,163
HUM-09-transport,HUM-12-clinic,162
HUM-09-transport,HUM-22-depot,162
HUM-10-local_authority,HUM-07-hub,160
HUM-10-local_authority,HUM-08-ngo,155
HUM-10-local_authority,HUM-09-transport,157
HUM-10-local_authority,HUM-11-assessment,157
HUM-10-local_authority,HUM-12-clinic,158
HUM-10-local_authority,HUM-13-shelter,155
HUM-11-assessment,HUM-07-hub,180
HUM-11-assessment,HUM-08-ngo,177
HUM-11-assessment,HUM-09-transport,176
HUM-11-assessment,HUM-10-local_authority,180
HUM-11-assessment,HUM-12-clinic,179
HUM-11-assessment,HUM-13-shelter,176
HUM-11-assessment,HUM-14-depot,178
HUM-12-clinic,HUM-05-shelter,216
HUM-12-clinic,HUM-09-transport,206
HUM-12-clinic,HUM-10-local_authority,211
HUM-12-clinic,HUM-11-assessment,209
HUM-12-clinic,HUM-14-depot,211
HUM-12-clinic,HUM-15-hub,208
HUM-12-clinic,HUM-22-depot,208
HUM-12-clinic,HUM-24-ngo,207
HUM-13-shelter,HUM-10-local_authority,144
HUM-13-shelter,HUM-11-assessment,144
HUM-13-shelter,HUM-14-depot,141
HUM-13-shelter,HUM-15-hub,144
HUM-13-shelter,HUM-16-ngo,140
HUM-14-depot,HUM-04-clinic,196
HUM-14-depot,HUM-11-assessment,190
HUM-14-depot,HUM-12-clinic,193
HUM-14-depot,HUM-13-shelter,188
HUM-14-depot,HUM-16-ngo,190
HUM-14-depot,HUM-17-transport,191
HUM-15-hub,HUM-01-transport,192
HUM-15-hub,HUM-12-clinic,189
HUM-15-hub,HUM-13-shelter,194
HUM-15-hub,HUM-16-ngo,188
HUM-15-hub,HUM-17-transport,193
HUM-15-hub,HUM-18-local_authority,192
HUM-16-ngo,HUM-13-shelter,158
HUM-16-ngo,HUM-14-depot,160
HUM-16-ngo,HUM-15-hub,158
HUM-16-ngo,HUM-17-transport,162
HUM-16-ngo,HUM-18-local_authority,161
HUM-16-ngo,HUM-19-assessment,160
HUM-16-ngo,HUM-24-ngo,158
HUM-17-transport,HUM-14-depot,162
HUM-17-transport,HUM-15-hub,159
HUM-17-transport,HUM-16-ngo,160
HUM-17-transport,HUM-18-local_authority,162
HUM-17-transport,HUM-19-assessment,164
HUM-17-transport,HUM-20-clinic,160
HUM-18-local_authority,HUM-00-ngo,180
HUM-18-local_authority,HUM-15-hub,180
HUM-18-local_authority,HUM-16-ngo,179
HUM-18-local_authority,HUM-17-transport,182
HUM-18-local_authority,HUM-19-assessment,181
HUM-18-local_authority,HUM-20-clinic,181
HUM-18-local_authority,HUM-21-shelter,182
HUM-19-assessment,HUM-04-clinic,219
HUM-19-assessment,HUM-07-hub,216
HUM-19-assessment,HUM-16-ngo,214
HUM-19-assessment,HUM-17-transport,216
HUM-19-assessment,HUM-18-local_authority,219
HUM-19-assessment,HUM-21-shelter,216
HUM-19-assessment,HUM-25-transport,219
HUM-20-clinic,HUM-07-hub,162
HUM-20-clinic,HUM-17-transport,157
HUM-20-clinic,HUM-18-local_authority,161
HUM-20-clinic,HUM-21-shelter,156
HUM-20-clinic,HUM-23-hub,166
HUM-20-clinic,HUM-24-ngo,154
HUM-21-shelter,HUM-18-local_authority,161
HUM-21-shelter,HUM-19-assessment,157
HUM-21-shelter,HUM-20-clinic,158
HUM-21-shelter,HUM-22-depot,156
HUM-21-shelter,HUM-23-hub,162
HUM-21-shelter,HUM-24-ngo,155
HUM-22-depot,HUM-02-local_authority,186
HUM-22-depot,HUM-09-transport,184
HUM-22-depot,HUM-12-clinic,186
HUM-22-depot,HUM-21-shelter,186
HUM-22-depot,HUM-23-hub,188
HUM-23-hub,HUM-20-clinic,133
HUM-23-hub,HUM-21-shelter,127
HUM-23-hub,HUM-22-depot,128
HUM-23-hub,HUM-24-ngo,129
HUM-23-hub,HUM-25-transport,131
HUM-23-hub,HUM-26-local_authority,129
HUM-24-ngo,HUM-12-clinic,185
HUM-24-ngo,HUM-16-ngo,181
HUM-24-ngo,HUM-20-clinic,186
HUM-24-ngo,HUM-21-shelter,183
HUM-24-ngo,HUM-23-hub,190
HUM-24-ngo,HUM-25-transport,186
HUM-25-transport,HUM-00-ngo,126
HUM-25-transport,HUM-19-assessment,127
HUM-25-transport,HUM-23-hub,130
HUM-25-transport,HUM-24-ngo,126
HUM-25-transport,HUM-26-local_authority,126
HUM-25-transport,HUM-27-assessment,126
HUM-26-local_authority,HUM-00-ngo,113
HUM-26-local_authority,HUM-01-transport,114
HUM-26-local_authority,HUM-23-hub,117
HUM-26-local_authority,HUM-25-transport,115
HUM-26-local_authority,HUM-27-assessment,115
HUM-27-assessment,HUM-00-ngo,115
HUM-27-assessment,HUM-01-transport,116
HUM-27-assessment,HUM-02-local_authority,116
HUM-27-assessment,HUM-25-transport,118
HUM-27-assessment,HUM-26-local_authority,120
