sender,recipient,messages
HUM-00-ngo,HUM-01-transport,38
HUM-00-ngo,HUM-02-local_authority,39
HUM-00-ngo,HUM-06-depot,39
HUM-00-ngo,HUM-07-hub,40
HUM-00-ngo,HUM-09-transport,39
HUM-00-ngo,HUM-10-local_authority,37
HUM-00-ngo,HUM-11-assessment,41
HUM-01-transport,HUM-00-ngo,49
HUM-01-transport,HUM-02-local_authority,45
HUM-01-transport,HUM-03-assessment,45
HUM-01-transport,HUM-06-depot,50
HUM-01-transport,HUM-07-hub,43
HUM-01-transport,HUM-10-local_authority,43
HUM-02-local_authority,HUM-00-ngo,41
HUM-02-local_authority,HUM-01-transport,40
HUM-02-local_authority,HUM-03-assessment,43
HUM-02-local_authority,HUM-04-clinic,42
HUM-02-local_authority,HUM-11-assessment,43
HUM-03-assessment,HUM-01-transport,45
HUM-03-assessment,HUM-02-local_authority,47
HUM-03-assessment,HUM-05-shelter,43
HUM-03-assessment,HUM-06-depot,47
HUM-03-assessment,HUM-07-hub,45
HUM-04-clinic,HUM-02-local_authority,42
HUM-04-clinic,HUM-06-depot,42
HUM-04-clinic,HUM-07-hub,39
HUM-04-clinic,HUM-10-local_authority,41
HUM-05-shelter,HUM-03-assessment,44
HUM-05-shelter,HUM-06-depot,46
HUM-05-shelter,HUM-07-hub,44
HUM-05-shelter,HUM-08-ngo,47
HUM-06-depot,HUM-00-ngo,51
HUM-06-depot,HUM-01-transport,45
HUM-06-depot,HUM-03-assessment,44
HUM-06-depot,HUM-04-clinic,49
HUM-06-depot,HUM-05-shelter,43
HUM-06-depot,HUM-07-hub,45
HUM-06-depot,HUM-08-ngo,49
HUM-06-depot,HUM-09-transport,48
HUM-06-depot,HUM-11-assessment,48
HUM-07-hub,HUM-00-ngo,52
HUM-07-hub,HUM-01-transport,50
HUM-07-hub,HUM-03-assessment,49
HUM-07-hub,HUM-04-clinic,52
HUM-07-hub,HUM-05-shelter,48
HUM-07-hub,HUM-06-depot,52
HUM-07-hub,HUM-08-ngo,50
HUM-07-hub,HUM-09-transport,53
HUM-08-ngo,HUM-05-shelter,47
HUM-08-ngo,HUM-06-depot,43
HUM-08-ngo,HUM-07-hub,40
HUM-08-ngo,HUM-09-transport,47
HUM-08-ngo,HUM-10-local_authority,40
HUM-08-ngo,HUM-11-assessment,42
HUM-09-transport,HUM-00-ngo,47
HUM-09-transport,HUM-06-depot,42
HUM-09-transport,HUM-07-hub,42
HUM-09-transport,HUM-08-ngo,44
HUM-09-transport,HUM-10-local_authority,40
HUM-09-transport,HUM-11-assessment,42
HUM-10-local_authority,HUM-00-ngo,44
HUM-10-local_authority,HUM-01-transport,37
HUM-10-local_authority,HUM-04-clinic,38
HUM-10-local_authority,HUM-08-ngo,41
HUM-10-local_authority,HUM-09-transport,39
HUM-10-local_authority,HUM-11-assessment,39
HUM-11-assessment,HUM-00-ngo,44
HUM-11-assessment,HUM-02-local_authority,39
HUM-11-assessment,HUM-06-depot,40
HUM-11-assessment,HUM-08-ngo,41
HUM-11-assessment,HUM-09-transport,39
HUM-11-assessment,HUM-10-local_authority,37
