sender,recipient,messages
UTL-00-zone_operator,UTL-01-crew_dispatch,185
UTL-00-zone_operator,UTL-02-cyber_defense,182
UTL-00-zone_operator,UTL-03-communications,187
UTL-00-zone_operator,UTL-05-critical_load,183
UTL-00-zone_operator,UTL-12-zone_operator,184
UTL-00-zone_operator,UTL-24-zone_operator,190
UTL-00-zone_operator,UTL-32-cyber_defense,185
UTL-01-crew_dispatch,UTL-00-zone_operator,141
UTL-01-crew_dispatch,UTL-06-zone_operator,141
UTL-01-crew_dispatch,UTL-07-crew_dispatch,143
UTL-01-crew_dispatch,UTL-08-cyber_defense,140
UTL-01-crew_dispatch,UTL-09-communications,138
UTL-01-crew_dispatch,UTL-12-zone_operator,133
UTL-02-cyber_defense,UTL-00-zone_operator,124
UTL-02-cyber_defense,UTL-05-critical_load,117
UTL-02-cyber_defense,UTL-06-zone_operator,120
UTL-03-communications,UTL-00-zone_operator,161
UTL-03-communications,UTL-04-resource_allocation,144
UTL-03-communications,UTL-07-crew_dispatch,145
UTL-03-communications,UTL-09-communications,141
UTL-03-communications,UTL-10-resource_allocation,141
UTL-04-resource_allocation,UTL-03-communications,101
UTL-04-resource_allocation,UTL-08-cyber_defense,102
UTL-04-resource_allocation,UTL-10-resource_allocation,103
UTL-05-critical_load,UTL-00-zone_operator,147
UTL-05-critical_load,UTL-02-cyber_defense,144
UTL-05-critical_load,UTL-07-crew_dispatch,151
UTL-05-critical_load,UTL-08-cyber_defense,150
UTL-05-critical_load,UTL-09-communications,148
UTL-05-critical_load,UTL-11-critical_load,144
UTL-06-zone_operator,UTL-01-crew_dispatch,161
UTL-06-zone_operator,UTL-02-cyber_defense,154
UTL-06-zone_operator,UTL-07-crew_dispatch,162
UTL-06-zone_operator,UTL-08-cyber_defense,162
UTL-06-zone_operator,UTL-10-resource_allocation,156
UTL-06-zone_operator,UTL-47-critical_load,159
UTL-07-crew_dispatch,UTL-01-crew_dispatch,209
UTL-07-crew_dispatch,UTL-03-communications,204
UTL-07-crew_dispatch,UTL-05-critical_load,205
UTL-07-crew_dispatch,UTL-06-zone_operator,208
UTL-07-crew_dispatch,UTL-08-cyber_defense,210
UTL-07-crew_dispatch,UTL-10-resource_allocation,205
UTL-07-crew_dispatch,UTL-11-critical_load,202
UTL-07-crew_dispatch,UTL-30-zone_operator,206
UTL-08-cyber_defense,UTL-01-crew_dispatch,155
UTL-08-cyber_defense,UTL-04-resource_allocation,159
UTL-08-cyber_defense,UTL-05-critical_load,153
UTL-08-cyber_defense,UTL-06-zone_operator,156
