sender,recipient,messages
UTL-00-zone_operator,UTL-03-communications,66
UTL-00-zone_operator,UTL-04-resource_allocation,61
UTL-00-zone_operator,UTL-05-critical_load,60
UTL-00-zone_operator,UTL-06-zone_operator,61
UTL-01-crew_dispatch,UTL-02-cyber_defense,49
UTL-01-crew_dispatch,UTL-05-critical_load,40
UTL-02-cyber_defense,UTL-01-crew_dispatch,93
UTL-02-cyber_defense,UTL-03-communications,93
UTL-02-cyber_defense,UTL-05-critical_load,94
UTL-02-cyber_defense,UTL-07-crew_dispatch,91
UTL-02-cyber_defense,UTL-14-cyber_defense,92
UTL-03-communications,UTL-00-zone_operator,61
UTL-03-communications,UTL-02-cyber_defense,59
UTL-03-communications,UTL-06-zone_operator,53
UTL-04-resource_allocation,UTL-00-zone_operator,64
UTL-04-resource_allocation,UTL-06-zone_operator,60
UTL-04-resource_allocation,UTL-26-cyber_defense,59
UTL-05-critical_load,UTL-00-zone_operator,61
UTL-05-critical_load,UTL-01-crew_dispatch,62
UTL-05-critical_load,UTL-02-cyber_defense,62
UTL-05-critical_load,UTL-20-cyber_defense,61
UTL-06-zone_operator,UTL-00-zone_operator,57
UTL-06-zone_operator,UTL-03-communications,55
UTL-06-zone_operator,UTL-04-resource_allocation,55
UTL-07-crew_dispatch,UTL-02-cyber_defense,90
UTL-07-crew_dispatch,UTL-08-cyber_defense,79
UTL-07-crew_dispatch,UTL-09-communications,79
UTL-07-crew_dispatch,UTL-13-crew_dispatch,81
UTL-08-cyber_defense,UTL-07-crew_dispatch,48
UTL-08-cyber_defense,UTL-12-zone_operator,46
UTL-09-communications,UTL-07-crew_dispatch,57
UTL-09-communications,UTL-10-resource_allocation,58
UTL-09-communications,UTL-22-resource_allocation,56
UTL-10-resource_allocation,UTL-09-communications,48
UTL-10-resource_allocation,UTL-12-zone_operator,47
UTL-10-resource_allocation,UTL-13-crew_dispatch,45
UTL-11-critical_load,UTL-21-communications,22
UTL-12-zone_operator,UTL-08-cyber_defense,43
UTL-12-zone_operator,UTL-10-resource_allocation,40
UTL-12-zone_operator,UTL-13-crew_dispatch,39
UTL-13-crew_dispatch,UTL-07-crew_dispatch,47
UTL-13-crew_dispatch,UTL-10-resource_allocation,39
UTL-13-crew_dispatch,UTL-12-zone_operator,43
UTL-14-cyber_defense,UTL-02-cyber_defense,63
UTL-14-cyber_defense,UTL-17-critical_load,62
UTL-14-cyber_defense,UTL-18-zone_operator,64
UTL-15-communications,UTL-19-crew_dispatch,22
UTL-16-resource_allocation,UTL-17-critical_load,26
UTL-16-resource_allocation,UTL-18-zone_operator,24
UTL-17-critical_load,UTL-14-cyber_defense,42
UTL-17-critical_load,UTL-16-resource_allocation,42
UTL-17-critical_load,UTL-18-zone_operator,42
UTL-17-critical_load,UTL-19-crew_dispatch,44
UTL-18-zone_operator,UTL-14-cyber_defense,43
UTL-18-zone_operator,UTL-16-resource_allocation,40
UTL-18-zone_operator,UTL-17-critical_load,41
UTL-18-zone_operator,UTL-19-crew_dispatch,44
UTL-19-crew_dispatch,UTL-15-communications,46
UTL-19-crew_dispatch,UTL-17-critical_load,47
UTL-19-crew_dispatch,UTL-18-zone_operator,46
UTL-19-crew_dispatch,UTL-21-communications,45
UTL-20-cyber_defense,UTL-05-critical_load,29
UTL-21-communications,UTL-11-critical_load,57
UTL-21-communications,UTL-19-crew_dispatch,53
UTL-21-communications,UTL-24-zone_operator,56
UTL-21-communications,UTL-27-communications,51
UTL-22-resource_allocation,UTL-09-communications,31
UTL-22-resource_allocation,UTL-24-zone_operator,32
UTL-23-critical_load,UTL-24-zone_operator,43
UTL-23-critical_load,UTL-26-cyber_defense,43
UTL-24-zone_operator,UTL-21-communications,50
UTL-24-zone_operator,UTL-22-resource_allocation,46
UTL-24-zone_operator,UTL-23-critical_load,46
UTL-25-crew_dispatch,UTL-26-cyber_defense,25
UTL-26-cyber_defense,UTL-04-resource_allocation,53
UTL-26-cyber_defense,UTL-23-critical_load,56
UTL-26-cyber_defense,UTL-25-crew_dispatch,56
UTL-26-cyber_defense,UTL-27-communications,56
UTL-27-communications,UTL-21-communications,41
UTL-27-communications,UTL-26-cyber_defense,39
