sender,recipient,messages
UTL-00-zone_operator,UTL-01-crew_dispatch,158
UTL-00-zone_operator,UTL-02-cyber_defense,161
UTL-00-zone_operator,UTL-03-communications,159
UTL-00-zone_operator,UTL-04-resource_allocation,159
UTL-00-zone_operator,UTL-05-critical_load,159
UTL-00-zone_operator,UTL-06-zone_operator,160
UTL-00-zone_operator,UTL-07-crew_dispatch,159
UTL-00-zone_operator,UTL-10-resource_allocation,158
UTL-00-zone_operator,UTL-13-crew_dispatch,162
UTL-00-zone_operator,UTL-15-communications,161
UTL-00-zone_operator,UTL-17-critical_load,161
UTL-00-zone_operator,UTL-18-zone_operator,164
UTL-00-zone_operator,UTL-22-resource_allocation,159
UTL-00-zone_operator,UTL-26-cyber_defense,159
UTL-00-zone_operator,UTL-27-communications,160
UTL-01-crew_dispatch,UTL-00-zone_operator,122
UTL-01-crew_dispatch,UTL-04-resource_allocation,121
UTL-01-crew_dispatch,UTL-05-critical_load,123
UTL-02-cyber_defense,UTL-00-zone_operator,78
UTL-02-cyber_defense,UTL-06-zone_operator,63
UTL-03-communications,UTL-00-zone_operator,171
UTL-03-communications,UTL-04-resource_allocation,169
UTL-03-communications,UTL-05-critical_load,170
UTL-03-communications,UTL-07-crew_dispatch,169
UTL-03-communications,UTL-08-cyber_defense,171
UTL-03-communications,UTL-09-communications,173
UTL-03-communications,UTL-10-resource_allocation,170
UTL-03-communications,UTL-16-resource_allocation,172
UTL-03-communications,UTL-17-critical_load,171
UTL-03-communications,UTL-18-zone_operator,173
UTL-03-communications,UTL-19-crew_dispatch,173
UTL-03-communications,UTL-22-resource_allocation,171
UTL-03-communications,UTL-25-crew_dispatch,173
UTL-03-communications,UTL-27-communications,171
UTL-04-resource_allocation,UTL-00-zone_operator,150
UTL-04-resource_allocation,UTL-01-crew_dispatch,145
UTL-04-resource_allocation,UTL-03-communications,147
UTL-04-resource_allocation,UTL-09-communications,150
UTL-04-resource_allocation,UTL-10-resource_allocation,148
UTL-04-resource_allocation,UTL-11-critical_load,147
UTL-04-resource_allocation,UTL-14-cyber_defense,142
UTL-04-resource_allocation,UTL-18-zone_operator,150
UTL-04-resource_allocation,UTL-19-crew_dispatch,150
UTL-04-resource_allocation,UTL-20-cyber_defense,147
UTL-04-resource_allocation,UTL-26-cyber_defense,146
UTL-04-resource_allocation,UTL-27-communications,149
UTL-05-critical_load,UTL-00-zone_operator,179
UTL-05-critical_load,UTL-01-crew_dispatch,176
UTL-05-critical_load,UTL-03-communications,178
UTL-05-critical_load,UTL-06-zone_operator,176
UTL-05-critical_load,UTL-08-cyber_defense,178
UTL-05-critical_load,UTL-11-critical_load,176
UTL-05-critical_load,UTL-12-zone_operator,177
UTL-05-critical_load,UTL-13-crew_dispatch,176
UTL-05-critical_load,UTL-14-cyber_defense,173
UTL-05-critical_load,UTL-15-communications,175
UTL-05-critical_load,UTL-17-critical_load,181
UTL-05-critical_load,UTL-20-cyber_defense,176
UTL-05-critical_load,UTL-22-resource_allocation,179
UTL-05-critical_load,UTL-24-zone_operator,178
UTL-06-zone_operator,UTL-00-zone_operator,129
UTL-06-zone_operator,UTL-02-cyber_defense,126
UTL-06-zone_operator,UTL-05-critical_load,125
UTL-06-zone_operator,UTL-07-crew_dispatch,125
UTL-06-zone_operator,UTL-08-cyber_defense,126
UTL-06-zone_operator,UTL-13-crew_dispatch,128
UTL-06-zone_operator,UTL-20-cyber_defense,128
UTL-07-crew_dispatch,UTL-00-zone_operator,119
UTL-07-crew_dispatch,UTL-03-communications,105
UTL-07-crew_dispatch,UTL-06-zone_operator,105
UTL-07-crew_dispatch,UTL-12-zone_operator,101
UTL-08-cyber_defense,UTL-03-communications,157
UTL-08-cyber_defense,UTL-05-critical_load,156
UTL-08-cyber_defense,UTL-06-zone_operator,156
UTL-08-cyber_defense,UTL-09-communications,160
UTL-08-cyber_defense,UTL-14-cyber_defense,159
UTL-08-cyber_defense,UTL-16-resource_allocation,159
UTL-08-cyber_defense,UTL-21-communications,157
UTL-08-cyber_defense,UTL-23-critical_load,160
UTL-09-communications,UTL-03-communications,136
UTL-09-communications,UTL-04-resource_allocation,131
UTL-09-communications,UTL-08-cyber_defense,137
UTL-09-communications,UTL-12-zone_operator,132
UTL-09-communications,UTL-16-resource_allocation,139
UTL-09-communications,UTL-19-crew_dispatch,133
UTL-10-resource_allocation,UTL-00-zone_operator,143
UTL-10-resource_allocation,UTL-03-communications,134
UTL-10-resource_allocation,UTL-04-resource_allocation,134
UTL-10-resource_allocation,UTL-11-critical_load,136
UTL-11-critical_load,UTL-04-resource_allocation,112
UTL-11-critical_load,UTL-05-critical_load,113
UTL-11-critical_load,UTL-10-resource_allocation,116
UTL-12-zone_operator,UTL-05-critical_load,91
UTL-12-zone_operator,UTL-07-crew_dispatch,73
UTL-12-zone_operator,UTL-09-communications,82
UTL-12-zone_operator,UTL-24-zone_operator,78
UTL-13-crew_dispatch,UTL-00-zone_operator,115
UTL-13-crew_dispatch,UTL-05-critical_load,100
UTL-13-crew_dispatch,UTL-06-zone_operator,104
UTL-13-crew_dispatch,UTL-15-communications,99
UTL-14-cyber_defense,UTL-04-resource_allocation,138
