sender,recipient,messages
UTL-00-zone_operator,UTL-01-crew_dispatch,55
UTL-00-zone_operator,UTL-02-cyber_defense,56
UTL-00-zone_operator,UTL-03-communications,48
UTL-00-zone_operator,UTL-06-zone_operator,51
UTL-01-crew_dispatch,UTL-00-zone_operator,62
UTL-01-crew_dispatch,UTL-04-resource_allocation,61
UTL-01-crew_dispatch,UTL-26-cyber_defense,58
UTL-02-cyber_defense,UTL-00-zone_operator,77
UTL-02-cyber_defense,UTL-04-resource_allocation,70
UTL-02-cyber_defense,UTL-05-critical_load,72
UTL-02-cyber_defense,UTL-11-critical_load,73
UTL-03-communications,UTL-00-zone_operator,79
UTL-03-communications,UTL-04-resource_allocation,73
UTL-03-communications,UTL-06-zone_operator,74
UTL-03-communications,UTL-26-cyber_defense,75
UTL-04-resource_allocation,UTL-01-crew_dispatch,96
UTL-04-resource_allocation,UTL-02-cyber_defense,91
UTL-04-resource_allocation,UTL-03-communications,89
UTL-04-resource_allocation,UTL-17-critical_load,92
UTL-05-critical_load,UTL-02-cyber_defense,65
UTL-05-critical_load,UTL-06-zone_operator,63
UTL-05-critical_load,UTL-07-crew_dispatch,61
UTL-06-zone_operator,UTL-00-zone_operator,61
UTL-06-zone_operator,UTL-03-communications,56
UTL-06-zone_operator,UTL-05-critical_load,59
UTL-07-crew_dispatch,UTL-05-critical_load,66
UTL-07-crew_dispatch,UTL-10-resource_allocation,65
UTL-07-crew_dispatch,UTL-13-crew_dispatch,65
UTL-08-cyber_defense,UTL-10-resource_allocation,59
UTL-08-cyber_defense,UTL-12-zone_operator,59
UTL-08-cyber_defense,UTL-14-cyber_defense,64
UTL-09-communications,UTL-10-resource_allocation,44
UTL-09-communications,UTL-11-critical_load,46
UTL-10-resource_allocation,UTL-07-crew_dispatch,73
UTL-10-resource_allocation,UTL-08-cyber_defense,73
UTL-10-resource_allocation,UTL-09-communications,74
UTL-10-resource_allocation,UTL-11-critical_load,76
UTL-10-resource_allocation,UTL-12-zone_operator,74
UTL-11-critical_load,UTL-02-cyber_defense,66
UTL-11-critical_load,UTL-09-communications,59
UTL-11-critical_load,UTL-10-resource_allocation,60
UTL-12-zone_operator,UTL-08-cyber_defense,66
UTL-12-zone_operator,UTL-10-resource_allocation,68
UTL-12-zone_operator,UTL-19-crew_dispatch,66
UTL-13-crew_dispatch,UTL-07-crew_dispatch,25
UTL-14-cyber_defense,UTL-08-cyber_defense,34
UTL-14-cyber_defense,UTL-18-zone_operator,32
UTL-15-communications,UTL-16-resource_allocation,17
UTL-16-resource_allocation,UTL-15-communications,58
UTL-16-resource_allocation,UTL-17-critical_load,56
UTL-16-resource_allocation,UTL-19-crew_dispatch,51
UTL-17-critical_load,UTL-04-resource_allocation,82
UTL-17-critical_load,UTL-16-resource_allocation,86
UTL-17-critical_load,UTL-18-zone_operator,85
UTL-17-critical_load,UTL-19-crew_dispatch,81
UTL-17-critical_load,UTL-22-resource_allocation,85
UTL-18-zone_operator,UTL-14-cyber_defense,49
UTL-18-zone_operator,UTL-17-critical_load,49
UTL-19-crew_dispatch,UTL-12-zone_operator,74
UTL-19-crew_dispatch,UTL-16-resource_allocation,72
UTL-19-crew_dispatch,UTL-17-critical_load,72
UTL-19-crew_dispatch,UTL-20-cyber_defense,73
UTL-20-cyber_defense,UTL-19-crew_dispatch,51
UTL-20-cyber_defense,UTL-21-communications,51
UTL-21-communications,UTL-20-cyber_defense,71
UTL-21-communications,UTL-23-critical_load,63
UTL-21-communications,UTL-26-cyber_defense,64
UTL-21-communications,UTL-27-communications,64
UTL-22-resource_allocation,UTL-17-critical_load,31
UTL-23-critical_load,UTL-21-communications,43
UTL-23-critical_load,UTL-24-zone_operator,50
UTL-23-critical_load,UTL-27-communications,46
UTL-24-zone_operator,UTL-23-critical_load,40
UTL-24-zone_operator,UTL-27-communications,38
UTL-25-crew_dispatch,UTL-27-communications,39
UTL-26-cyber_defense,UTL-01-crew_dispatch,81
UTL-26-cyber_defense,UTL-03-communications,77
UTL-26-cyber_defense,UTL-21-communications,76
UTL-26-cyber_defense,UTL-27-communications,80
UTL-27-communications,UTL-21-communications,53
UTL-27-communications,UTL-23-critical_load,56
UTL-27-communications,UTL-24-zone_operator,59
UTL-27-communications,UTL-25-crew_dispatch,57
UTL-27-communications,UTL-26-cyber_defense,58
