sender,recipient,messages
UTL-00-zone_operator,UTL-01-crew_dispatch,227
UTL-00-zone_operator,UTL-02-cyber_defense,225
UTL-00-zone_operator,UTL-03-communications,225
UTL-00-zone_operator,UTL-04-resource_allocation,220
UTL-00-zone_operator,UTL-05-critical_load,221
UTL-00-zone_operator,UTL-06-zone_operator,221
UTL-00-zone_operator,UTL-08-cyber_defense,222
UTL-00-zone_operator,UTL-14-cyber_defense,223
UTL-00-zone_operator,UTL-16-resource_allocation,223
UTL-00-zone_operator,UTL-21-communications,221
UTL-00-zone_operator,UTL-22-resource_allocation,224
UTL-00-zone_operator,UTL-24-zone_operator,223
UTL-01-crew_dispatch,UTL-00-zone_operator,175
UTL-01-crew_dispatch,UTL-05-critical_load,175
UTL-01-crew_dispatch,UTL-10-resource_allocation,175
UTL-01-crew_dispatch,UTL-17-critical_load,176
UTL-01-crew_dispatch,UTL-20-cyber_defense,181
UTL-02-cyber_defense,UTL-00-zone_operator,129
UTL-02-cyber_defense,UTL-04-resource_allocation,127
UTL-02-cyber_defense,UTL-16-resource_allocation,127
UTL-02-cyber_defense,UTL-27-communications,129
UTL-03-communications,UTL-00-zone_operator,213
UTL-03-communications,UTL-04-resource_allocation,212
UTL-03-communications,UTL-06-zone_operator,213
UTL-03-communications,UTL-07-crew_dispatch,213
UTL-03-communications,UTL-08-cyber_defense,213
UTL-03-communications,UTL-09-communications,215
UTL-03-communications,UTL-10-resource_allocation,214
UTL-03-communications,UTL-12-zone_operator,214
UTL-03-communications,UTL-13-crew_dispatch,212
UTL-03-communications,UTL-17-critical_load,215
UTL-03-communications,UTL-22-resource_allocation,215
UTL-03-communications,UTL-23-critical_load,215
UTL-03-communications,UTL-24-zone_operator,214
UTL-03-communications,UTL-25-crew_dispatch,213
UTL-03-communications,UTL-26-cyber_defense,212
UTL-04-resource_allocation,UTL-00-zone_operator,207
UTL-04-resource_allocation,UTL-02-cyber_defense,210
UTL-04-resource_allocation,UTL-03-communications,212
UTL-04-resource_allocation,UTL-05-critical_load,206
UTL-04-resource_allocation,UTL-11-critical_load,208
UTL-04-resource_allocation,UTL-12-zone_operator,207
UTL-04-resource_allocation,UTL-15-communications,209
UTL-04-resource_allocation,UTL-19-crew_dispatch,207
UTL-04-resource_allocation,UTL-22-resource_allocation,210
UTL-05-critical_load,UTL-00-zone_operator,223
UTL-05-critical_load,UTL-01-crew_dispatch,224
UTL-05-critical_load,UTL-04-resource_allocation,222
UTL-05-critical_load,UTL-06-zone_operator,223
UTL-05-critical_load,UTL-07-crew_dispatch,222
UTL-05-critical_load,UTL-08-cyber_defense,224
UTL-05-critical_load,UTL-09-communications,225
UTL-05-critical_load,UTL-10-resource_allocation,223
UTL-05-critical_load,UTL-12-zone_operator,223
UTL-05-critical_load,UTL-14-cyber_defense,225
UTL-05-critical_load,UTL-16-resource_allocation,224
UTL-05-critical_load,UTL-20-cyber_defense,228
UTL-05-critical_load,UTL-23-critical_load,226
UTL-06-zone_operator,UTL-00-zone_operator,227
UTL-06-zone_operator,UTL-03-communications,231
UTL-06-zone_operator,UTL-05-critical_load,227
UTL-06-zone_operator,UTL-07-crew_dispatch,226
UTL-06-zone_operator,UTL-09-communications,229
UTL-06-zone_operator,UTL-11-critical_load,229
UTL-06-zone_operator,UTL-17-critical_load,230
UTL-06-zone_operator,UTL-18-zone_operator,227
UTL-06-zone_operator,UTL-19-crew_dispatch,228
UTL-06-zone_operator,UTL-20-cyber_defense,232
UTL-06-zone_operator,UTL-21-communications,227
UTL-06-zone_operator,UTL-26-cyber_defense,227
UTL-06-zone_operator,UTL-27-communications,227
UTL-07-crew_dispatch,UTL-03-communications,198
UTL-07-crew_dispatch,UTL-05-critical_load,194
UTL-07-crew_dispatch,UTL-06-zone_operator,194
UTL-08-cyber_defense,UTL-00-zone_operator,172
UTL-08-cyber_defense,UTL-03-communications,170
UTL-08-cyber_defense,UTL-05-critical_load,166
UTL-08-cyber_defense,UTL-24-zone_operator,168
UTL-09-communications,UTL-03-communications,190
UTL-09-communications,UTL-05-critical_load,189
UTL-09-communications,UTL-06-zone_operator,189
UTL-09-communications,UTL-11-critical_load,190
UTL-09-communications,UTL-13-crew_dispatch,188
UTL-10-resource_allocation,UTL-01-crew_dispatch,196
UTL-10-resource_allocation,UTL-03-communications,198
UTL-10-resource_allocation,UTL-05-critical_load,194
UTL-10-resource_allocation,UTL-14-cyber_defense,196
UTL-10-resource_allocation,UTL-15-communications,197
UTL-10-resource_allocation,UTL-18-zone_operator,199
UTL-10-resource_allocation,UTL-19-crew_dispatch,198
UTL-11-critical_load,UTL-04-resource_allocation,155
UTL-11-critical_load,UTL-06-zone_operator,155
UTL-11-critical_load,UTL-09-communications,157
UTL-11-critical_load,UTL-13-crew_dispatch,155
UTL-11-critical_load,UTL-15-communications,158
UTL-12-zone_operator,UTL-03-communications,187
UTL-12-zone_operator,UTL-04-resource_allocation,182
UTL-12-zone_operator,UTL-05-critical_load,184
UTL-12-zone_operator,UTL-23-critical_load,186
UTL-12-zone_operator,UTL-27-communications,183
UTL-13-crew_dispatch,UTL-03-communications,142
UTL-13-crew_dispatch,UTL-09-communications,142
UTL-13-crew_dispatch,UTL-11-critical_load,142
UTL-14-cyber_defense,UTL-00-zone_operator,151
UTL-14-cyber_defense,UTL-05-critical_load,151
UTL-14-cyber_defense,UTL-10-resource_allocation,151
UTL-14-cyber_defense,UTL-25-crew_dispatch,154
UTL-15-communications,UTL-04-resource_allocation,118
UTL-15-communications,UTL-10-resource_allocation,119
UTL-15-communications,UTL-11-critical_load,119
UTL-15-communications,UTL-21-communications,117
UTL-16-resource_allocation,UTL-00-zone_operator,147
UTL-16-resource_allocation,UTL-02-cyber_defense,150
UTL-16-resource_allocation,UTL-05-critical_load,146
UTL-17-critical_load,UTL-01-crew_dispatch,185
UTL-17-critical_load,UTL-03-communications,188
UTL-17-critical_load,UTL-06-zone_operator,184
UTL-17-critical_load,UTL-18-zone_operator,184
UTL-17-critical_load,UTL-25-crew_dispatch,185
UTL-18-zone_operator,UTL-06-zone_operator,128
UTL-18-zone_operator,UTL-10-resource_allocation,135
UTL-18-zone_operator,UTL-17-critical_load,131
UTL-19-crew_dispatch,UTL-04-resource_allocation,145
UTL-19-crew_dispatch,UTL-06-zone_operator,146
UTL-19-crew_dispatch,UTL-10-resource_allocation,150
UTL-20-cyber_defense,UTL-01-crew_dispatch,162
UTL-20-cyber_defense,UTL-05-critical_load,160
UTL-20-cyber_defense,UTL-06-zone_operator,164
UTL-21-communications,UTL-00-zone_operator,172
UTL-21-communications,UTL-06-zone_operator,173
UTL-21-communications,UTL-15-communications,173
UTL-22-resource_allocation,UTL-00-zone_operator,141
UTL-22-resource_allocation,UTL-03-communications,144
UTL-22-resource_allocation,UTL-04-resource_allocation,141
UTL-23-critical_load,UTL-03-communications,163
UTL-23-critical_load,UTL-05-critical_load,159
UTL-23-critical_load,UTL-12-zone_operator,159
UTL-23-critical_load,UTL-26-cyber_defense,159
UTL-24-zone_operator,UTL-00-zone_operator,154
UTL-24-zone_operator,UTL-03-communications,155
UTL-24-zone_operator,UTL-08-cyber_defense,156
UTL-25-crew_dispatch,UTL-03-communications,133
UTL-25-crew_dispatch,UTL-14-cyber_defense,133
UTL-25-crew_dispatch,UTL-17-critical_load,132
UTL-26-cyber_defense,UTL-03-communications,165
UTL-26-cyber_defense,UTL-06-zone_operator,162
UTL-26-cyber_defense,UTL-23-critical_load,163
UTL-27-communications,UTL-02-cyber_defense,144
UTL-27-communications,UTL-06-zone_operator,140
UTL-27-communications,UTL-12-zone_operator,140
