sender,recipient,messages
UTL-00-zone_operator,UTL-01-crew_dispatch,57
UTL-00-zone_operator,UTL-02-cyber_defense,57
UTL-00-zone_operator,UTL-03-communications,55
UTL-00-zone_operator,UTL-06-zone_operator,57
UTL-01-crew_dispatch,UTL-00-zone_operator,46
UTL-01-crew_dispatch,UTL-07-crew_dispatch,40
UTL-02-cyber_defense,UTL-00-zone_operator,45
UTL-02-cyber_defense,UTL-06-zone_operator,48
UTL-02-cyber_defense,UTL-22-resource_allocation,43
UTL-03-communications,UTL-00-zone_operator,74
UTL-03-communications,UTL-04-resource_allocation,71
UTL-03-communications,UTL-05-critical_load,72
UTL-03-communications,UTL-06-zone_operator,74
UTL-03-communications,UTL-21-communications,72
UTL-04-resource_allocation,UTL-03-communications,36
UTL-05-critical_load,UTL-03-communications,36
UTL-06-zone_operator,UTL-00-zone_operator,47
UTL-06-zone_operator,UTL-02-cyber_defense,51
UTL-06-zone_operator,UTL-03-communications,48
UTL-07-crew_dispatch,UTL-01-crew_dispatch,41
UTL-07-crew_dispatch,UTL-08-cyber_defense,42
UTL-07-crew_dispatch,UTL-11-critical_load,46
UTL-08-cyber_defense,UTL-07-crew_dispatch,44
UTL-08-cyber_defense,UTL-11-critical_load,48
UTL-08-cyber_defense,UTL-12-zone_operator,46
UTL-09-communications,UTL-12-zone_operator,26
UTL-10-resource_allocation,UTL-12-zone_operator,35
UTL-10-resource_allocation,UTL-13-crew_dispatch,37
UTL-11-critical_load,UTL-07-crew_dispatch,30
UTL-11-critical_load,UTL-08-cyber_defense,29
UTL-12-zone_operator,UTL-08-cyber_defense,53
UTL-12-zone_operator,UTL-09-communications,50
UTL-12-zone_operator,UTL-10-resource_allocation,47
UTL-12-zone_operator,UTL-13-crew_dispatch,49
UTL-13-crew_dispatch,UTL-10-resource_allocation,71
UTL-13-crew_dispatch,UTL-12-zone_operator,64
UTL-13-crew_dispatch,UTL-16-resource_allocation,66
UTL-13-crew_dispatch,UTL-23-critical_load,66
UTL-14-cyber_defense,UTL-18-zone_operator,48
UTL-14-cyber_defense,UTL-19-crew_dispatch,53
UTL-14-cyber_defense,UTL-20-cyber_defense,49
UTL-15-communications,UTL-17-critical_load,62
UTL-15-communications,UTL-19-crew_dispatch,61
UTL-15-communications,UTL-23-critical_load,64
UTL-16-resource_allocation,UTL-13-crew_dispatch,47
UTL-16-resource_allocation,UTL-19-crew_dispatch,42
UTL-17-critical_load,UTL-15-communications,46
UTL-17-critical_load,UTL-18-zone_operator,46
UTL-18-zone_operator,UTL-14-cyber_defense,70
UTL-18-zone_operator,UTL-17-critical_load,66
UTL-18-zone_operator,UTL-20-cyber_defense,66
UTL-18-zone_operator,UTL-21-communications,69
UTL-19-crew_dispatch,UTL-14-cyber_defense,55
UTL-19-crew_dispatch,UTL-15-communications,53
UTL-19-crew_dispatch,UTL-16-resource_allocation,54
UTL-20-cyber_defense,UTL-14-cyber_defense,38
UTL-20-cyber_defense,UTL-18-zone_operator,33
UTL-21-communications,UTL-03-communications,106
UTL-21-communications,UTL-18-zone_operator,111
UTL-21-communications,UTL-22-resource_allocation,109
UTL-21-communications,UTL-23-critical_load,107
UTL-21-communications,UTL-24-zone_operator,110
UTL-21-communications,UTL-26-cyber_defense,109
UTL-21-communications,UTL-27-communications,106
UTL-22-resource_allocation,UTL-02-cyber_defense,68
UTL-22-resource_allocation,UTL-21-communications,69
UTL-22-resource_allocation,UTL-25-crew_dispatch,65
UTL-23-critical_load,UTL-13-crew_dispatch,100
UTL-23-critical_load,UTL-15-communications,98
UTL-23-critical_load,UTL-21-communications,96
UTL-23-critical_load,UTL-24-zone_operator,100
UTL-23-critical_load,UTL-25-crew_dispatch,96
UTL-23-critical_load,UTL-27-communications,93
UTL-24-zone_operator,UTL-21-communications,60
UTL-24-zone_operator,UTL-23-critical_load,57
UTL-24-zone_operator,UTL-27-communications,58
UTL-25-crew_dispatch,UTL-22-resource_allocation,70
UTL-25-crew_dispatch,UTL-23-critical_load,66
UTL-25-crew_dispatch,UTL-26-cyber_defense,66
UTL-25-crew_dispatch,UTL-27-communications,63
UTL-26-cyber_defense,UTL-21-communications,57
UTL-26-cyber_defense,UTL-25-crew_dispatch,54
UTL-26-cyber_defense,UTL-27-communications,54
UTL-27-communications,UTL-21-communications,66
UTL-27-communications,UTL-23-critical_load,65
UTL-27-communications,UTL-24-zone_operator,72
UTL-27-communications,UTL-25-crew_dispatch,64
UTL-27-communications,UTL-26-cyber_defense,65
