sender,recipient,messages
UTL-00-zone_operator,UTL-02-cyber_defense,49
UTL-00-zone_operator,UTL-06-zone_operator,50
UTL-00-zone_operator,UTL-18-zone_operator,45
UTL-01-crew_dispatch,UTL-03-communications,40
UTL-01-crew_dispatch,UTL-05-critical_load,30
UTL-02-cyber_defense,UTL-00-zone_operator,54
UTL-02-cyber_defense,UTL-04-resource_allocation,50
UTL-02-cyber_defense,UTL-05-critical_load,51
UTL-03-communications,UTL-01-crew_dispatch,35
UTL-03-communications,UTL-06-zone_operator,26
UTL-04-resource_allocation,UTL-02-cyber_defense,57
UTL-04-resource_allocation,UTL-05-critical_load,52
UTL-04-resource_allocation,UTL-06-zone_operator,51
UTL-04-resource_allocation,UTL-21-communications,53
UTL-05-critical_load,UTL-01-crew_dispatch,51
UTL-05-critical_load,UTL-02-cyber_defense,39
UTL-05-critical_load,UTL-04-resource_allocation,40
UTL-05-critical_load,UTL-06-zone_operator,41
UTL-06-zone_operator,UTL-00-zone_operator,62
UTL-06-zone_operator,UTL-03-communications,49
UTL-06-zone_operator,UTL-04-resource_allocation,45
UTL-06-zone_operator,UTL-05-critical_load,46
UTL-07-crew_dispatch,UTL-08-cyber_defense,47
UTL-07-crew_dispatch,UTL-09-communications,51
UTL-07-crew_dispatch,UTL-12-zone_operator,44
UTL-08-cyber_defense,UTL-07-crew_dispatch,67
UTL-08-cyber_defense,UTL-10-resource_allocation,59
UTL-08-cyber_defense,UTL-12-zone_operator,57
UTL-08-cyber_defense,UTL-13-crew_dispatch,59
UTL-09-communications,UTL-07-crew_dispatch,52
UTL-09-communications,UTL-12-zone_operator,49
UTL-09-communications,UTL-17-critical_load,51
UTL-10-resource_allocation,UTL-08-cyber_defense,51
UTL-10-resource_allocation,UTL-11-critical_load,51
UTL-10-resource_allocation,UTL-12-zone_operator,51
UTL-11-critical_load,UTL-10-resource_allocation,46
UTL-11-critical_load,UTL-13-crew_dispatch,48
UTL-11-critical_load,UTL-25-crew_dispatch,51
UTL-12-zone_operator,UTL-07-crew_dispatch,65
UTL-12-zone_operator,UTL-08-cyber_defense,54
UTL-12-zone_operator,UTL-09-communications,58
UTL-12-zone_operator,UTL-10-resource_allocation,54
UTL-13-crew_dispatch,UTL-08-cyber_defense,62
UTL-13-crew_dispatch,UTL-11-critical_load,65
UTL-13-crew_dispatch,UTL-22-resource_allocation,62
UTL-14-cyber_defense,UTL-16-resource_allocation,41
UTL-14-cyber_defense,UTL-17-critical_load,39
UTL-14-cyber_defense,UTL-20-cyber_defense,42
UTL-15-communications,UTL-17-critical_load,40
UTL-15-communications,UTL-18-zone_operator,36
UTL-15-communications,UTL-19-crew_dispatch,40
UTL-16-resource_allocation,UTL-14-cyber_defense,28
UTL-17-critical_load,UTL-09-communications,55
UTL-17-critical_load,UTL-14-cyber_defense,51
UTL-17-critical_load,UTL-15-communications,56
UTL-18-zone_operator,UTL-00-zone_operator,47
UTL-18-zone_operator,UTL-15-communications,44
UTL-18-zone_operator,UTL-20-cyber_defense,47
UTL-19-crew_dispatch,UTL-15-communications,24
UTL-20-cyber_defense,UTL-14-cyber_defense,45
UTL-20-cyber_defense,UTL-18-zone_operator,34
UTL-21-communications,UTL-04-resource_allocation,58
UTL-21-communications,UTL-23-critical_load,49
UTL-21-communications,UTL-24-zone_operator,49
UTL-21-communications,UTL-27-communications,47
UTL-22-resource_allocation,UTL-13-crew_dispatch,44
UTL-22-resource_allocation,UTL-25-crew_dispatch,51
UTL-22-resource_allocation,UTL-27-communications,46
UTL-23-critical_load,UTL-21-communications,45
UTL-23-critical_load,UTL-24-zone_operator,37
UTL-23-critical_load,UTL-25-crew_dispatch,37
UTL-23-critical_load,UTL-27-communications,35
UTL-24-zone_operator,UTL-21-communications,38
UTL-24-zone_operator,UTL-23-critical_load,39
UTL-24-zone_operator,UTL-27-communications,35
UTL-25-crew_dispatch,UTL-11-critical_load,41
UTL-25-crew_dispatch,UTL-22-resource_allocation,35
UTL-25-crew_dispatch,UTL-23-critical_load,36
UTL-25-crew_dispatch,UTL-26-cyber_defense,34
UTL-26-cyber_defense,UTL-25-crew_dispatch,22
UTL-27-communications,UTL-21-communications,51
UTL-27-communications,UTL-22-resource_allocation,36
UTL-27-communications,UTL-23-critical_load,41
UTL-27-communications,UTL-24-zone_operator,40
