sender,recipient,messages
HUM-00-ngo,HUM-09-transport,144
HUM-00-ngo,HUM-17-transport,138
HUM-00-ngo,HUM-27-assessment,140
HUM-00-ngo,HUM-31-hub,140
HUM-00-ngo,HUM-33-transport,139
HUM-00-ngo,HUM-36-clinic,140
HUM-00-ngo,HUM-39-hub,143
HUM-01-transport,HUM-06-depot,73
HUM-01-transport,HUM-22-depot,73
HUM-01-transport,HUM-25-transport,72
HUM-01-transport,HUM-50-local_authority,76
HUM-02-local_authority,HUM-18-local_authority,105
HUM-02-local_authority,HUM-20-clinic,103
HUM-02-local_authority,HUM-23-hub,108
HUM-02-local_authority,HUM-29-shelter,103
HUM-02-local_authority,HUM-44-clinic,103
HUM-02-local_authority,HUM-45-shelter,102
HUM-03-assessment,HUM-07-hub,176
HUM-03-assessment,HUM-09-transport,179
HUM-03-assessment,HUM-15-hub,177
HUM-03-assessment,HUM-16-ngo,176
HUM-03-assessment,HUM-17-transport,172
HUM-03-assessment,HUM-22-depot,178
HUM-03-assessment,HUM-27-assessment,175
HUM-03-assessment,HUM-39-hub,178
HUM-03-assessment,HUM-50-local_authority,173
HUM-04-clinic,HUM-13-shelter,94
HUM-04-clinic,HUM-14-depot,73
HUM-04-clinic,HUM-30-depot,76
HUM-04-clinic,HUM-41-transport,73
HUM-04-clinic,HUM-47-hub,78
HUM-05-shelter,HUM-08-ngo,231
HUM-05-shelter,HUM-12-clinic,229
HUM-05-shelter,HUM-19-assessment,231
HUM-05-shelter,HUM-20-clinic,230
HUM-05-shelter,HUM-21-shelter,230
HUM-05-shelter,HUM-23-hub,236
HUM-05-shelter,HUM-24-ngo,229
HUM-05-shelter,HUM-29-shelter,230
HUM-05-shelter,HUM-32-ngo,234
HUM-05-shelter,HUM-35-assessment,230
HUM-05-shelter,HUM-46-depot,234
HUM-05-shelter,HUM-48-ngo,234
HUM-05-shelter,HUM-49-transport,227
HUM-05-shelter,HUM-51-assessment,233
HUM-06-depot,HUM-01-transport,136
HUM-06-depot,HUM-14-depot,114
HUM-06-depot,HUM-22-depot,114
HUM-06-depot,HUM-25-transport,115
HUM-06-depot,HUM-50-local_authority,119
HUM-07-hub,HUM-03-assessment,260
HUM-07-hub,HUM-09-transport,252
