sender,recipient,messages
HUM-00-ngo,HUM-06-depot,108
HUM-00-ngo,HUM-12-clinic,110
HUM-00-ngo,HUM-13-shelter,110
HUM-00-ngo,HUM-20-clinic,107
HUM-00-ngo,HUM-26-local_authority,111
HUM-01-transport,HUM-06-depot,175
HUM-01-transport,HUM-09-transport,177
HUM-01-transport,HUM-16-ngo,177
HUM-01-transport,HUM-18-local_authority,178
HUM-01-transport,HUM-20-clinic,174
HUM-01-transport,HUM-21-shelter,181
HUM-01-transport,HUM-23-hub,173
HUM-01-transport,HUM-25-transport,178
HUM-01-transport,HUM-26-local_authority,176
HUM-02-local_authority,HUM-07-hub,74
HUM-02-local_authority,HUM-23-hub,59
HUM-03-assessment,HUM-04-clinic,38
HUM-03-assessment,HUM-27-assessment,34
HUM-04-clinic,HUM-03-assessment,43
HUM-04-clinic,HUM-27-assessment,38
HUM-05-shelter,HUM-09-transport,134
HUM-05-shelter,HUM-10-local_authority,131
HUM-05-shelter,HUM-11-assessment,133
HUM-05-shelter,HUM-14-depot,135
HUM-05-shelter,HUM-15-hub,134
HUM-05-shelter,HUM-17-transport,134
HUM-05-shelter,HUM-19-assessment,133
HUM-05-shelter,HUM-24-ngo,133
HUM-06-depot,HUM-00-ngo,130
HUM-06-depot,HUM-01-transport,124
HUM-06-depot,HUM-08-ngo,127
HUM-06-depot,HUM-12-clinic,128
HUM-06-depot,HUM-13-shelter,126
HUM-06-depot,HUM-20-clinic,125
HUM-06-depot,HUM-26-local_authority,128
HUM-07-hub,HUM-02-local_authority,61
HUM-07-hub,HUM-22-depot,65
HUM-07-hub,HUM-23-hub,61
HUM-08-ngo,HUM-06-depot,65
HUM-09-transport,HUM-01-transport,178
HUM-09-transport,HUM-05-shelter,177
HUM-09-transport,HUM-10-local_authority,176
HUM-09-transport,HUM-15-hub,175
HUM-09-transport,HUM-17-transport,177
HUM-09-transport,HUM-18-local_authority,178
HUM-09-transport,HUM-20-clinic,176
HUM-09-transport,HUM-21-shelter,182
HUM-09-transport,HUM-24-ngo,175
HUM-10-local_authority,HUM-05-shelter,137
HUM-10-local_authority,HUM-09-transport,132
HUM-10-local_authority,HUM-15-hub,133
HUM-10-local_authority,HUM-19-assessment,134
HUM-10-local_authority,HUM-24-ngo,136
HUM-10-local_authority,HUM-27-assessment,135
HUM-11-assessment,HUM-05-shelter,122
HUM-11-assessment,HUM-13-shelter,123
HUM-11-assessment,HUM-17-transport,122
HUM-12-clinic,HUM-00-ngo,118
HUM-12-clinic,HUM-06-depot,114
HUM-12-clinic,HUM-13-shelter,116
HUM-12-clinic,HUM-20-clinic,114
HUM-12-clinic,HUM-26-local_authority,117
HUM-13-shelter,HUM-00-ngo,146
HUM-13-shelter,HUM-06-depot,139
HUM-13-shelter,HUM-11-assessment,143
HUM-13-shelter,HUM-12-clinic,142
HUM-13-shelter,HUM-17-transport,142
HUM-13-shelter,HUM-20-clinic,139
HUM-14-depot,HUM-05-shelter,82
HUM-14-depot,HUM-17-transport,73
HUM-14-depot,HUM-19-assessment,76
HUM-14-depot,HUM-24-ngo,73
HUM-15-hub,HUM-05-shelter,152
HUM-15-hub,HUM-09-transport,148
HUM-15-hub,HUM-10-local_authority,150
HUM-15-hub,HUM-18-local_authority,151
HUM-15-hub,HUM-21-shelter,154
HUM-15-hub,HUM-24-ngo,149
HUM-16-ngo,HUM-01-transport,133
HUM-16-ngo,HUM-18-local_authority,136
HUM-16-ngo,HUM-21-shelter,140
HUM-16-ngo,HUM-22-depot,136
HUM-16-ngo,HUM-23-hub,132
HUM-16-ngo,HUM-25-transport,136
