sender,recipient,messages
HUM-00-ngo,HUM-02-local_authority,212
HUM-00-ngo,HUM-03-assessment,211
HUM-00-ngo,HUM-15-hub,216
HUM-00-ngo,HUM-25-transport,213
HUM-00-ngo,HUM-26-local_authority,214
HUM-00-ngo,HUM-27-assessment,211
HUM-01-transport,HUM-03-assessment,206
HUM-01-transport,HUM-04-clinic,206
HUM-01-transport,HUM-06-depot,207
HUM-01-transport,HUM-15-hub,206
HUM-01-transport,HUM-26-local_authority,210
HUM-01-transport,HUM-27-assessment,205
HUM-02-local_authority,HUM-00-ngo,207
HUM-02-local_authority,HUM-03-assessment,199
HUM-02-local_authority,HUM-12-clinic,200
HUM-02-local_authority,HUM-16-ngo,196
HUM-03-assessment,HUM-00-ngo,190
HUM-03-assessment,HUM-01-transport,190
HUM-03-assessment,HUM-02-local_authority,190
HUM-03-assessment,HUM-04-clinic,192
HUM-03-assessment,HUM-05-shelter,193
HUM-03-assessment,HUM-06-depot,192
HUM-03-assessment,HUM-14-depot,189
HUM-04-clinic,HUM-01-transport,178
HUM-04-clinic,HUM-03-assessment,180
HUM-04-clinic,HUM-05-shelter,183
HUM-04-clinic,HUM-06-depot,180
HUM-04-clinic,HUM-22-depot,184
HUM-05-shelter,HUM-03-assessment,163
HUM-05-shelter,HUM-04-clinic,166
HUM-05-shelter,HUM-06-depot,166
HUM-05-shelter,HUM-07-hub,165
HUM-05-shelter,HUM-10-local_authority,165
HUM-06-depot,HUM-01-transport,206
HUM-06-depot,HUM-03-assessment,205
HUM-06-depot,HUM-04-clinic,208
HUM-06-depot,HUM-05-shelter,208
HUM-06-depot,HUM-07-hub,208
HUM-06-depot,HUM-09-transport,208
HUM-06-depot,HUM-15-hub,206
HUM-07-hub,HUM-05-shelter,174
HUM-07-hub,HUM-06-depot,173
HUM-07-hub,HUM-08-ngo,176
HUM-07-hub,HUM-09-transport,173
HUM-07-hub,HUM-16-ngo,170
HUM-08-ngo,HUM-07-hub,135
HUM-08-ngo,HUM-09-transport,135
HUM-08-ngo,HUM-10-local_authority,134
HUM-08-ngo,HUM-16-ngo,129
HUM-09-transport,HUM-06-depot,164
