sender,recipient,messages
HUM-00-ngo,HUM-01-transport,11
HUM-00-ngo,HUM-02-local_authority,12
HUM-00-ngo,HUM-05-shelter,11
HUM-00-ngo,HUM-08-ngo,11
HUM-00-ngo,HUM-11-assessment,10
HUM-01-transport,HUM-00-ngo,11
HUM-01-transport,HUM-02-local_authority,12
HUM-01-transport,HUM-03-assessment,10
HUM-01-transport,HUM-05-shelter,10
HUM-01-transport,HUM-11-assessment,11
HUM-02-local_authority,HUM-00-ngo,12
HUM-02-local_authority,HUM-01-transport,10
HUM-02-local_authority,HUM-03-assessment,10
HUM-02-local_authority,HUM-05-shelter,12
HUM-02-local_authority,HUM-06-depot,10
HUM-02-local_authority,HUM-07-hub,10
HUM-02-local_authority,HUM-09-transport,12
HUM-02-local_authority,HUM-10-local_authority,10
HUM-02-local_authority,HUM-11-assessment,10
HUM-03-assessment,HUM-01-transport,11
HUM-03-assessment,HUM-02-local_authority,11
HUM-03-assessment,HUM-04-clinic,10
HUM-03-assessment,HUM-05-shelter,10
HUM-03-assessment,HUM-07-hub,10
HUM-03-assessment,HUM-09-transport,10
HUM-03-assessment,HUM-11-assessment,10
HUM-04-clinic,HUM-03-assessment,13
HUM-04-clinic,HUM-07-hub,10
HUM-04-clinic,HUM-09-transport,10
HUM-05-shelter,HUM-00-ngo,10
HUM-05-shelter,HUM-01-transport,10
HUM-05-shelter,HUM-02-local_authority,10
HUM-05-shelter,HUM-03-assessment,10
HUM-05-shelter,HUM-07-hub,10
HUM-05-shelter,HUM-11-assessment,10
HUM-06-depot,HUM-02-local_authority,10
HUM-06-depot,HUM-09-transport,10
HUM-06-depot,HUM-10-local_authority,10
HUM-07-hub,HUM-02-local_authority,13
HUM-07-hub,HUM-03-assessment,10
HUM-07-hub,HUM-04-clinic,10
HUM-07-hub,HUM-05-shelter,11
HUM-07-hub,HUM-09-transport,10
HUM-07-hub,HUM-11-assessment,10
HUM-08-ngo,HUM-00-ngo,11
HUM-08-ngo,HUM-10-local_authority,10
HUM-09-transport,HUM-02-local_authority,11
HUM-09-transport,HUM-03-assessment,10
HUM-09-transport,HUM-04-clinic,10
HUM-09-transport,HUM-06-depot,10
HUM-09-transport,HUM-07-hub,10
HUM-10-local_authority,HUM-02-local_authority,13
HUM-10-local_authority,HUM-06-depot,10
HUM-10-local_authority,HUM-08-ngo,10
HUM-11-assessment,HUM-00-ngo,10
HUM-11-assessment,HUM-01-transport,10
HUM-11-assessment,HUM-02-local_authority,10
HUM-11-assessment,HUM-03-assessment,10
HUM-11-assessment,HUM-05-shelter,10
HUM-11-assessment,HUM-07-hub,10
