sender,recipient,messages
UTL-00-zone_operator,UTL-01-crew_dispatch,19
UTL-00-zone_operator,UTL-08-cyber_defense,16
UTL-01-crew_dispatch,UTL-00-zone_operator,13
UTL-01-crew_dispatch,UTL-02-cyber_defense,12
UTL-01-crew_dispatch,UTL-09-communications,15
UTL-02-cyber_defense,UTL-01-crew_dispatch,15
UTL-02-cyber_defense,UTL-03-communications,14
UTL-02-cyber_defense,UTL-10-resource_allocation,16
UTL-03-communications,UTL-02-cyber_defense,16
UTL-03-communications,UTL-04-resource_allocation,15
UTL-03-communications,UTL-11-critical_load,14
UTL-04-resource_allocation,UTL-03-communications,21
UTL-04-resource_allocation,UTL-05-critical_load,18
UTL-04-resource_allocation,UTL-12-zone_operator,21
UTL-05-critical_load,UTL-04-resource_allocation,15
UTL-05-critical_load,UTL-06-zone_operator,19
UTL-05-critical_load,UTL-13-crew_dispatch,15
UTL-06-zone_operator,UTL-05-critical_load,13
UTL-06-zone_operator,UTL-07-crew_dispatch,13
UTL-06-zone_operator,UTL-14-cyber_defense,14
UTL-07-crew_dispatch,UTL-06-zone_operator,16
UTL-07-crew_dispatch,UTL-15-communications,19
UTL-08-cyber_defense,UTL-00-zone_operator,18
UTL-08-cyber_defense,UTL-09-communications,15
UTL-08-cyber_defense,UTL-16-resource_allocation,16
UTL-09-communications,UTL-01-crew_dispatch,17
UTL-09-communications,UTL-08-cyber_defense,17
UTL-09-communications,UTL-10-resource_allocation,16
UTL-09-communications,UTL-17-critical_load,16
UTL-10-resource_allocation,UTL-02-cyber_defense,11
UTL-10-resource_allocation,UTL-09-communications,10
UTL-10-resource_allocation,UTL-11-critical_load,10
UTL-10-resource_allocation,UTL-18-zone_operator,10
UTL-11-critical_load,UTL-03-communications,14
UTL-11-critical_load,UTL-10-resource_allocation,13
UTL-11-critical_load,UTL-12-zone_operator,14
UTL-11-critical_load,UTL-19-crew_dispatch,13
UTL-12-zone_operator,UTL-04-resource_allocation,17
UTL-12-zone_operator,UTL-11-critical_load,16
UTL-12-zone_operator,UTL-13-crew_dispatch,18
UTL-12-zone_operator,UTL-20-cyber_defense,18
UTL-13-crew_dispatch,UTL-05-critical_load,14
UTL-13-crew_dispatch,UTL-12-zone_operator,14
UTL-13-crew_dispatch,UTL-14-cyber_defense,14
UTL-13-crew_dispatch,UTL-21-communications,15
UTL-14-cyber_defense,UTL-06-zone_operator,16
UTL-14-cyber_defense,UTL-13-crew_dispatch,15
UTL-14-cyber_defense,UTL-15-communications,16
UTL-14-cyber_defense,UTL-22-resource_allocation,17
UTL-15-communications,UTL-07-crew_dispatch,21
UTL-15-communications,UTL-14-cyber_defense,20
UTL-15-communications,UTL-23-critical_load,22
UTL-16-resource_allocation,UTL-08-cyber_defense,21
UTL-16-resource_allocation,UTL-17-critical_load,17
UTL-16-resource_allocation,UTL-24-zone_operator,20
UTL-17-critical_load,UTL-09-communications,14
UTL-17-critical_load,UTL-16-resource_allocation,15
UTL-17-critical_load,UTL-18-zone_operator,15
UTL-17-critical_load,UTL-25-crew_dispatch,15
UTL-18-zone_operator,UTL-10-resource_allocation,14
UTL-18-zone_operator,UTL-17-critical_load,15
UTL-18-zone_operator,UTL-19-crew_dispatch,15
UTL-18-zone_operator,UTL-26-cyber_defense,14
UTL-19-crew_dispatch,UTL-11-critical_load,10
UTL-19-crew_dispatch,UTL-18-zone_operator,11
UTL-19-crew_dispatch,UTL-20-cyber_defense,11
UTL-19-crew_dispatch,UTL-27-communications,12
UTL-20-cyber_defense,UTL-12-zone_operator,17
UTL-20-cyber_defense,UTL-19-crew_dispatch,18
UTL-20-cyber_defense,UTL-21-communications,18
UTL-20-cyber_defense,UTL-28-resource_allocation,16
UTL-21-communications,UTL-13-crew_dispatch,7
UTL-21-communications,UTL-20-cyber_defense,10
UTL-21-communications,UTL-22-resource_allocation,10
UTL-21-communications,UTL-29-critical_load,9
UTL-22-resource_allocation,UTL-14-cyber_defense,17
UTL-22-resource_allocation,UTL-21-communications,15
UTL-22-resource_allocation,UTL-23-critical_load,16
UTL-22-resource_allocation,UTL-30-zone_operator,16
UTL-23-critical_load,UTL-15-communications,11
UTL-23-critical_load,UTL-22-resource_allocation,13
UTL-23-critical_load,UTL-31-crew_dispatch,11
UTL-24-zone_operator,UTL-16-resource_allocation,11
UTL-24-zone_operator,UTL-25-crew_dispatch,12
UTL-24-zone_operator,UTL-32-cyber_defense,10
UTL-25-crew_dispatch,UTL-17-critical_load,13
UTL-25-crew_dispatch,UTL-24-zone_operator,10
UTL-25-crew_dispatch,UTL-26-cyber_defense,12
UTL-25-crew_dispatch,UTL-33-communications,13
UTL-26-cyber_defense,UTL-18-zone_operator,16
UTL-26-cyber_defense,UTL-25-crew_dispatch,19
UTL-26-cyber_defense,UTL-27-communications,17
UTL-26-cyber_defense,UTL-34-resource_allocation,18
UTL-27-communications,UTL-19-crew_dispatch,19
UTL-27-communications,UTL-26-cyber_defense,20
UTL-27-communications,UTL-28-resource_allocation,19
UTL-27-communications,UTL-35-critical_load,19
UTL-28-resource_allocation,UTL-20-cyber_defense,13
UTL-28-resource_allocation,UTL-27-communications,15
UTL-28-resource_allocation,UTL-29-critical_load,14
UTL-28-resource_allocation,UTL-36-zone_operator,16
UTL-29-critical_load,UTL-21-communications,16
UTL-29-critical_load,UTL-28-resource_allocation,15
UTL-29-critical_load,UTL-30-zone_operator,13
UTL-29-critical_load,UTL-37-crew_dispatch,13
UTL-30-zone_operator,UTL-22-resource_allocation,10
UTL-30-zone_operator,UTL-29-critical_load,10
UTL-30-zone_operator,UTL-31-crew_dispatch,11
UTL-30-zone_operator,UTL-38-cyber_defense,12
UTL-31-crew_dispatch,UTL-23-critical_load,17
UTL-31-crew_dispatch,UTL-30-zone_operator,15
UTL-31-crew_dispatch,UTL-39-communications,15
UTL-32-cyber_defense,UTL-24-zone_operator,13
UTL-32-cyber_defense,UTL-33-communications,15
UTL-32-cyber_defense,UTL-40-resource_allocation,17
UTL-33-communications,UTL-25-crew_dispatch,15
UTL-33-communications,UTL-32-cyber_defense,14
UTL-33-communications,UTL-34-resource_allocation,15
UTL-33-communications,UTL-41-critical_load,16
UTL-34-resource_allocation,UTL-26-cyber_defense,14
UTL-34-resource_allocation,UTL-33-communications,14
UTL-34-resource_allocation,UTL-35-critical_load,14
UTL-34-resource_allocation,UTL-42-zone_operator,16
UTL-35-critical_load,UTL-27-communications,15
UTL-35-critical_load,UTL-34-resource_allocation,15
UTL-35-critical_load,UTL-36-zone_operator,15
UTL-35-critical_load,UTL-43-crew_dispatch,13
UTL-36-zone_operator,UTL-28-resource_allocation,16
UTL-36-zone_operator,UTL-35-critical_load,17
UTL-36-zone_operator,UTL-37-crew_dispatch,18
UTL-36-zone_operator,UTL-44-cyber_defense,15
UTL-37-crew_dispatch,UTL-29-critical_load,11
UTL-37-crew_dispatch,UTL-36-zone_operator,12
UTL-37-crew_dispatch,UTL-38-cyber_defense,10
UTL-37-crew_dispatch,UTL-45-communications,13
UTL-38-cyber_defense,UTL-30-zone_operator,16
UTL-38-cyber_defense,UTL-37-crew_dispatch,15
UTL-38-cyber_defense,UTL-39-communications,15
UTL-38-cyber_defense,UTL-46-resource_allocation,16
UTL-39-communications,UTL-31-crew_dispatch,17
