sender,recipient,messages
HUM-00-ngo,HUM-05-shelter,46
HUM-00-ngo,HUM-06-depot,44
HUM-00-ngo,HUM-08-ngo,46
HUM-00-ngo,HUM-10-local_authority,43
HUM-00-ngo,HUM-11-assessment,44
HUM-01-transport,HUM-03-assessment,50
HUM-01-transport,HUM-04-clinic,54
HUM-01-transport,HUM-05-shelter,54
HUM-01-transport,HUM-06-depot,53
HUM-01-transport,HUM-09-transport,52
HUM-02-local_authority,HUM-03-assessment,39
HUM-02-local_authority,HUM-05-shelter,42
HUM-02-local_authority,HUM-07-hub,40
HUM-02-local_authority,HUM-10-local_authority,42
HUM-03-assessment,HUM-01-transport,42
HUM-03-assessment,HUM-02-local_authority,44
HUM-03-assessment,HUM-04-clinic,46
HUM-03-assessment,HUM-05-shelter,43
HUM-03-assessment,HUM-07-hub,42
HUM-04-clinic,HUM-01-transport,30
HUM-04-clinic,HUM-03-assessment,29
HUM-04-clinic,HUM-09-transport,30
HUM-05-shelter,HUM-00-ngo,52
HUM-05-shelter,HUM-01-transport,53
HUM-05-shelter,HUM-02-local_authority,55
HUM-05-shelter,HUM-03-assessment,52
HUM-05-shelter,HUM-06-depot,52
HUM-05-shelter,HUM-07-hub,53
HUM-05-shelter,HUM-10-local_authority,51
HUM-05-shelter,HUM-11-assessment,53
HUM-06-depot,HUM-00-ngo,52
HUM-06-depot,HUM-01-transport,53
HUM-06-depot,HUM-05-shelter,53
HUM-06-depot,HUM-08-ngo,55
HUM-06-depot,HUM-10-local_authority,50
HUM-06-depot,HUM-11-assessment,52
HUM-07-hub,HUM-02-local_authority,38
HUM-07-hub,HUM-03-assessment,35
HUM-07-hub,HUM-05-shelter,38
HUM-07-hub,HUM-10-local_authority,37
HUM-08-ngo,HUM-00-ngo,36
HUM-08-ngo,HUM-06-depot,35
HUM-08-ngo,HUM-11-assessment,35
HUM-09-transport,HUM-01-transport,26
HUM-09-transport,HUM-04-clinic,28
HUM-10-local_authority,HUM-00-ngo,47
HUM-10-local_authority,HUM-02-local_authority,50
HUM-10-local_authority,HUM-05-shelter,48
HUM-10-local_authority,HUM-06-depot,49
HUM-10-local_authority,HUM-07-hub,48
HUM-10-local_authority,HUM-11-assessment,48
HUM-11-assessment,HUM-00-ngo,43
HUM-11-assessment,HUM-05-shelter,43
HUM-11-assessment,HUM-06-depot,42
HUM-11-assessment,HUM-08-ngo,44
HUM-11-assessment,HUM-10-local_authority,41
