sender,recipient,messages
UTL-00-zone_operator,UTL-01-crew_dispatch,217
UTL-00-zone_operator,UTL-02-cyber_defense,215
UTL-00-zone_operator,UTL-03-communications,217
UTL-00-zone_operator,UTL-04-resource_allocation,217
UTL-00-zone_operator,UTL-05-critical_load,221
UTL-00-zone_operator,UTL-08-cyber_defense,220
UTL-00-zone_operator,UTL-09-communications,217
UTL-00-zone_operator,UTL-10-resource_allocation,220
UTL-00-zone_operator,UTL-11-critical_load,217
UTL-00-zone_operator,UTL-12-zone_operator,217
UTL-00-zone_operator,UTL-13-crew_dispatch,218
UTL-00-zone_operator,UTL-14-cyber_defense,220
UTL-00-zone_operator,UTL-15-communications,218
UTL-00-zone_operator,UTL-16-resource_allocation,219
UTL-00-zone_operator,UTL-17-critical_load,218
UTL-00-zone_operator,UTL-21-communications,220
UTL-00-zone_operator,UTL-22-resource_allocation,222
UTL-01-crew_dispatch,UTL-00-zone_operator,187
UTL-01-crew_dispatch,UTL-04-resource_allocation,183
UTL-01-crew_dispatch,UTL-05-critical_load,186
UTL-01-crew_dispatch,UTL-11-critical_load,183
UTL-01-crew_dispatch,UTL-15-communications,189
UTL-01-crew_dispatch,UTL-22-resource_allocation,188
UTL-01-crew_dispatch,UTL-23-critical_load,182
UTL-01-crew_dispatch,UTL-27-communications,184
UTL-02-cyber_defense,UTL-00-zone_operator,203
UTL-02-cyber_defense,UTL-04-resource_allocation,205
UTL-02-cyber_defense,UTL-05-critical_load,207
UTL-02-cyber_defense,UTL-06-zone_operator,203
UTL-02-cyber_defense,UTL-07-crew_dispatch,201
UTL-02-cyber_defense,UTL-08-cyber_defense,205
UTL-02-cyber_defense,UTL-09-communications,203
UTL-02-cyber_defense,UTL-14-cyber_defense,207
UTL-02-cyber_defense,UTL-18-zone_operator,203
UTL-02-cyber_defense,UTL-19-crew_dispatch,206
UTL-02-cyber_defense,UTL-25-crew_dispatch,201
UTL-03-communications,UTL-00-zone_operator,135
UTL-03-communications,UTL-12-zone_operator,131
UTL-04-resource_allocation,UTL-00-zone_operator,205
UTL-04-resource_allocation,UTL-01-crew_dispatch,205
UTL-04-resource_allocation,UTL-02-cyber_defense,202
UTL-04-resource_allocation,UTL-06-zone_operator,203
UTL-04-resource_allocation,UTL-09-communications,204
UTL-04-resource_allocation,UTL-10-resource_allocation,206
UTL-04-resource_allocation,UTL-11-critical_load,205
UTL-04-resource_allocation,UTL-13-crew_dispatch,205
UTL-04-resource_allocation,UTL-16-resource_allocation,206
UTL-04-resource_allocation,UTL-20-cyber_defense,205
UTL-04-resource_allocation,UTL-23-critical_load,203
UTL-05-critical_load,UTL-00-zone_operator,207
UTL-05-critical_load,UTL-01-crew_dispatch,207
UTL-05-critical_load,UTL-02-cyber_defense,205
