sender,recipient,messages
UTL-00-zone_operator,UTL-01-crew_dispatch,58
UTL-00-zone_operator,UTL-06-zone_operator,51
UTL-01-crew_dispatch,UTL-00-zone_operator,69
UTL-01-crew_dispatch,UTL-02-cyber_defense,70
UTL-01-crew_dispatch,UTL-07-crew_dispatch,73
UTL-02-cyber_defense,UTL-01-crew_dispatch,83
UTL-02-cyber_defense,UTL-03-communications,84
UTL-02-cyber_defense,UTL-08-cyber_defense,82
UTL-03-communications,UTL-02-cyber_defense,85
UTL-03-communications,UTL-04-resource_allocation,83
UTL-03-communications,UTL-09-communications,85
UTL-04-resource_allocation,UTL-03-communications,76
UTL-04-resource_allocation,UTL-05-critical_load,75
UTL-04-resource_allocation,UTL-10-resource_allocation,75
UTL-05-critical_load,UTL-04-resource_allocation,61
UTL-05-critical_load,UTL-11-critical_load,56
UTL-06-zone_operator,UTL-00-zone_operator,66
UTL-06-zone_operator,UTL-07-crew_dispatch,68
UTL-06-zone_operator,UTL-12-zone_operator,66
UTL-07-crew_dispatch,UTL-01-crew_dispatch,103
UTL-07-crew_dispatch,UTL-06-zone_operator,94
UTL-07-crew_dispatch,UTL-08-cyber_defense,88
UTL-07-crew_dispatch,UTL-13-crew_dispatch,88
UTL-08-cyber_defense,UTL-02-cyber_defense,104
UTL-08-cyber_defense,UTL-07-crew_dispatch,102
UTL-08-cyber_defense,UTL-09-communications,107
UTL-08-cyber_defense,UTL-14-cyber_defense,99
UTL-09-communications,UTL-03-communications,117
UTL-09-communications,UTL-08-cyber_defense,111
UTL-09-communications,UTL-10-resource_allocation,108
UTL-09-communications,UTL-15-communications,110
UTL-10-resource_allocation,UTL-04-resource_allocation,101
UTL-10-resource_allocation,UTL-09-communications,100
UTL-10-resource_allocation,UTL-11-critical_load,97
UTL-10-resource_allocation,UTL-16-resource_allocation,99
UTL-11-critical_load,UTL-05-critical_load,74
UTL-11-critical_load,UTL-10-resource_allocation,74
UTL-11-critical_load,UTL-17-critical_load,76
UTL-12-zone_operator,UTL-06-zone_operator,83
UTL-12-zone_operator,UTL-13-crew_dispatch,80
UTL-12-zone_operator,UTL-18-zone_operator,79
UTL-13-crew_dispatch,UTL-07-crew_dispatch,108
UTL-13-crew_dispatch,UTL-12-zone_operator,105
UTL-13-crew_dispatch,UTL-14-cyber_defense,102
UTL-13-crew_dispatch,UTL-19-crew_dispatch,110
UTL-14-cyber_defense,UTL-08-cyber_defense,124
UTL-14-cyber_defense,UTL-13-crew_dispatch,122
UTL-14-cyber_defense,UTL-15-communications,125
UTL-14-cyber_defense,UTL-20-cyber_defense,125
UTL-15-communications,UTL-09-communications,119
UTL-15-communications,UTL-14-cyber_defense,111
UTL-15-communications,UTL-16-resource_allocation,115
UTL-15-communications,UTL-21-communications,115
UTL-16-resource_allocation,UTL-10-resource_allocation,94
UTL-16-resource_allocation,UTL-15-communications,96
UTL-16-resource_allocation,UTL-17-critical_load,100
UTL-16-resource_allocation,UTL-22-resource_allocation,99
UTL-17-critical_load,UTL-11-critical_load,69
UTL-17-critical_load,UTL-16-resource_allocation,74
UTL-17-critical_load,UTL-23-critical_load,69
UTL-18-zone_operator,UTL-12-zone_operator,67
UTL-18-zone_operator,UTL-19-crew_dispatch,70
UTL-18-zone_operator,UTL-24-zone_operator,70
UTL-19-crew_dispatch,UTL-13-crew_dispatch,95
UTL-19-crew_dispatch,UTL-18-zone_operator,89
UTL-19-crew_dispatch,UTL-20-cyber_defense,92
UTL-19-crew_dispatch,UTL-25-crew_dispatch,95
UTL-20-cyber_defense,UTL-14-cyber_defense,106
UTL-20-cyber_defense,UTL-19-crew_dispatch,110
UTL-20-cyber_defense,UTL-21-communications,109
UTL-20-cyber_defense,UTL-26-cyber_defense,109
UTL-21-communications,UTL-15-communications,99
UTL-21-communications,UTL-20-cyber_defense,96
UTL-21-communications,UTL-22-resource_allocation,96
UTL-21-communications,UTL-27-communications,99
UTL-22-resource_allocation,UTL-16-resource_allocation,72
UTL-22-resource_allocation,UTL-21-communications,69
UTL-22-resource_allocation,UTL-23-critical_load,68
UTL-23-critical_load,UTL-17-critical_load,51
UTL-23-critical_load,UTL-22-resource_allocation,51
UTL-24-zone_operator,UTL-18-zone_operator,43
UTL-24-zone_operator,UTL-25-crew_dispatch,39
UTL-25-crew_dispatch,UTL-19-crew_dispatch,55
UTL-25-crew_dispatch,UTL-24-zone_operator,48
UTL-25-crew_dispatch,UTL-26-cyber_defense,53
UTL-26-cyber_defense,UTL-20-cyber_defense,62
UTL-26-cyber_defense,UTL-25-crew_dispatch,64
UTL-26-cyber_defense,UTL-27-communications,60
UTL-27-communications,UTL-21-communications,49
UTL-27-communications,UTL-26-cyber_defense,43
