comparison,application,metric,independent_panels,mean,ci_low,ci_high,standard_deviation,bootstrap_replicates
generalized_0125_u8_vs_always_on,humanitarian,sketch_byte_reduction,24,0.28100354121874926,0.24951486044192617,0.3144568340955481,0.08382500250393787,10000
generalized_0125_u8_vs_always_on,humanitarian,message_reduction,24,0.28100354121874926,0.24893089381625344,0.3142544224993096,0.08382500250393787,10000
generalized_0125_u8_vs_always_on,humanitarian,fully_counted_byte_reduction,24,0.24492845763751062,0.21791052369259295,0.273352804086008,0.07159599006138433,10000
generalized_0125_u8_vs_always_on,humanitarian,primary_estimation_error_increase,24,0.0006573967708716329,0.00017958986020756118,0.0012032240588247653,0.001338386352927442,10000
generalized_0125_u8_vs_always_on,humanitarian,primary_p95_increase,24,0.0010934603500971525,4.525000145445405e-05,0.0025932276312268755,0.0033553530058907355,10000
generalized_0125_u8_vs_always_on,humanitarian,detection_delay_increase,24,-0.004139072847682117,-0.012417218543046352,0.0,0.02027723297005941,10000
generalized_0125_u8_vs_always_on,humanitarian,service_loss_increase,24,-48.99852353700618,-181.76012199058508,26.965268713248324,304.5738126123816,10000
generalized_0125_u8_vs_always_on,humanitarian,harmful_action_increase,24,0.75,0.25,1.2083333333333333,1.224744871391589,10000
generalized_0125_u8_vs_always_on,humanitarian,reward_degradation,24,-0.0037044179353603233,-0.03331860797101469,0.021216006876191944,0.06893699301845894,10000
generalized_0125_u8_vs_always_on,utility_restoration,sketch_byte_reduction,24,0.33338268220032014,0.298252265847746,0.3706562479669595,0.09205535022801892,10000
generalized_0125_u8_vs_always_on,utility_restoration,message_reduction,24,0.33338268220032014,0.2975837601693687,0.37024012661818306,0.09205535022801892,10000
generalized_0125_u8_vs_always_on,utility_restoration,fully_counted_byte_reduction,24,0.2565710086471209,0.23443034545888344,0.28209963039887936,0.06061415105778163,10000
generalized_0125_u8_vs_always_on,utility_restoration,primary_estimation_error_increase,24,0.00131942360235243,0.000798370887707521,0.0019244116652067371,0.0014435973962023023,10000
generalized_0125_u8_vs_always_on,utility_restoration,primary_p95_increase,24,0.0017364736733139676,0.0004430812005382259,0.003554967739174141,0.004117200261409131,10000
generalized_0125_u8_vs_always_on,utility_restoration,detection_delay_increase,24,-0.02278075300227197,-0.06032943849399541,0.0,0.080797125872199,10000
generalized_0125_u8_vs_always_on,utility_restoration,service_loss_increase,24,-0.04761558103709026,-0.6071688471343393,0.4643221040230685,1.274115614308531,10000
generalized_0125_u8_vs_always_on,utility_restoration,harmful_action_increase,24,-0.16666666666666666,-0.4583333333333333,0.16666666666666666,0.816496580927726,10000
generalized_0125_u8_vs_always_on,utility_restoration,reward_degradation,24,-0.00017602934977548,-0.006184498926528706,0.006958904191887016,0.016866270674782486,10000
generalized_0125_u8_vs_kpi_012_u8,humanitarian,primary_state_error_advantage,24,0.0014616133692150134,0.0006497852384567609,0.0024268652825955995,0.0023004285281081373,10000
generalized_0125_u8_vs_kpi_012_u8,humanitarian,disagreement_error_advantage,24,0.0009246519845817671,0.00012154740801604415,0.0018747628119260666,0.0022220954941538484,10000
generalized_0125_u8_vs_kpi_012_u8,humanitarian,detection_delay_advantage,24,0.08075312769449561,-0.0995516975966993,0.31050764667176084,0.5230364192468323,10000
generalized_0125_u8_vs_kpi_012_u8,humanitarian,consensus_recovery_advantage,24,0.0,0.0,0.0,0.0,10000
generalized_0125_u8_vs_kpi_012_u8,humanitarian,stale_row_advantage,24,10.541666666666666,5.083333333333333,16.54270833333332,14.858694326940347,10000
generalized_0125_u8_vs_kpi_012_u8,utility_restoration,primary_state_error_advantage,24,-0.0009186237281337628,-0.0016000361379425697,-0.0002971447414669695,0.0016715389328657482,10000
generalized_0125_u8_vs_kpi_012_u8,utility_restoration,disagreement_error_advantage,24,-0.0012391658707527169,-0.0022550730718341808,-0.00032079823043965923,0.0024893475605241877,10000
generalized_0125_u8_vs_kpi_012_u8,utility_restoration,detection_delay_advantage,24,0.028491625586234914,-0.0489324828723563,0.11857396189292739,0.2165201139724538,10000
generalized_0125_u8_vs_kpi_012_u8,utility_restoration,consensus_recovery_advantage,24,0.0,0.0,0.0,0.0,10000
generalized_0125_u8_vs_kpi_012_u8,utility_restoration,stale_row_advantage,24,-0.041666666666666664,-1.5416666666666667,1.5833333333333333,4.016045715427776,10000
