application,record_type,node,x,y,role,uncertainty,source,target,available
humanitarian,node,0,0.23151498678916702,0.9401246466679749,depot,0.9517148144925204,,,
humanitarian,node,1,0.12456571456221466,0.2152938185167857,depot,0.8997178358868066,,,
humanitarian,node,2,0.40338146739766684,0.5384475108558803,hub,0.9169033872288127,,,
humanitarian,node,3,0.39731882333854357,0.28477648867194333,hub,0.8643733166909152,,,
humanitarian,node,4,0.7852560821928054,0.08945832187267352,hub,0.858539375812059,,,
humanitarian,node,5,0.7593575974185768,-0.21510126343333177,hub,0.8193619858322903,,,
humanitarian,node,6,0.33182822836455106,-0.3439735788831158,shelter,0.9075295196827585,,,
humanitarian,node,7,0.4641743034871895,-0.5193224253979888,shelter,0.873532214386723,,,
humanitarian,node,8,0.13943795821532146,-0.6472176121692934,shelter,0.9151185423016542,,,
humanitarian,node,9,-0.4912467524836318,-0.6726941796177802,shelter,0.8950371768670515,,,
humanitarian,node,10,-0.2658123702973748,-0.3594216513654977,shelter,0.8954477141826479,,,
humanitarian,node,11,-1.0,-0.26498139538337817,shelter,0.939610575552102,,,
humanitarian,node,12,-0.7717865089797816,-0.021809035949373883,shelter,0.9570486848508272,,,
humanitarian,node,13,-0.5590260609037074,0.25163764702188274,clinic,0.9365814073637403,,,
humanitarian,node,14,-0.258924942362537,0.08798310242571883,clinic,0.8025558078574252,,,
humanitarian,node,15,-0.2900385267390034,0.636799606166898,clinic,0.9034517975119255,,,
humanitarian,edge,,,,,,0,1,True
humanitarian,edge,,,,,,0,15,False
humanitarian,edge,,,,,,0,2,False
humanitarian,edge,,,,,,0,3,True
humanitarian,edge,,,,,,1,2,True
humanitarian,edge,,,,,,1,3,True
humanitarian,edge,,,,,,1,15,True
humanitarian,edge,,,,,,1,4,True
humanitarian,edge,,,,,,1,14,False
humanitarian,edge,,,,,,1,10,True
humanitarian,edge,,,,,,1,8,True
humanitarian,edge,,,,,,2,3,True
humanitarian,edge,,,,,,2,4,True
humanitarian,edge,,,,,,2,5,True
humanitarian,edge,,,,,,2,15,True
humanitarian,edge,,,,,,2,14,True
humanitarian,edge,,,,,,3,4,False
humanitarian,edge,,,,,,3,5,True
humanitarian,edge,,,,,,3,6,True
humanitarian,edge,,,,,,3,13,False
humanitarian,edge,,,,,,4,5,True
humanitarian,edge,,,,,,4,6,False
humanitarian,edge,,,,,,4,7,True
humanitarian,edge,,,,,,5,6,False
humanitarian,edge,,,,,,5,7,False
humanitarian,edge,,,,,,5,8,True
humanitarian,edge,,,,,,6,7,True
humanitarian,edge,,,,,,6,8,True
