stage,application,candidate,independent_panels,mean_wire_bytes,mean_service_loss,mean_harmful_action_rate,mean_autonomous_reward
hysteresis_repair_pilot_v3,humanitarian,always_on_u8,6,2485751.3333333335,64985.38350888639,0.5682479239051009,-16.79325252602276
hysteresis_repair_pilot_v3,humanitarian,generalized_0115_u8,6,2121826.6666666665,65103.23070515966,0.5738493264982092,-16.87872020267203
hysteresis_repair_pilot_v3,humanitarian,generalized_011_u8,6,2193391.0,65054.9557725224,0.5760894273064164,-16.84731631210019
hysteresis_repair_pilot_v3,humanitarian,kpi_012_u8,6,1839558.6666666667,65773.34676729211,0.5681370237407272,-16.907771472630408
hysteresis_repair_pilot_v3,humanitarian,none_u8,6,0.0,65047.999258553056,0.5584476971030187,-16.799043317638674
hysteresis_repair_pilot_v3,utility_restoration,always_on_u8,6,1309357.0,651.1046106589301,0.4512541768074223,-0.1286976015160154
hysteresis_repair_pilot_v3,utility_restoration,generalized_0115_u8,6,1065044.3333333333,644.5250168839867,0.45456677196377154,-0.12601495287190137
hysteresis_repair_pilot_v3,utility_restoration,generalized_011_u8,6,1109748.6666666667,649.3785899074205,0.4618585138136835,-0.13600235163130112
hysteresis_repair_pilot_v3,utility_restoration,kpi_012_u8,6,969946.3333333334,652.6735976402761,0.45784908779841493,-0.13829834077965733
hysteresis_repair_pilot_v3,utility_restoration,none_u8,6,0.0,637.1455603475505,0.435728423841681,-0.12551453810094315
