accepted_physical_actions_v8,action_policy_id,actionable_opportunities,agent_count,allocation_inequality_gini,application,attempted_sketch_messages,autonomous_beneficial_actions,autonomous_harmful_actions,autonomous_neutral_actions,belief_updates_from_delivered_sketches,beneficial_actions,commitment_failures,completed_at,complexity,consensus_recovery_steps,conservation_feasible,coupling,critical_shortage_exposure,cross_community_messages,decision_epochs,delivered_sketch_messages,delivered_useful_sketch_bytes,delivery_completion,detected_groups,detection_groups,detection_recall,disagreement_time_integrated_error,dropped_messages,dropped_sketch_messages,encoding,environment_seed,estimator_target,event_count,event_ledger_scope,false_alarm_groups,false_alarm_rate,forwarded_sketch_messages,fragmentation,fully_counted_bytes,fully_counted_messages,harmful_actions,horizon,information_actions,information_condition,maximum_cascade_depth,maximum_conservation_residual,maximum_detection_delay_steps,maximum_message_age,mean_detection_delay_steps,mean_message_age,mean_quantization_l1_error,net_causal_utility,network_disruption,neutral_actions,normalized_autonomous_reward,normalized_time_integrated_estimation_error,operational_bytes,operational_messages,operational_node_count,operator_escalation_requests,operator_executed_actions,physical_actions,pointwise_estimation_mae_max,pointwise_estimation_mae_p90,pointwise_estimation_mae_p95,policy_delegation_abstain,policy_delegation_defer,policy_delegation_diversity,policy_delegation_escalate_operator,policy_delegation_execute_autonomously,primary_distributed_state_error,primary_distributed_state_error_p95,privacy_boundary_pass,proposed_physical_actions,redundant_sketch_bytes,resource_waste,retries,run_id,scheduler,service_loss,service_reaching_actions,sketch_bytes,sketch_header_bytes,sketch_integrity_bytes,sketch_messages,sketch_on_wire_bytes,sketch_payload_bytes,stage,stale_belief_rows,stale_sketch_bytes,started_at,stochastic_tape_digest,time_to_first_critical_delivery,topology_family,total_bytes,total_messages,transmitted_sketch_messages,trigger_activation_rate,trigger_activations,trigger_compute_microseconds_per_evaluation,trigger_compute_seconds,trigger_configuration_digest,trigger_evaluations,trigger_reasons,weighted_unmet_critical_need,belief_consensus_recovery,cascaded_failures,crew_travel,crew_utilization,repeated_work_orders,restoration_time_mean,unsafe_switching_or_isolation,unserved_critical_load_auc
269,frozen_local_rule,378,52,0.4185389948035004,humanitarian,111227,106,157,0,4807,106,0,2026-08-17T06:11:57.841371+00:00,large,52.0,True,high,78175.9403810539,314,20,93049,1203498,186.68425962529548,156,156,1.0,0.052430790336345914,246,18178,uint8_simplex,8812206,pooled_current_private_evidence_pre_exchange,222664,dynamic_delta,138,0.8846153846153846,97220,high,3737240,103778,157,100,1038,private_fragmented,3,6.536993168992922e-13,45.0,90.0,0.28846153846153844,22.96153846153846,0.0003286592321960066,465.6952972230772,high,0,-27.460376662246755,0.07019730095544101,244080,1038,30,249,0,269,0.18984089074347266,0.11199855909449753,0.12590314921901843,37,375,4,249,379,0.06131404564589347,0.11299782214330113,True,664,1960168,5.4867196026479,0,v8-hysteresis_repair_pilot_v2-humanitarian-large-high-high-high-small_world-private_fragmented-8812206-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on,149200.34897585245,107,0,2465760,410960,0,3493160,616440,hysteresis_repair_pilot_v2,884,0,2026-08-17T06:11:22.593533+00:00,ace23611a931af5b0a9cd7c5c49fd6eb45edea79c13462fa1364b7e1dfe4f3b8,15,small_world,244080,1038,102740,1.0,1040,735.2184223306651,0.7646271592238918,f06f6808d09b,1040,"{'always_on': 884, 'initial_reference': 156}",3784.68273551945,,,,,,,,
267,frozen_local_rule,377,52,0.41764089015019806,humanitarian,62196,106,157,0,2744,106,0,2026-08-17T06:11:54.955038+00:00,large,52.0,True,high,75821.3961139789,314,20,52891,672180,184.00171415544256,156,156,1.0,0.05286646809814324,246,9305,uint8_simplex,8812206,pooled_current_private_evidence_pre_exchange,133473,dynamic_delta,138,0.8846153846153846,55240,high,2226668,59350,157,100,1038,private_fragmented,3,7.389644451905042e-13,0.0,90.0,0.0,31.41346153846154,0.00032447622975966293,470.97659855612994,high,0,-27.27112329739352,0.0726952188973172,244060,1038,30,248,0,267,0.18822935608310998,0.11165246473485478,0.12256031431470822,37,377,4,248,378,0.06278084349773022,0.11543439740629352,True,662,1126114,5.7022812111211465,0,v8-hysteresis_repair_pilot_v2-humanitarian-large-high-high-high-small_world-private_fragmented-8812206-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule,generalized_information,148306.0700920481,106,0,1399488,233248,0,1982608,349872,hysteresis_repair_pilot_v2,884,0,2026-08-17T06:11:32.021236+00:00,ace23611a931af5b0a9cd7c5c49fd6eb45edea79c13462fa1364b7e1dfe4f3b8,15,small_world,244060,1038,58312,0.55,572,713.2285929961095,0.7417577367159538,51c1900045ef,1040,"{'below_threshold': 46, 'hysteresis_wait': 422, 'initial_reference': 156, 'maximum_silence': 416}",3718.0986816277036,,,,,,,,
267,frozen_local_rule,377,52,0.41764089015019806,humanitarian,62196,106,157,0,2744,106,0,2026-08-17T06:12:22.300353+00:00,large,52.0,True,high,75821.3961139789,314,20,52891,672180,184.00171415544256,156,156,1.0,0.05286646809814324,246,9305,uint8_simplex,8812206,pooled_current_private_evidence_pre_exchange,133473,dynamic_delta,138,0.8846153846153846,55240,high,2226668,59350,157,100,1038,private_fragmented,3,7.389644451905042e-13,0.0,90.0,0.0,31.41346153846154,0.00032447622975966293,470.97659855612994,high,0,-27.27112329739352,0.0726952188973172,244060,1038,30,248,0,267,0.18822935608310998,0.11165246473485478,0.12256031431470822,37,377,4,248,378,0.06278084349773022,0.11543439740629352,True,662,1126114,5.7022812111211465,0,v8-hysteresis_repair_pilot_v2-humanitarian-large-high-high-high-small_world-private_fragmented-8812206-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,generalized_information,148306.0700920481,106,0,1399488,233248,0,1982608,349872,hysteresis_repair_pilot_v2,884,0,2026-08-17T06:11:59.051853+00:00,ace23611a931af5b0a9cd7c5c49fd6eb45edea79c13462fa1364b7e1dfe4f3b8,15,small_world,244060,1038,58312,0.55,572,723.3129934040614,0.7522455131402239,f885a39c000a,1040,"{'below_threshold': 46, 'hysteresis_wait': 422, 'initial_reference': 156, 'maximum_silence': 416}",3718.0986816277036,,,,,,,,
270,frozen_local_rule,381,52,0.4179277968092859,humanitarian,83571,105,160,0,3621,105,0,2026-08-17T06:12:41.703529+00:00,large,52.0,True,high,76970.80145816549,314,20,70343,903992,184.76956543282128,156,156,1.0,0.05253278711700375,246,13228,uint8_simplex,8812206,pooled_current_private_evidence_pre_exchange,172305,dynamic_delta,138,0.8846153846153846,73503,high,2884264,78692,160,100,1038,private_fragmented,3,7.389644451905042e-13,15.0,90.0,0.09615384615384616,28.673076923076923,0.0003252981554510484,471.19121830403935,high,0,-27.307325630875503,0.06999493299994895,244028,1038,30,247,0,270,0.18822935608310998,0.10924409830238659,0.12278650055503579,37,374,4,247,382,0.06126386005847635,0.11298757994486061,True,665,1487670,4.776698719761818,0,v8-hysteresis_repair_pilot_v2-humanitarian-large-high-high-high-small_world-private_fragmented-8812206-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_change,148429.0495408702,105,0,1863696,310616,0,2640236,465924,hysteresis_repair_pilot_v2,884,0,2026-08-17T06:12:13.771578+00:00,ace23611a931af5b0a9cd7c5c49fd6eb45edea79c13462fa1364b7e1dfe4f3b8,15,small_world,244028,1038,77654,0.7519230769230769,782,721.946488584553,0.7508243481279351,314c8c128df2,1040,"{'initial_reference': 156, 'kpi_change': 674, 'maximum_silence': 210}",3714.5785473522333,,,,,,,,
267,frozen_local_rule,376,52,0.4181937013747175,humanitarian,0,109,154,0,0,109,0,2026-08-17T06:11:30.607486+00:00,large,52.0,True,high,75569.70192464573,314,20,0,0,187.31575701521976,156,156,1.0,0.11036312480192413,246,0,uint8_simplex,8812206,pooled_current_private_evidence_pre_exchange,18386,dynamic_delta,137,0.8782051282051282,0,high,244099,1038,154,100,1038,private_fragmented,3,7.105427357601002e-14,0.0,0.0,0.0,0.0,0.0,505.3734478026874,high,0,-27.126210413632062,0.07878302427447244,244099,1038,30,247,0,267,0.18822935608310998,0.11652509714301744,0.13632975944847558,35,381,4,247,377,0.0945730745381983,0.14366422859441397,True,658,0,4.873412312529577,0,v8-hysteresis_repair_pilot_v2-humanitarian-large-high-high-high-small_world-private_fragmented-8812206-none-806ed450405e-uint8_simplex-frozen_local_rule,none,148045.5014077324,108,0,0,0,0,0,0,hysteresis_repair_pilot_v2,0,0,2026-08-17T06:11:23.515718+00:00,ace23611a931af5b0a9cd7c5c49fd6eb45edea79c13462fa1364b7e1dfe4f3b8,15,small_world,244099,1038,0,0.0,0,33.364179118787156,0.03469874628353864,806ed450405e,1040,{'disabled': 1040},3708.1615449542182,,,,,,,,
309,frozen_local_rule,510,52,0.4100419526749423,humanitarian,363366,142,160,0,27943,142,0,2026-08-17T06:10:58.783505+00:00,large,52.0,True,medium,86593.97615157612,341,20,321239,1393524,158.1460936159287,141,141,1.0,0.0609559550959105,65,42127,uint8_simplex,8812205,pooled_current_private_evidence_pre_exchange,701046,dynamic_delta,110,0.7051282051282052,344302,medium,12165643,354776,160,100,406,private_fragmented,3,5.400124791776761e-13,0.0,60.0,0.0,14.20673076923077,0.00017229305249818867,626.0098962964564,low,0,-30.97752731008294,0.06625787670327977,120599,510,30,79,0,309,0.1990829182828309,0.11782861178199698,0.13005834119929524,21,122,4,79,818,0.06360691589959513,0.12475352757225502,True,610,9528602,4.0,0,v8-hysteresis_repair_pilot_v2-humanitarian-large-medium-medium-low-random_geometric-private_fragmented-8812205-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on,167465.98801388536,91,0,8502384,1417064,0,12045044,2125596,hysteresis_repair_pilot_v2,884,0,2026-08-17T06:09:16.707122+00:00,e27ae0941aeb22f6b6137cdcf8b022ab06c1eb482d7f1f151bcdac144a1a3e61,12,random_geometric,120599,510,354266,1.0,1040,729.878693975759,0.7590738417347893,f06f6808d09b,1040,"{'always_on': 884, 'initial_reference': 156}",4342.485684311708,,,,,,,,
311,frozen_local_rule,506,52,0.4105806558188897,humanitarian,199999,141,165,0,15454,141,0,2026-08-17T06:10:24.183426+00:00,large,52.0,True,medium,85415.76105648764,340,20,177215,766122,164.660840560255,141,141,1.0,0.06190489680072296,64,22784,uint8_simplex,8812205,pooled_current_private_evidence_pre_exchange,393660,dynamic_delta,110,0.7051282051282052,189949,medium,6765445,195952,165,100,407,private_fragmented,3,8.526512829121202e-14,0.0,90.0,0.0,20.625,0.00017128427766068132,607.981709581755,low,0,-30.557411521269056,0.07130861548775945,120383,509,30,82,0,311,0.1990829182828309,0.12011361305010446,0.13134452422199186,20,120,4,82,818,0.06660675614424119,0.12476010697326241,True,608,5259188,3.0,0,v8-hysteresis_repair_pilot_v2-humanitarian-large-medium-medium-low-random_geometric-private_fragmented-8812205-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule,generalized_information,165146.57328970014,95,0,4690632,781772,0,6645062,1172658,hysteresis_repair_pilot_v2,884,0,2026-08-17T06:09:24.342413+00:00,e27ae0941aeb22f6b6137cdcf8b022ab06c1eb482d7f1f151bcdac144a1a3e61,12,random_geometric,120383,509,195443,0.55,572,716.2953976008934,0.7449472135049291,51c1900045ef,1040,"{'below_threshold': 47, 'hysteresis_wait': 421, 'initial_reference': 156, 'maximum_silence': 416}",4277.761212815426,,,,,,,,
311,frozen_local_rule,506,52,0.4105806558188897,humanitarian,199999,141,165,0,15454,141,0,2026-08-17T06:10:25.219039+00:00,large,52.0,True,medium,85415.76105648764,340,20,177215,766122,164.660840560255,141,141,1.0,0.06190489680072296,64,22784,uint8_simplex,8812205,pooled_current_private_evidence_pre_exchange,393660,dynamic_delta,110,0.7051282051282052,189949,medium,6765445,195952,165,100,407,private_fragmented,3,8.526512829121202e-14,0.0,90.0,0.0,20.625,0.00017128427766068132,607.981709581755,low,0,-30.557411521269056,0.07130861548775945,120383,509,30,82,0,311,0.1990829182828309,0.12011361305010446,0.13134452422199186,20,120,4,82,818,0.06660675614424119,0.12476010697326241,True,608,5259188,3.0,0,v8-hysteresis_repair_pilot_v2-humanitarian-large-medium-medium-low-random_geometric-private_fragmented-8812205-generalized_information-f885a39c000a-uint8_simplex-frozen_local_rule,generalized_information,165146.57328970014,95,0,4690632,781772,0,6645062,1172658,hysteresis_repair_pilot_v2,884,0,2026-08-17T06:09:25.742478+00:00,e27ae0941aeb22f6b6137cdcf8b022ab06c1eb482d7f1f151bcdac144a1a3e61,12,random_geometric,120383,509,195443,0.55,572,712.8740070933977,0.7413889673771337,f885a39c000a,1040,"{'below_threshold': 47, 'hysteresis_wait': 421, 'initial_reference': 156, 'maximum_silence': 416}",4277.761212815426,,,,,,,,
316,frozen_local_rule,512,52,0.40999374803879435,humanitarian,264235,146,162,0,20332,146,0,2026-08-17T06:10:42.616506+00:00,large,52.0,True,medium,85329.61233407696,344,20,233707,1014798,166.19968424454188,141,141,1.0,0.05964084190303099,65,30528,uint8_simplex,8812205,pooled_current_private_evidence_pre_exchange,514402,dynamic_delta,110,0.7051282051282052,250523,medium,8885344,258286,162,100,406,private_fragmented,3,3.979039320256561e-13,0.0,75.0,0.0,20.567307692307693,0.000172125244445673,649.085815875928,low,0,-30.534198785810307,0.06553828531544484,121028,512,30,80,0,316,0.1990829182828309,0.11499712448772809,0.12649909214354016,21,122,4,80,817,0.06258956360923792,0.12274246451270503,True,613,6931240,4.812296947716618,0,v8-hysteresis_repair_pilot_v2-humanitarian-large-medium-medium-low-random_geometric-private_fragmented-8812205-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_change,165370.1115037035,98,0,6186576,1031096,0,8764316,1546644,hysteresis_repair_pilot_v2,884,0,2026-08-17T06:09:27.006973+00:00,e27ae0941aeb22f6b6137cdcf8b022ab06c1eb482d7f1f151bcdac144a1a3e61,12,random_geometric,121028,512,257774,0.7288461538461538,758,710.6138091050805,0.7390383614692837,314c8c128df2,1040,"{'initial_reference': 156, 'kpi_change': 652, 'maximum_silence': 232}",4296.427539332272,,,,,,,,
305,frozen_local_rule,513,52,0.40865263112300065,humanitarian,0,135,166,0,0,135,0,2026-08-17T06:09:25.645324+00:00,large,52.0,True,medium,84765.81801108501,332,20,0,0,159.31736451418948,141,141,1.0,0.1052359330856551,63,0,uint8_simplex,8812205,pooled_current_private_evidence_pre_exchange,16402,dynamic_delta,109,0.6987179487179487,0,medium,118456,501,166,100,397,private_fragmented,3,8.526512829121202e-14,0.0,0.0,0.0,0.0,0.0,571.4634537017721,low,0,-30.346885815876192,0.07302182829168229,118456,501,30,80,0,305,0.1990829182828309,0.12482377879259778,0.15170512285415738,20,112,4,80,828,0.0891288806886687,0.16468901537102332,True,613,0,4.980456842640951,0,v8-hysteresis_repair_pilot_v2-humanitarian-large-medium-medium-low-random_geometric-private_fragmented-8812205-none-806ed450405e-uint8_simplex-frozen_local_rule,none,163596.41824888994,91,0,0,0,0,0,0,hysteresis_repair_pilot_v2,0,0,2026-08-17T06:09:18.508825+00:00,e27ae0941aeb22f6b6137cdcf8b022ab06c1eb482d7f1f151bcdac144a1a3e61,12,random_geometric,118456,501,0,0.0,0,32.511668597670415,0.03381213534157723,806ed450405e,1040,{'disabled': 1040},4221.576698815372,,,,,,,,
