run_id,candidate_name,application,environment_seed,disruption_step,pre_disruption_noninitial_evaluations,pre_disruption_noninitial_transmissions,pre_disruption_noninitial_transmission_rate
v8-development_final-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810019,18,52,52,1.0
v8-development_final-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810019,18,52,0,0.0
v8-development_final-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810019,18,52,0,0.0
v8-development_final-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810019,18,52,23,0.4423076923076923
v8-development_final-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810019,18,52,26,0.5
v8-development_final-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810019,18,208,0,0.0
v8-development_final-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810024,18,52,52,1.0
v8-development_final-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810024,18,52,0,0.0
v8-development_final-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810024,18,52,0,0.0
v8-development_final-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810024,18,52,17,0.3269230769230769
