accepted_physical_actions_v8,action_policy_id,actionable_opportunities,agent_count,allocation_inequality_gini,application,attempted_sketch_messages,autonomous_beneficial_actions,autonomous_harmful_actions,autonomous_neutral_actions,belief_updates_from_delivered_sketches,beneficial_actions,commitment_failures,completed_at,complexity,consensus_recovery_steps,conservation_feasible,coupling,critical_shortage_exposure,cross_community_messages,decision_epochs,delivered_sketch_messages,delivered_useful_sketch_bytes,delivery_completion,detected_groups,detection_groups,detection_recall,disagreement_time_integrated_error,dropped_messages,dropped_sketch_messages,encoding,environment_seed,event_count,false_alarm_groups,false_alarm_rate,forwarded_sketch_messages,fragmentation,fully_counted_bytes,fully_counted_messages,harmful_actions,horizon,information_actions,information_condition,maximum_cascade_depth,maximum_conservation_residual,maximum_detection_delay_steps,maximum_message_age,mean_detection_delay_steps,mean_message_age,mean_quantization_l1_error,net_causal_utility,network_disruption,neutral_actions,normalized_autonomous_reward,normalized_time_integrated_estimation_error,operational_bytes,operational_messages,operational_node_count,operator_escalation_requests,operator_executed_actions,physical_actions,pointwise_estimation_mae_max,pointwise_estimation_mae_p90,pointwise_estimation_mae_p95,privacy_boundary_pass,proposed_physical_actions,redundant_sketch_bytes,resource_waste,retries,run_id,scheduler,service_loss,service_reaching_actions,sketch_bytes,sketch_header_bytes,sketch_integrity_bytes,sketch_messages,sketch_on_wire_bytes,sketch_payload_bytes,stage,stale_belief_rows,stale_sketch_bytes,started_at,stochastic_tape_digest,time_to_first_critical_delivery,topology_family,total_bytes,total_messages,transmitted_sketch_messages,trigger_activation_rate,trigger_activations,trigger_configuration_digest,trigger_evaluations,trigger_reasons,weighted_unmet_critical_need,belief_consensus_recovery,cascaded_failures,crew_travel,crew_utilization,repeated_work_orders,restoration_time_mean,unsafe_switching_or_isolation,unserved_critical_load_auc
271,frozen_local_rule,444,52,0.4151535820214643,humanitarian,17840,117,148,0,624,117,0,2026-08-17T03:27:06.260602+00:00,large,2.0,True,high,79841.2066140568,178,20,14816,381520,163.86102897210017,151,151,1.0,0.037945261718052625,134,3024,fp16,880104,49272,119,0.7628205128205128,13381,medium,794946,17035,148,100,490,private_fragmented,3,8.526512829121202e-14,15.0,90.0,0.09933774834437085,21.620192307692307,2.7327421067635377e-05,591.0862251330832,high,0,-29.01759309379384,0.05164254424455172,136666,578,30,166,0,271,0.1938082643562448,0.09016437835607595,0.10469320345140046,True,626,211120,10.102261560923914,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule,age_of_information,157814.11555325057,105,0,394968,65828,0,658280,197484,pilots,684,0,2026-08-17T03:26:55.990012+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,136666,578,16457,0.551923076923077,574,e1d6ce4d93c3,1040,"{'age_deadline': 466, 'initial_reference': 156, 'maximum_silence': 417, 'partition_recovery': 1}",3907.1977359721504,,,,,,,,
271,frozen_local_rule,444,52,0.4151535820214643,humanitarian,17840,117,148,0,624,117,0,2026-08-17T03:27:17.897509+00:00,large,27.0,True,high,79841.2066140568,178,20,14816,381520,163.86102897210017,151,151,1.0,0.03865147970857667,134,3024,fp16,880104,49272,119,0.7628205128205128,13381,medium,794946,17035,148,100,490,private_fragmented,3,8.526512829121202e-14,15.0,90.0,0.3973509933774834,21.620192307692307,2.7327421067635377e-05,591.0862251330832,high,0,-29.01759309379384,0.05458792562185041,136666,578,30,166,0,271,0.1938082643562448,0.09976327929934153,0.11434506572442822,True,626,211120,10.102261560923914,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-age_of_information-e27491322545-fp16-frozen_local_rule,age_of_information,157814.11555325057,105,0,394968,65828,0,658280,197484,pilots,684,0,2026-08-17T03:27:07.476284+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,136666,578,16457,0.551923076923077,574,e27491322545,1040,"{'age_deadline': 466, 'initial_reference': 156, 'maximum_silence': 417, 'partition_recovery': 1}",3907.1977359721504,,,,,,,,
268,frozen_local_rule,442,52,0.41561609574692304,humanitarian,32129,118,144,0,1112,118,0,2026-08-17T03:25:45.714178+00:00,large,27.0,True,high,79256.08518557374,179,20,26391,683200,163.1898476971056,151,151,1.0,0.03713293379578802,134,5738,fp16,880104,75138,119,0.7628205128205128,23850,medium,1311899,29950,144,100,492,private_fragmented,3,5.684341886080802e-14,15.0,75.0,0.2980132450331126,15.620192307692308,2.794712623748157e-05,586.0919101010455,high,0,-28.971259047713872,0.0529782161142527,137099,580,30,168,0,268,0.1938082643562448,0.09588851669297824,0.11114344801866606,True,626,372440,10.519971949512374,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-always_on-f06f6808d09b-fp16-frozen_local_rule,always_on,157545.74599047736,105,0,704880,117480,0,1174800,352440,pilots,695,0,2026-08-17T03:25:32.907265+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,137099,580,29370,1.0,1040,f06f6808d09b,1040,"{'always_on': 884, 'initial_reference': 156}",3921.4371681367106,,,,,,,,
268,frozen_local_rule,442,52,0.41561609574692304,humanitarian,32049,118,144,0,1108,118,0,2026-08-17T03:28:04.887220+00:00,large,27.0,True,high,79256.08518557374,179,20,26323,681320,163.1898476971056,151,151,1.0,0.03715933080753178,134,5726,fp16,880104,74990,119,0.7628205128205128,23788,medium,1308901,29875,144,100,492,private_fragmented,3,5.684341886080802e-14,15.0,75.0,0.2980132450331126,15.649038461538462,2.795639347468536e-05,586.0919101010455,high,0,-28.971259047713872,0.0529762482037892,137101,580,30,168,0,268,0.1938082643562448,0.09588851669297824,0.11114344801866606,True,626,371600,10.519971949512374,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-generalized_information-089fa0c17476-fp16-frozen_local_rule,generalized_information,157545.74599047736,105,0,703080,117180,0,1171800,351540,pilots,695,0,2026-08-17T03:27:52.191592+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,137101,580,29295,0.9971153846153846,1037,089fa0c17476,1040,"{'below_threshold': 3, 'generalized_information_on': 872, 'initial_reference': 156, 'maximum_silence': 8, 'partition_recovery': 1}",3921.4371681367106,,,,,,,,
268,frozen_local_rule,441,52,0.4158318598536647,humanitarian,20755,122,141,0,725,122,0,2026-08-17T03:28:07.176775+00:00,large,27.0,True,high,80405.94307681549,178,20,17327,444200,165.39550683765597,151,151,1.0,0.037033753907416984,134,3428,fp16,880104,54698,119,0.7628205128205128,15701,medium,907510,19846,141,100,492,private_fragmented,3,5.684341886080802e-14,15.0,90.0,0.2980132450331126,19.370192307692307,2.7286412599804826e-05,600.3351542141982,high,0,-29.024147222179728,0.052861278909817566,136830,579,30,169,0,268,0.1938082643562448,0.09479795826297026,0.11066453739759066,True,626,248880,10.518724220581666,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-generalized_information-16bfadb86d55-fp16-frozen_local_rule,generalized_information,158004.34741908478,109,0,462408,77068,0,770680,231204,pilots,686,0,2026-08-17T03:27:56.029200+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,136830,579,19267,0.6326923076923077,658,16bfadb86d55,1040,"{'below_threshold': 382, 'generalized_information_on': 167, 'initial_reference': 156, 'maximum_silence': 334, 'partition_recovery': 1}",3951.481535804558,,,,,,,,
268,frozen_local_rule,442,52,0.4154005845893049,humanitarian,19839,121,141,0,698,121,0,2026-08-17T03:27:44.591672+00:00,large,27.0,True,high,79788.99023699499,178,20,16581,424880,164.13826992355803,151,151,1.0,0.038097881612750066,134,3258,fp16,880104,53034,119,0.7628205128205128,15016,medium,873766,19002,141,100,491,private_fragmented,3,1.4210854715202004e-13,15.0,90.0,0.3973509933774834,20.509615384615383,2.6371862669420523e-05,632.9564970507236,high,0,-28.90098445570463,0.05384368119269679,136846,579,30,167,0,268,0.1938082643562448,0.09881001471562746,0.11108414506450741,True,625,238360,10.509134439753607,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-js_drift-565d3b5e7ead-fp16-frozen_local_rule,js_drift,157731.66619379024,106,0,442152,73692,0,736920,221076,pilots,679,0,2026-08-17T03:27:33.914732+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,136846,579,18423,0.6048076923076923,629,565d3b5e7ead,1040,"{'initial_reference': 156, 'js_drift': 506, 'maximum_silence': 377, 'partition_recovery': 1}",3912.7242933386274,,,,,,,,
268,frozen_local_rule,441,52,0.4158318598536647,humanitarian,23254,123,140,0,826,123,0,2026-08-17T03:27:36.441206+00:00,large,27.0,True,high,80289.67092460499,179,20,19317,497360,165.39550683765597,151,151,1.0,0.037194091230200045,134,3937,fp16,880104,59191,119,0.7628205128205128,17457,medium,995000,22028,140,100,493,private_fragmented,3,5.684341886080802e-14,15.0,90.0,0.2980132450331126,18.432692307692307,2.7138466574065983e-05,619.4987489135161,high,0,-28.959051845042186,0.05309030247930288,137080,580,30,169,0,268,0.1938082643562448,0.09635252460035591,0.11111575003956854,True,626,275320,10.518724220581666,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-js_drift-ffac7588a645-fp16-frozen_local_rule,js_drift,157891.8167469411,109,0,514752,85792,0,857920,257376,pilots,691,0,2026-08-17T03:27:24.993391+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,137080,580,21448,0.7144230769230769,743,ffac7588a645,1040,"{'initial_reference': 156, 'js_drift': 628, 'maximum_silence': 255, 'partition_recovery': 1}",3922.6904382401403,,,,,,,,
269,frozen_local_rule,442,52,0.4152209953578899,humanitarian,23220,117,145,0,804,117,0,2026-08-17T03:26:34.873514+00:00,large,27.0,True,high,79811.15927401646,178,20,19094,493600,163.24154321758436,151,151,1.0,0.03765103088720357,134,4126,fp16,880104,58929,119,0.7628205128205128,17221,medium,985372,21792,145,100,491,private_fragmented,3,1.1368683772161603e-13,15.0,90.0,0.2980132450331126,18.83653846153846,2.6775424987266208e-05,592.3959612494268,high,0,-28.996559681621083,0.05323397347944673,136852,579,30,167,0,269,0.1938082643562448,0.09589631941854945,0.11416771407728465,True,625,270160,10.027294455996774,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-kpi_change-314c8c128df2-fp16-frozen_local_rule,kpi_change,157751.47459442288,104,0,509112,84852,0,848520,254556,pilots,687,0,2026-08-17T03:26:23.232518+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,136852,579,21213,0.7259615384615384,755,314c8c128df2,1040,"{'initial_reference': 156, 'kpi_change': 646, 'maximum_silence': 237, 'partition_recovery': 1}",3905.3411045476105,,,,,,,,
268,frozen_local_rule,442,52,0.41561609574692304,humanitarian,26285,118,144,0,909,118,0,2026-08-17T03:26:26.590722+00:00,large,52.0,True,high,79256.08518557374,178,20,21574,557680,163.1898476971056,151,151,1.0,0.03767893381603915,134,4711,fp16,880104,64473,119,0.7628205128205128,19485,medium,1096868,24580,144,100,491,private_fragmented,3,5.684341886080802e-14,15.0,90.0,0.2980132450331126,17.91346153846154,2.7292163705516966e-05,586.0919101010455,high,0,-28.971259047713872,0.05292541339668562,136828,579,30,168,0,268,0.1938082643562448,0.09563829708394098,0.11330915079823108,True,626,305280,10.519971949512374,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-kpi_change-d83b95b9a33f-fp16-frozen_local_rule,kpi_change,157545.74599047736,105,0,576024,96004,0,960040,288012,pilots,691,0,2026-08-17T03:26:14.875539+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,136828,579,24001,0.8201923076923077,853,d83b95b9a33f,1040,"{'initial_reference': 156, 'kpi_change': 725, 'maximum_silence': 158, 'partition_recovery': 1}",3921.4371681367106,,,,,,,,
268,frozen_local_rule,442,52,0.41561609574692304,humanitarian,31977,118,144,0,1104,118,0,2026-08-17T03:26:56.600153+00:00,large,27.0,True,high,79256.08518557374,179,20,26252,679600,163.1898476971056,151,151,1.0,0.0371508776610977,134,5725,fp16,880104,74847,119,0.7628205128205128,23725,medium,1305818,29798,144,100,492,private_fragmented,3,5.684341886080802e-14,15.0,75.0,0.2980132450331126,15.721153846153847,2.79616231819591e-05,586.0919101010455,high,0,-28.971259047713872,0.05298898117189794,137098,580,30,168,0,268,0.1938082643562448,0.09588851669297824,0.11114344801866606,True,626,370480,10.519971949512374,0,v8-pilots-humanitarian-large-high-medium-high-small_world-private_fragmented-880104-l1_belief_drift-a4111e560261-fp16-frozen_local_rule,l1_belief_drift,157545.74599047736,105,0,701232,116872,0,1168720,350616,pilots,695,0,2026-08-17T03:26:43.417477+00:00,fb47c9f389325e3c725d1107ab240d29c96123a83c1bd128c5e4d840f6db2a72,12,small_world,137098,580,29218,0.9951923076923077,1035,a4111e560261,1040,"{'initial_reference': 156, 'l1_belief_drift': 873, 'maximum_silence': 10, 'partition_recovery': 1}",3921.4371681367106,,,,,,,,
