accepted_physical_actions_v8,action_policy_id,actionable_opportunities,agent_count,allocation_inequality_gini,application,attempted_sketch_messages,autonomous_beneficial_actions,autonomous_harmful_actions,autonomous_neutral_actions,belief_updates_from_delivered_sketches,beneficial_actions,commitment_failures,completed_at,complexity,consensus_recovery_steps,conservation_feasible,coupling,critical_shortage_exposure,cross_community_messages,decision_epochs,delivered_sketch_messages,delivered_useful_sketch_bytes,delivery_completion,detected_groups,detection_groups,detection_recall,disagreement_time_integrated_error,dropped_messages,dropped_sketch_messages,encoding,environment_seed,estimator_target,event_count,false_alarm_groups,false_alarm_rate,forwarded_sketch_messages,fragmentation,fully_counted_bytes,fully_counted_messages,harmful_actions,horizon,information_actions,information_condition,maximum_cascade_depth,maximum_conservation_residual,maximum_detection_delay_steps,maximum_message_age,mean_detection_delay_steps,mean_message_age,mean_quantization_l1_error,net_causal_utility,network_disruption,neutral_actions,normalized_autonomous_reward,normalized_time_integrated_estimation_error,operational_bytes,operational_messages,operational_node_count,operator_escalation_requests,operator_executed_actions,physical_actions,pointwise_estimation_mae_max,pointwise_estimation_mae_p90,pointwise_estimation_mae_p95,privacy_boundary_pass,proposed_physical_actions,redundant_sketch_bytes,resource_waste,retries,run_id,scheduler,service_loss,service_reaching_actions,sketch_bytes,sketch_header_bytes,sketch_integrity_bytes,sketch_messages,sketch_on_wire_bytes,sketch_payload_bytes,stage,stale_belief_rows,stale_sketch_bytes,started_at,stochastic_tape_digest,time_to_first_critical_delivery,topology_family,total_bytes,total_messages,transmitted_sketch_messages,trigger_activation_rate,trigger_activations,trigger_configuration_digest,trigger_evaluations,trigger_reasons,weighted_unmet_critical_need,belief_consensus_recovery,cascaded_failures,crew_travel,crew_utilization,repeated_work_orders,restoration_time_mean,unsafe_switching_or_isolation,unserved_critical_load_auc,candidate_name,configuration_digest,method,panel_id,sketch_on_wire_bytes_always,fully_counted_bytes_always,transmitted_sketch_messages_always,fully_counted_messages_always,normalized_time_integrated_estimation_error_always,pointwise_estimation_mae_p95_always,disagreement_time_integrated_error_always,mean_detection_delay_steps_always,service_loss_always,autonomous_harmful_actions_always,normalized_autonomous_reward_always,sketch_byte_reduction,fully_counted_byte_reduction,message_reduction,estimation_error_increase,pointwise_p95_increase,disagreement_error_increase,detection_delay_increase,service_loss_increase,harmful_action_increase,reward_degradation
265,frozen_local_rule,435,52,0.4190482293167431,humanitarian,18211,125,137,0,827,125,0.0,2026-08-17T03:40:00.238317+00:00,large,52.0,True,high,82335.4240384066,222,20,15384,425520,179.5994848643927,145,145,1.0,0.0670670026286844,160,2827,fp16,880204,pooled_current_private_evidence_pre_exchange,50124,98,0.6282051282051282,13768,medium,808563,17412,137,100,497,private_fragmented,3,1.1795009413617665e-12,15.0,90.0,0.6206896551724138,22.572115384615383,2.6442122602825443e-05,520.6264690781964,high,0,-28.78131314569325,0.0703467584917743,134963,572,30,161,0,265,0.1819155723006671,0.1216778649432347,0.1420317972075766,True,602,189840,6.964088098747055,0,v8-pilots_v2-humanitarian-large-high-medium-high-small_world-private_fragmented-880204-age_of_information-e1d6ce4d93c3-fp16-frozen_local_rule,age_of_information,155886.40913739026,116,0,404160,67360,0,673600,202080,pilots_v2,729,0,2026-08-17T03:39:49.271160+00:00,35ce1e27984a1d500525c3e0e6ceae42370c3ab9b8e5effc8239c7da31536162,12.0,small_world,134963,572,16840,0.55,572,e1d6ce4d93c3,1040,"{'age_deadline': 468, 'initial_reference': 156, 'maximum_silence': 416}",3956.0895732469576,nan,nan,nan,nan,nan,nan,nan,nan,aoi_18,e1d6ce4d93c3,age_of_information,humanitarian:880204,1208520,1343639,30213,30786,0.0702521577098066,0.1480831433803381,0.0627094077710839,1.7586206896551724,157855.63966749224,136,-29.10653511684803,0.44262403601098865,0.39822898858994116,0.44262403601098865,9.460078196769917e-05,-0.006051346172761485,0.004357594857600497,-1.1379310344827585,-1969.2305301019805,1,-0.3252219711547788
265,frozen_local_rule,435,52,0.4190482293167431,humanitarian,18211,125,137,0,827,125,0.0,2026-08-17T03:40:18.664345+00:00,large,52.0,True,high,82335.4240384066,222,20,15384,425520,179.5994848643927,145,145,1.0,0.0642552189090111,160,2827,fp16,880204,pooled_current_private_evidence_pre_exchange,50124,98,0.6282051282051282,13768,medium,808563,17412,137,100,497,private_fragmented,3,1.1795009413617665e-12,30.0,90.0,1.3448275862068966,22.572115384615383,2.6442122602825443e-05,520.6264690781964,high,0,-28.78131314569325,0.0726578655571242,134963,572,30,161,0,265,0.2024906671640634,0.1307885377047407,0.1477015101618513,True,602,189840,6.964088098747055,0,v8-pilots_v2-humanitarian-large-high-medium-high-small_world-private_fragmented-880204-age_of_information-e27491322545-fp16-frozen_local_rule,age_of_information,155886.40913739026,116,0,404160,67360,0,673600,202080,pilots_v2,729,0,2026-08-17T03:40:07.399329+00:00,35ce1e27984a1d500525c3e0e6ceae42370c3ab9b8e5effc8239c7da31536162,12.0,small_world,134963,572,16840,0.55,572,e27491322545,1040,"{'age_deadline': 468, 'initial_reference': 156, 'maximum_silence': 416}",3956.0895732469576,nan,nan,nan,nan,nan,nan,nan,nan,aoi_30,e27491322545,age_of_information,humanitarian:880204,1208520,1343639,30213,30786,0.0702521577098066,0.1480831433803381,0.0627094077710839,1.7586206896551724,157855.63966749224,136,-29.10653511684803,0.44262403601098865,0.39822898858994116,0.44262403601098865,0.002405707847317598,-0.0003816332184868043,0.0015458111379272055,-0.4137931034482758,-1969.2305301019805,1,-0.3252219711547788
268,frozen_local_rule,434,52,0.4191950828202248,humanitarian,32975,127,136,0,1478,127,0.0,2026-08-17T03:38:11.743221+00:00,large,52.0,True,high,83287.81642011875,223,20,27655,768120,184.8354728470537,145,145,1.0,0.0627094077710839,160,5320,fp16,880204,pooled_current_private_evidence_pre_exchange,77166,98,0.6282051282051282,24693,medium,1343639,30786,136,100,497,private_fragmented,3,1.5774048733874224e-12,45.0,75.0,1.7586206896551724,16.5,2.6446931797585685e-05,542.6383007671155,high,0,-29.10653511684803,0.0702521577098066,135119,573,30,161,0,268,0.2024906671640634,0.124535206372355,0.1480831433803381,True,601,338080,7.0548731196155865,0,v8-pilots_v2-humanitarian-large-high-medium-high-small_world-private_fragmented-880204-always_on-f06f6808d09b-fp16-frozen_local_rule,always_on,157855.63966749224,120,0,725112,120852,0,1208520,362556,pilots_v2,738,0,2026-08-17T03:37:57.484016+00:00,35ce1e27984a1d500525c3e0e6ceae42370c3ab9b8e5effc8239c7da31536162,12.0,small_world,135119,573,30213,1.0,1040,f06f6808d09b,1040,"{'always_on': 884, 'initial_reference': 156}",3995.176859668349,nan,nan,nan,nan,nan,nan,nan,nan,always_on_fp16,f06f6808d09b,always_on,humanitarian:880204,1208520,1343639,30213,30786,0.0702521577098066,0.1480831433803381,0.0627094077710839,1.7586206896551724,157855.63966749224,136,-29.10653511684803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
268,frozen_local_rule,434,52,0.4191950828202248,humanitarian,32932,127,136,0,1477,127,0.0,2026-08-17T03:41:22.037499+00:00,large,52.0,True,high,83287.81642011875,223,20,27617,767080,184.8354728470537,145,145,1.0,0.0627197527962167,160,5315,fp16,880204,pooled_current_private_evidence_pre_exchange,77085,98,0.6282051282051282,24657,medium,1341922,30743,136,100,497,private_fragmented,3,1.5774048733874224e-12,45.0,75.0,1.7586206896551724,16.5,2.6442269712428717e-05,542.6383007671155,high,0,-29.10653511684803,0.0702543159370844,135122,573,30,161,0,268,0.2024906671640634,0.124535206372355,0.1480831433803381,True,601,337600,7.0548731196155865,0,v8-pilots_v2-humanitarian-large-high-medium-high-small_world-private_fragmented-880204-generalized_information-089fa0c17476-fp16-frozen_local_rule,generalized_information,157855.63966749224,120,0,724080,120680,0,1206800,362040,pilots_v2,738,0,2026-08-17T03:41:08.468723+00:00,35ce1e27984a1d500525c3e0e6ceae42370c3ab9b8e5effc8239c7da31536162,12.0,small_world,135122,573,30170,0.9990384615384617,1039,089fa0c17476,1040,"{'below_threshold': 1, 'generalized_information_on': 882, 'initial_reference': 156, 'maximum_silence': 1}",3995.176859668349,nan,nan,nan,nan,nan,nan,nan,nan,generalized_008,089fa0c17476,generalized_information,humanitarian:880204,1208520,1343639,30213,30786,0.0702521577098066,0.1480831433803381,0.0627094077710839,1.7586206896551724,157855.63966749224,136,-29.10653511684803,0.0014232284116109106,0.0012778730001138383,0.0014232284116109106,2.15822727779591e-06,0.0,1.0345025132793562e-05,0.0,0.0,0,0.0
266,frozen_local_rule,433,52,0.4192425297631124,humanitarian,23861,128,135,0,1088,128,0.0,2026-08-17T03:41:27.886701+00:00,large,52.0,True,high,81814.83024979611,223,20,20144,558320,184.6086346301116,145,145,1.0,0.064206052992682,160,3717,fp16,880204,pooled_current_private_evidence_pre_exchange,60539,98,0.6282051282051282,18027,medium,1016701,22612,135,100,497,private_fragmented,3,1.4637180356658064e-12,45.0,90.0,1.3448275862068966,20.29326923076923,2.5374551859931845e-05,559.2261472737973,high,0,-28.61760165217585,0.0704142686341395,135141,573,30,160,0,266,0.2024906671640634,0.124535206372355,0.1475928822332826,True,600,247440,6.118308188551009,0,v8-pilots_v2-humanitarian-large-high-medium-high-small_world-private_fragmented-880204-generalized_information-16bfadb86d55-fp16-frozen_local_rule,generalized_information,155527.4084200067,119,0,528936,88156,0,881560,264468,pilots_v2,736,0,2026-08-17T03:41:15.676312+00:00,35ce1e27984a1d500525c3e0e6ceae42370c3ab9b8e5effc8239c7da31536162,12.0,small_world,135141,573,22039,0.7221153846153846,751,16bfadb86d55,1040,"{'below_threshold': 289, 'generalized_information_on': 352, 'initial_reference': 156, 'maximum_silence': 243}",3932.68319377774,nan,nan,nan,nan,nan,nan,nan,nan,generalized_014,16bfadb86d55,generalized_information,humanitarian:880204,1208520,1343639,30213,30786,0.0702521577098066,0.1480831433803381,0.0627094077710839,1.7586206896551724,157855.63966749224,136,-29.10653511684803,0.27054579154668523,0.24332279726920703,0.27054579154668523,0.00016211092433290886,-0.0004902611470554985,0.0014966452215981058,-0.4137931034482758,-2328.231247485557,-1,-0.48893346467217924
266,frozen_local_rule,433,52,0.4191263217990267,humanitarian,23226,127,136,0,1054,127,0.0,2026-08-17T03:40:54.002804+00:00,large,52.0,True,high,81884.62155703235,222,20,19656,546280,185.0487857162157,145,145,1.0,0.0644368355937515,160,3570,fp16,880204,pooled_current_private_evidence_pre_exchange,59413,98,0.6282051282051282,17586,medium,994559,22063,136,100,497,private_fragmented,3,1.5205614545266144e-12,45.0,90.0,1.3448275862068966,20.408653846153847,2.5879712586331505e-05,540.5146933422584,high,0,-28.66251121965315,0.0706533819149966,134919,572,30,160,0,266,0.2024906671640634,0.124535206372355,0.1477015101618513,True,600,239960,5.638489999408154,0,v8-pilots_v2-humanitarian-large-high-medium-high-small_world-private_fragmented-880204-js_drift-565d3b5e7ead-fp16-frozen_local_rule,js_drift,155536.22786963228,119,0,515784,85964,0,859640,257892,pilots_v2,735,0,2026-08-17T03:40:41.765434+00:00,35ce1e27984a1d500525c3e0e6ceae42370c3ab9b8e5effc8239c7da31536162,12.0,small_world,134919,572,21491,0.698076923076923,726,565d3b5e7ead,1040,"{'initial_reference': 156, 'js_drift': 617, 'maximum_silence': 267}",3943.971239538088,nan,nan,nan,nan,nan,nan,nan,nan,js_007,565d3b5e7ead,js_drift,humanitarian:880204,1208520,1343639,30213,30786,0.0702521577098066,0.1480831433803381,0.0627094077710839,1.7586206896551724,157855.63966749224,136,-29.10653511684803,0.28868367921093574,0.25980192596374474,0.28868367921093574,0.0004012242051899956,-0.0003816332184868043,0.0017274278226676043,-0.4137931034482758,-2319.411797859968,0,-0.444023897194878
266,frozen_local_rule,433,52,0.4192425297631124,humanitarian,28242,126,137,0,1274,126,0.0,2026-08-17T03:40:43.970192+00:00,large,52.0,True,high,82181.86450105923,223,20,23612,658120,188.1860379915917,144,145,0.993103448275862,0.0632675723627079,160,4630,fp16,880204,pooled_current_private_evidence_pre_exchange,68388,98,0.6282051282051282,21096,medium,1167824,26390,137,100,497,private_fragmented,3,1.3784529073745944e-12,70.0,90.0,2.1379310344827585,18.51923076923077,2.613658101073037e-05,542.1702140193132,high,0,-28.67909417675387,0.0703733060430605,135144,573,30,160,0,266,0.2024906671640634,0.1249882282413941,0.1480831433803381,True,600,286360,6.118308188551009,0,v8-pilots_v2-humanitarian-large-high-medium-high-small_world-private_fragmented-880204-js_drift-ffac7588a645-fp16-frozen_local_rule,js_drift,155642.34078817425,121,0,619608,103268,0,1032680,309804,pilots_v2,736,0,2026-08-17T03:40:31.047596+00:00,35ce1e27984a1d500525c3e0e6ceae42370c3ab9b8e5effc8239c7da31536162,12.0,small_world,135144,573,25817,0.8605769230769231,895,ffac7588a645,1040,"{'initial_reference': 156, 'js_drift': 776, 'maximum_silence': 108}",3941.006419098348,nan,nan,nan,nan,nan,nan,nan,nan,js_003,ffac7588a645,js_drift,humanitarian:880204,1208520,1343639,30213,30786,0.0702521577098066,0.1480831433803381,0.0627094077710839,1.7586206896551724,157855.63966749224,136,-29.10653511684803,0.1455002813358488,0.13084987857601638,0.1455002813358488,0.00012114833325389818,0.0,0.0005581645916239997,0.3793103448275861,-2213.2988793179975,1,-0.4274409400941579
266,frozen_local_rule,433,52,0.4192515742418718,humanitarian,24101,127,135,0,1084,127,0.0,2026-08-17T03:39:20.411370+00:00,large,52.0,True,high,81928.96970514885,223,20,20172,562840,186.23035562517308,145,145,1.0,0.0646607850004224,160,3929,fp16,880204,pooled_current_private_evidence_pre_exchange,60807,98,0.6282051282051282,18004,medium,1016675,22611,135,100,498,private_fragmented,3,1.3358203432289886e-12,60.0,90.0,1.3448275862068966,20.85576923076923,2.6951214933929683e-05,540.3249026915324,high,0,-28.66892479549922,0.0707157315446062,135155,573,30,161,0,266,0.2024906671640634,0.1242457636097166,0.1443776197926154,True,601,244040,5.99658719348956,0,v8-pilots_v2-humanitarian-large-high-medium-high-small_world-private_fragmented-880204-kpi_change-314c8c128df2-fp16-frozen_local_rule,kpi_change,155567.29922296078,120,0,528912,88152,0,881520,264456,pilots_v2,734,0,2026-08-17T03:39:07.816548+00:00,35ce1e27984a1d500525c3e0e6ceae42370c3ab9b8e5effc8239c7da31536162,12.0,small_world,135155,573,22038,0.7307692307692307,760,314c8c128df2,1040,"{'initial_reference': 156, 'kpi_change': 655, 'maximum_silence': 229}",3944.9560751001018,nan,nan,nan,nan,nan,nan,nan,nan,kpi_012,314c8c128df2,kpi_change,humanitarian:880204,1208520,1343639,30213,30786,0.0702521577098066,0.1480831433803381,0.0627094077710839,1.7586206896551724,157855.63966749224,136,-29.10653511684803,0.270578889881839,0.2433421477048523,0.270578889881839,0.00046357383479959935,-0.003705523587722692,0.0019513772293384968,-0.4137931034482758,-2288.3404445314663,-1,-0.43761032134881006
267,frozen_local_rule,434,52,0.4191356779658353,humanitarian,26853,127,136,0,1198,127,0.0,2026-08-17T03:39:07.543549+00:00,large,52.0,True,high,82137.42290971056,223,20,22370,623160,186.67202064725123,145,145,1.0,0.063835252320375,160,4483,fp16,880204,pooled_current_private_evidence_pre_exchange,65758,98,0.6282051282051282,19980,medium,1113560,25033,136,100,497,private_fragmented,3,1.3500311979441906e-12,15.0,90.0,0.8275862068965517,19.860576923076923,2.6656770301767285e-05,543.0795934223721,high,0,-28.67310168108631,0.0703920171423654,135160,573,30,161,0,267,0.2024906671640634,0.1242465360388382,0.1444404854451601,True,602,271640,5.515255068372632,0,v8-pilots_v2-humanitarian-large-high-medium-high-small_world-private_fragmented-880204-kpi_change-d83b95b9a33f-fp16-frozen_local_rule,kpi_change,155607.07317896758,120,0,587040,97840,0,978400,293520,pilots_v2,735,0,2026-08-17T03:38:54.902210+00:00,35ce1e27984a1d500525c3e0e6ceae42370c3ab9b8e5effc8239c7da31536162,12.0,small_world,135160,573,24460,0.8134615384615385,846,d83b95b9a33f,1040,"{'initial_reference': 156, 'kpi_change': 732, 'maximum_silence': 152}",3940.320873227456,nan,nan,nan,nan,nan,nan,nan,nan,kpi_006,d83b95b9a33f,kpi_change,humanitarian:880204,1208520,1343639,30213,30786,0.0702521577098066,0.1480831433803381,0.0627094077710839,1.7586206896551724,157855.63966749224,136,-29.10653511684803,0.1904147221394764,0.17123572626278338,0.1904147221394764,0.0001398594325588004,-0.003642657935177984,0.0011258445492910996,-0.9310344827586207,-2248.566488524666,0,-0.43343343576171733
268,frozen_local_rule,434,52,0.4191950828202248,humanitarian,32975,127,136,0,1478,127,0.0,2026-08-17T03:39:49.232147+00:00,large,52.0,True,high,83287.81642011875,223,20,27655,768120,184.8354728470537,145,145,1.0,0.0627094077710839,160,5320,fp16,880204,pooled_current_private_evidence_pre_exchange,77166,98,0.6282051282051282,24693,medium,1343639,30786,136,100,497,private_fragmented,3,1.5774048733874224e-12,45.0,75.0,1.7586206896551724,16.5,2.6446931797585685e-05,542.6383007671155,high,0,-29.10653511684803,0.0702521577098066,135119,573,30,161,0,268,0.2024906671640634,0.124535206372355,0.1480831433803381,True,601,338080,7.0548731196155865,0,v8-pilots_v2-humanitarian-large-high-medium-high-small_world-private_fragmented-880204-l1_belief_drift-a4111e560261-fp16-frozen_local_rule,l1_belief_drift,157855.63966749224,120,0,725112,120852,0,1208520,362556,pilots_v2,738,0,2026-08-17T03:39:35.396162+00:00,35ce1e27984a1d500525c3e0e6ceae42370c3ab9b8e5effc8239c7da31536162,12.0,small_world,135119,573,30213,1.0,1040,a4111e560261,1040,"{'initial_reference': 156, 'l1_belief_drift': 884}",3995.176859668349,nan,nan,nan,nan,nan,nan,nan,nan,l1_012,a4111e560261,l1_belief_drift,humanitarian:880204,1208520,1343639,30213,30786,0.0702521577098066,0.1480831433803381,0.0627094077710839,1.7586206896551724,157855.63966749224,136,-29.10653511684803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
