stage,application,scheduler,episodes,independent_panels,attempted_sketch_messages,transmitted_sketch_messages,delivered_sketch_messages,dropped_sketch_messages,forwarded_sketch_messages,sketch_on_wire_bytes,operational_messages,operational_bytes,fully_counted_messages,fully_counted_bytes,mean_trigger_activation_rate,mean_trigger_compute_seconds,mean_trigger_compute_microseconds_per_evaluation,mean_primary_distributed_state_error
pilots,humanitarian,age_of_information,8,4,56413,53205,48041,8372,42963,2128200,2915,686562,56120,2814762,0.46298076923076925,not_recorded,not_recorded,0.05746029012835405
pilots,humanitarian,always_on,6,4,61371,56609,51313,10058,45661,2286512,1543,363519,58152,2650031,1.0,not_recorded,not_recorded,0.04832831052957363
pilots,humanitarian,generalized_information,8,4,83550,77376,69839,13711,62393,3095040,2913,685949,80289,3780989,0.7253033424908425,not_recorded,not_recorded,0.05168076900049126
pilots,humanitarian,js_drift,8,4,67260,62619,56610,10650,50590,2504760,2915,686421,65534,3191181,0.5842490842490842,not_recorded,not_recorded,0.05234529311180231
pilots,humanitarian,kpi_change,8,4,81393,75044,67744,13649,60385,3001760,2915,686403,77959,3688163,0.7343406593406593,not_recorded,not_recorded,0.052777645295179414
pilots,humanitarian,l1_belief_drift,8,4,103505,95170,85968,17537,76567,3806800,2918,687156,98088,4493956,0.9717777014652015,not_recorded,not_recorded,0.04990097026354812
pilots,humanitarian,matched_random,12,4,95878,89703,80927,14951,72399,3588120,4375,1030353,94078,4618473,0.5354014041514041,not_recorded,not_recorded,0.05610247781397329
pilots,humanitarian,none,4,4,0,0,0,0,0,0,1457,343116,1457,343116,0.0,not_recorded,not_recorded,0.045202465949763196
pilots,humanitarian,periodic,12,4,78400,74726,67458,10942,60440,2989040,4373,1029913,79099,4018953,0.4253205128205129,not_recorded,not_recorded,0.06087910402835845
pilots,humanitarian,predictive_uncertainty_change,8,4,80352,74431,67262,13090,60034,2977240,2915,686451,77346,3663691,0.7329727564102564,not_recorded,not_recorded,0.05156806612248571
pilots,humanitarian,tsallis_spectrum_change,8,4,76307,70898,64011,12296,57252,2835920,2915,686415,73813,3522335,0.6888621794871795,not_recorded,not_recorded,0.051836168753867845
pilots,humanitarian,v7_shannon_change,8,4,78963,73107,65948,13015,58985,2924280,2916,686697,76023,3610977,0.7117731227106227,not_recorded,not_recorded,0.05162989134621458
pilots,utility_restoration,age_of_information,8,4,58026,55166,50170,7856,44876,2206640,1895,444376,57061,2651016,0.4635416666666667,not_recorded,not_recorded,0.04967936855729199
