run_id,application,scenario_name,seed,n_agents,method,rl_training_seed,option,option_name,option_count,decision_count,option_proportion
holdout_locked-commercial-learned_no_entropy-n10-s8201-nominal-r7301,commercial,nominal,8201,10,learned_no_entropy,7301,0,continue,4,116,0.034482758620689655
holdout_locked-commercial-learned_no_entropy-n10-s8201-nominal-r7301,commercial,nominal,8201,10,learned_no_entropy,7301,1,request_info,3,116,0.02586206896551724
holdout_locked-commercial-learned_no_entropy-n10-s8201-nominal-r7301,commercial,nominal,8201,10,learned_no_entropy,7301,2,disclose_summary,0,116,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8201-nominal-r7301,commercial,nominal,8201,10,learned_no_entropy,7301,3,negotiate,21,116,0.1810344827586207
holdout_locked-commercial-learned_no_entropy-n10-s8201-nominal-r7301,commercial,nominal,8201,10,learned_no_entropy,7301,4,respond_offer,45,116,0.3879310344827586
holdout_locked-commercial-learned_no_entropy-n10-s8201-nominal-r7301,commercial,nominal,8201,10,learned_no_entropy,7301,5,propose_coalition,10,116,0.08620689655172414
holdout_locked-commercial-learned_no_entropy-n10-s8201-nominal-r7301,commercial,nominal,8201,10,learned_no_entropy,7301,6,request_reallocation,29,116,0.25
holdout_locked-commercial-learned_no_entropy-n10-s8201-nominal-r7301,commercial,nominal,8201,10,learned_no_entropy,7301,7,emergency,4,116,0.034482758620689655
holdout_locked-commercial-learned_no_entropy-n10-s8201-nominal-r7301,commercial,nominal,8201,10,learned_no_entropy,7301,8,silent,0,116,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8202-nominal-r7302,commercial,nominal,8202,10,learned_no_entropy,7302,0,continue,3,126,0.023809523809523808
holdout_locked-commercial-learned_no_entropy-n10-s8202-nominal-r7302,commercial,nominal,8202,10,learned_no_entropy,7302,1,request_info,2,126,0.015873015873015872
holdout_locked-commercial-learned_no_entropy-n10-s8202-nominal-r7302,commercial,nominal,8202,10,learned_no_entropy,7302,2,disclose_summary,0,126,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8202-nominal-r7302,commercial,nominal,8202,10,learned_no_entropy,7302,3,negotiate,31,126,0.24603174603174602
holdout_locked-commercial-learned_no_entropy-n10-s8202-nominal-r7302,commercial,nominal,8202,10,learned_no_entropy,7302,4,respond_offer,23,126,0.18253968253968253
holdout_locked-commercial-learned_no_entropy-n10-s8202-nominal-r7302,commercial,nominal,8202,10,learned_no_entropy,7302,5,propose_coalition,22,126,0.1746031746031746
holdout_locked-commercial-learned_no_entropy-n10-s8202-nominal-r7302,commercial,nominal,8202,10,learned_no_entropy,7302,6,request_reallocation,39,126,0.30952380952380953
holdout_locked-commercial-learned_no_entropy-n10-s8202-nominal-r7302,commercial,nominal,8202,10,learned_no_entropy,7302,7,emergency,5,126,0.03968253968253968
holdout_locked-commercial-learned_no_entropy-n10-s8202-nominal-r7302,commercial,nominal,8202,10,learned_no_entropy,7302,8,silent,1,126,0.007936507936507936
holdout_locked-commercial-learned_no_entropy-n10-s8203-nominal-r7303,commercial,nominal,8203,10,learned_no_entropy,7303,0,continue,3,129,0.023255813953488372
holdout_locked-commercial-learned_no_entropy-n10-s8203-nominal-r7303,commercial,nominal,8203,10,learned_no_entropy,7303,1,request_info,1,129,0.007751937984496124
holdout_locked-commercial-learned_no_entropy-n10-s8203-nominal-r7303,commercial,nominal,8203,10,learned_no_entropy,7303,2,disclose_summary,0,129,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8203-nominal-r7303,commercial,nominal,8203,10,learned_no_entropy,7303,3,negotiate,20,129,0.15503875968992248
holdout_locked-commercial-learned_no_entropy-n10-s8203-nominal-r7303,commercial,nominal,8203,10,learned_no_entropy,7303,4,respond_offer,50,129,0.3875968992248062
holdout_locked-commercial-learned_no_entropy-n10-s8203-nominal-r7303,commercial,nominal,8203,10,learned_no_entropy,7303,5,propose_coalition,15,129,0.11627906976744186
holdout_locked-commercial-learned_no_entropy-n10-s8203-nominal-r7303,commercial,nominal,8203,10,learned_no_entropy,7303,6,request_reallocation,32,129,0.24806201550387597
holdout_locked-commercial-learned_no_entropy-n10-s8203-nominal-r7303,commercial,nominal,8203,10,learned_no_entropy,7303,7,emergency,8,129,0.06201550387596899
holdout_locked-commercial-learned_no_entropy-n10-s8203-nominal-r7303,commercial,nominal,8203,10,learned_no_entropy,7303,8,silent,0,129,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8204-nominal-r7304,commercial,nominal,8204,10,learned_no_entropy,7304,0,continue,2,128,0.015625
holdout_locked-commercial-learned_no_entropy-n10-s8204-nominal-r7304,commercial,nominal,8204,10,learned_no_entropy,7304,1,request_info,2,128,0.015625
holdout_locked-commercial-learned_no_entropy-n10-s8204-nominal-r7304,commercial,nominal,8204,10,learned_no_entropy,7304,2,disclose_summary,0,128,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8204-nominal-r7304,commercial,nominal,8204,10,learned_no_entropy,7304,3,negotiate,25,128,0.1953125
holdout_locked-commercial-learned_no_entropy-n10-s8204-nominal-r7304,commercial,nominal,8204,10,learned_no_entropy,7304,4,respond_offer,29,128,0.2265625
holdout_locked-commercial-learned_no_entropy-n10-s8204-nominal-r7304,commercial,nominal,8204,10,learned_no_entropy,7304,5,propose_coalition,22,128,0.171875
holdout_locked-commercial-learned_no_entropy-n10-s8204-nominal-r7304,commercial,nominal,8204,10,learned_no_entropy,7304,6,request_reallocation,39,128,0.3046875
holdout_locked-commercial-learned_no_entropy-n10-s8204-nominal-r7304,commercial,nominal,8204,10,learned_no_entropy,7304,7,emergency,9,128,0.0703125
holdout_locked-commercial-learned_no_entropy-n10-s8204-nominal-r7304,commercial,nominal,8204,10,learned_no_entropy,7304,8,silent,0,128,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8205-nominal-r7305,commercial,nominal,8205,10,learned_no_entropy,7305,0,continue,2,135,0.014814814814814815
holdout_locked-commercial-learned_no_entropy-n10-s8205-nominal-r7305,commercial,nominal,8205,10,learned_no_entropy,7305,1,request_info,2,135,0.014814814814814815
holdout_locked-commercial-learned_no_entropy-n10-s8205-nominal-r7305,commercial,nominal,8205,10,learned_no_entropy,7305,2,disclose_summary,0,135,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8205-nominal-r7305,commercial,nominal,8205,10,learned_no_entropy,7305,3,negotiate,22,135,0.16296296296296298
holdout_locked-commercial-learned_no_entropy-n10-s8205-nominal-r7305,commercial,nominal,8205,10,learned_no_entropy,7305,4,respond_offer,44,135,0.32592592592592595
holdout_locked-commercial-learned_no_entropy-n10-s8205-nominal-r7305,commercial,nominal,8205,10,learned_no_entropy,7305,5,propose_coalition,19,135,0.14074074074074075
holdout_locked-commercial-learned_no_entropy-n10-s8205-nominal-r7305,commercial,nominal,8205,10,learned_no_entropy,7305,6,request_reallocation,35,135,0.25925925925925924
holdout_locked-commercial-learned_no_entropy-n10-s8205-nominal-r7305,commercial,nominal,8205,10,learned_no_entropy,7305,7,emergency,8,135,0.05925925925925926
holdout_locked-commercial-learned_no_entropy-n10-s8205-nominal-r7305,commercial,nominal,8205,10,learned_no_entropy,7305,8,silent,3,135,0.022222222222222223
holdout_locked-commercial-learned_no_entropy-n10-s8206-nominal-r7301,commercial,nominal,8206,10,learned_no_entropy,7301,0,continue,2,119,0.01680672268907563
holdout_locked-commercial-learned_no_entropy-n10-s8206-nominal-r7301,commercial,nominal,8206,10,learned_no_entropy,7301,1,request_info,3,119,0.025210084033613446
holdout_locked-commercial-learned_no_entropy-n10-s8206-nominal-r7301,commercial,nominal,8206,10,learned_no_entropy,7301,2,disclose_summary,0,119,0.0
holdout_locked-commercial-learned_no_entropy-n10-s8206-nominal-r7301,commercial,nominal,8206,10,learned_no_entropy,7301,3,negotiate,30,119,0.25210084033613445
holdout_locked-commercial-learned_no_entropy-n10-s8206-nominal-r7301,commercial,nominal,8206,10,learned_no_entropy,7301,4,respond_offer,19,119,0.15966386554621848
