application,scenario_name,seed,n_agents,option,option_name,option_proportion_difference_doet_minus_nonentropy,doet_rl_option_proportion,learned_no_entropy_option_proportion,doet_rl_decision_count,learned_no_entropy_decision_count,doet_rl_training_seed,learned_no_entropy_training_seed,panel_option_total_variation_distance
commercial,nominal,8201,10,0,continue,0.39104915627292736,0.425531914893617,0.034482758620689655,47,116,7301,7301,0.5948275862068966
commercial,nominal,8201,10,1,request_info,-0.02586206896551724,0.0,0.02586206896551724,47,116,7301,7301,0.5948275862068966
commercial,nominal,8201,10,2,disclose_summary,0.0,0.0,0.0,47,116,7301,7301,0.5948275862068966
commercial,nominal,8201,10,3,negotiate,-0.1810344827586207,0.0,0.1810344827586207,47,116,7301,7301,0.5948275862068966
commercial,nominal,8201,10,4,respond_offer,-0.3879310344827586,0.0,0.3879310344827586,47,116,7301,7301,0.5948275862068966
commercial,nominal,8201,10,5,propose_coalition,0.10528246515040351,0.19148936170212766,0.08620689655172414,47,116,7301,7301,0.5948275862068966
commercial,nominal,8201,10,6,request_reallocation,0.0478723404255319,0.2978723404255319,0.25,47,116,7301,7301,0.5948275862068966
commercial,nominal,8201,10,7,emergency,0.05062362435803375,0.0851063829787234,0.034482758620689655,47,116,7301,7301,0.5948275862068966
commercial,nominal,8201,10,8,silent,0.0,0.0,0.0,47,116,7301,7301,0.5948275862068966
commercial,nominal,8202,10,0,continue,0.3992673992673993,0.4230769230769231,0.023809523809523808,52,126,7302,7302,0.45390720390720385
commercial,nominal,8202,10,1,request_info,-0.015873015873015872,0.0,0.015873015873015872,52,126,7302,7302,0.45390720390720385
commercial,nominal,8202,10,2,disclose_summary,0.0,0.0,0.0,52,126,7302,7302,0.45390720390720385
commercial,nominal,8202,10,3,negotiate,-0.24603174603174602,0.0,0.24603174603174602,52,126,7302,7302,0.45390720390720385
commercial,nominal,8202,10,4,respond_offer,-0.18253968253968253,0.0,0.18253968253968253,52,126,7302,7302,0.45390720390720385
commercial,nominal,8202,10,5,propose_coalition,-0.0015262515262515208,0.17307692307692307,0.1746031746031746,52,126,7302,7302,0.45390720390720385
commercial,nominal,8202,10,6,request_reallocation,0.03663003663003661,0.34615384615384615,0.30952380952380953,52,126,7302,7302,0.45390720390720385
commercial,nominal,8202,10,7,emergency,0.018009768009768015,0.057692307692307696,0.03968253968253968,52,126,7302,7302,0.45390720390720385
commercial,nominal,8202,10,8,silent,-0.007936507936507936,0.0,0.007936507936507936,52,126,7302,7302,0.45390720390720385
commercial,nominal,8203,10,0,continue,0.4529346622369878,0.47619047619047616,0.023255813953488372,42,129,7303,7303,0.5603543743078627
commercial,nominal,8203,10,1,request_info,-0.007751937984496124,0.0,0.007751937984496124,42,129,7303,7303,0.5603543743078627
commercial,nominal,8203,10,2,disclose_summary,0.0,0.0,0.0,42,129,7303,7303,0.5603543743078627
commercial,nominal,8203,10,3,negotiate,-0.15503875968992248,0.0,0.15503875968992248,42,129,7303,7303,0.5603543743078627
commercial,nominal,8203,10,4,respond_offer,-0.3875968992248062,0.0,0.3875968992248062,42,129,7303,7303,0.5603543743078627
commercial,nominal,8203,10,5,propose_coalition,0.0503875968992248,0.16666666666666666,0.11627906976744186,42,129,7303,7303,0.5603543743078627
commercial,nominal,8203,10,6,request_reallocation,-0.009966777408637884,0.23809523809523808,0.24806201550387597,42,129,7303,7303,0.5603543743078627
commercial,nominal,8203,10,7,emergency,0.05703211517165005,0.11904761904761904,0.06201550387596899,42,129,7303,7303,0.5603543743078627
commercial,nominal,8203,10,8,silent,0.0,0.0,0.0,42,129,7303,7303,0.5603543743078627
commercial,nominal,8204,10,0,continue,0.41294642857142855,0.42857142857142855,0.015625,49,128,7304,7304,0.4551977040816327
commercial,nominal,8204,10,1,request_info,-0.015625,0.0,0.015625,49,128,7304,7304,0.4551977040816327
commercial,nominal,8204,10,2,disclose_summary,0.0,0.0,0.0,49,128,7304,7304,0.4551977040816327
commercial,nominal,8204,10,3,negotiate,-0.1953125,0.0,0.1953125,49,128,7304,7304,0.4551977040816327
commercial,nominal,8204,10,4,respond_offer,-0.2265625,0.0,0.2265625,49,128,7304,7304,0.4551977040816327
commercial,nominal,8204,10,5,propose_coalition,-0.008609693877551033,0.16326530612244897,0.171875,49,128,7304,7304,0.4551977040816327
commercial,nominal,8204,10,6,request_reallocation,0.04225127551020408,0.3469387755102041,0.3046875,49,128,7304,7304,0.4551977040816327
commercial,nominal,8204,10,7,emergency,-0.009088010204081634,0.061224489795918366,0.0703125,49,128,7304,7304,0.4551977040816327
commercial,nominal,8204,10,8,silent,0.0,0.0,0.0,49,128,7304,7304,0.4551977040816327
commercial,nominal,8205,10,0,continue,0.5851851851851851,0.6,0.014814814814814815,35,135,7305,7305,0.7037037037037036
commercial,nominal,8205,10,1,request_info,-0.014814814814814815,0.0,0.014814814814814815,35,135,7305,7305,0.7037037037037036
commercial,nominal,8205,10,2,disclose_summary,0.0,0.0,0.0,35,135,7305,7305,0.7037037037037036
commercial,nominal,8205,10,3,negotiate,-0.16296296296296298,0.0,0.16296296296296298,35,135,7305,7305,0.7037037037037036
commercial,nominal,8205,10,4,respond_offer,-0.32592592592592595,0.0,0.32592592592592595,35,135,7305,7305,0.7037037037037036
commercial,nominal,8205,10,5,propose_coalition,-0.026455026455026467,0.11428571428571428,0.14074074074074075,35,135,7305,7305,0.7037037037037036
commercial,nominal,8205,10,6,request_reallocation,-0.17354497354497353,0.08571428571428572,0.25925925925925924,35,135,7305,7305,0.7037037037037036
commercial,nominal,8205,10,7,emergency,0.026455026455026454,0.08571428571428572,0.05925925925925926,35,135,7305,7305,0.7037037037037036
commercial,nominal,8205,10,8,silent,0.09206349206349206,0.11428571428571428,0.022222222222222223,35,135,7305,7305,0.7037037037037036
commercial,nominal,8206,10,0,continue,0.49601379013143715,0.5128205128205128,0.01680672268907563,39,119,7301,7301,0.6011635423400128
commercial,nominal,8206,10,1,request_info,-0.025210084033613446,0.0,0.025210084033613446,39,119,7301,7301,0.6011635423400128
commercial,nominal,8206,10,2,disclose_summary,0.0,0.0,0.0,39,119,7301,7301,0.6011635423400128
commercial,nominal,8206,10,3,negotiate,-0.25210084033613445,0.0,0.25210084033613445,39,119,7301,7301,0.6011635423400128
commercial,nominal,8206,10,4,respond_offer,-0.15966386554621848,0.0,0.15966386554621848,39,119,7301,7301,0.6011635423400128
commercial,nominal,8206,10,5,propose_coalition,0.04460245636716226,0.15384615384615385,0.1092436974789916,39,119,7301,7301,0.6011635423400128
commercial,nominal,8206,10,6,request_reallocation,-0.1473820297349709,0.23076923076923078,0.37815126050420167,39,119,7301,7301,0.6011635423400128
commercial,nominal,8206,10,7,emergency,0.06054729584141348,0.10256410256410256,0.04201680672268908,39,119,7301,7301,0.6011635423400128
commercial,nominal,8206,10,8,silent,-0.01680672268907563,0.0,0.01680672268907563,39,119,7301,7301,0.6011635423400128
commercial,nominal,8207,10,0,continue,0.4696969696969697,0.5,0.030303030303030304,44,132,7302,7302,0.5757575757575758
commercial,nominal,8207,10,1,request_info,-0.015151515151515152,0.0,0.015151515151515152,44,132,7302,7302,0.5757575757575758
commercial,nominal,8207,10,2,disclose_summary,0.0,0.0,0.0,44,132,7302,7302,0.5757575757575758
commercial,nominal,8207,10,3,negotiate,-0.20454545454545456,0.0,0.20454545454545456,44,132,7302,7302,0.5757575757575758
commercial,nominal,8207,10,4,respond_offer,-0.3409090909090909,0.0,0.3409090909090909,44,132,7302,7302,0.5757575757575758
commercial,nominal,8207,10,5,propose_coalition,0.05303030303030304,0.18181818181818182,0.12878787878787878,44,132,7302,7302,0.5757575757575758
commercial,nominal,8207,10,6,request_reallocation,-0.007575757575757597,0.22727272727272727,0.23484848484848486,44,132,7302,7302,0.5757575757575758
commercial,nominal,8207,10,7,emergency,0.05303030303030303,0.09090909090909091,0.03787878787878788,44,132,7302,7302,0.5757575757575758
commercial,nominal,8207,10,8,silent,-0.007575757575757576,0.0,0.007575757575757576,44,132,7302,7302,0.5757575757575758
commercial,nominal,8208,10,0,continue,0.3712121212121212,0.4166666666666667,0.045454545454545456,48,110,7303,7303,0.5454545454545455
commercial,nominal,8208,10,1,request_info,-0.01818181818181818,0.0,0.01818181818181818,48,110,7303,7303,0.5454545454545455
commercial,nominal,8208,10,2,disclose_summary,0.0,0.0,0.0,48,110,7303,7303,0.5454545454545455
commercial,nominal,8208,10,3,negotiate,-0.2,0.0,0.2,48,110,7303,7303,0.5454545454545455
commercial,nominal,8208,10,4,respond_offer,-0.2909090909090909,0.0,0.2909090909090909,48,110,7303,7303,0.5454545454545455
commercial,nominal,8208,10,5,propose_coalition,0.06553030303030302,0.22916666666666666,0.16363636363636364,48,110,7303,7303,0.5454545454545455
commercial,nominal,8208,10,6,request_reallocation,0.04469696969696971,0.20833333333333334,0.16363636363636364,48,110,7303,7303,0.5454545454545455
commercial,nominal,8208,10,7,emergency,0.06401515151515152,0.14583333333333334,0.08181818181818182,48,110,7303,7303,0.5454545454545455
commercial,nominal,8208,10,8,silent,-0.03636363636363636,0.0,0.03636363636363636,48,110,7303,7303,0.5454545454545455
commercial,isolated,8101,10,0,continue,0.3646153846153846,0.38,0.015384615384615385,50,130,7304,7304,0.4861538461538462
commercial,isolated,8101,10,1,request_info,-0.015384615384615385,0.0,0.015384615384615385,50,130,7304,7304,0.4861538461538462
commercial,isolated,8101,10,2,disclose_summary,0.0,0.0,0.0,50,130,7304,7304,0.4861538461538462
commercial,isolated,8101,10,3,negotiate,-0.2,0.0,0.2,50,130,7304,7304,0.4861538461538462
commercial,isolated,8101,10,4,respond_offer,-0.14615384615384616,0.0,0.14615384615384616,50,130,7304,7304,0.4861538461538462
commercial,isolated,8101,10,5,propose_coalition,0.035384615384615375,0.22,0.18461538461538463,50,130,7304,7304,0.4861538461538462
commercial,isolated,8101,10,6,request_reallocation,-0.12461538461538463,0.26,0.38461538461538464,50,130,7304,7304,0.4861538461538462
commercial,isolated,8101,10,7,emergency,0.08615384615384616,0.14,0.05384615384615385,50,130,7304,7304,0.4861538461538462
commercial,isolated,8101,10,8,silent,0.0,0.0,0.0,50,130,7304,7304,0.4861538461538462
commercial,isolated,8102,10,0,continue,0.44494047619047616,0.47619047619047616,0.03125,42,128,7305,7305,0.628720238095238
commercial,isolated,8102,10,1,request_info,-0.015625,0.0,0.015625,42,128,7305,7305,0.628720238095238
commercial,isolated,8102,10,2,disclose_summary,0.0,0.0,0.0,42,128,7305,7305,0.628720238095238
commercial,isolated,8102,10,3,negotiate,-0.1796875,0.0,0.1796875,42,128,7305,7305,0.628720238095238
commercial,isolated,8102,10,4,respond_offer,-0.1875,0.0,0.1875,42,128,7305,7305,0.628720238095238
commercial,isolated,8102,10,5,propose_coalition,-0.13058035714285715,0.14285714285714285,0.2734375,42,128,7305,7305,0.628720238095238
commercial,isolated,8102,10,6,request_reallocation,-0.11532738095238096,0.11904761904761904,0.234375,42,128,7305,7305,0.628720238095238
commercial,isolated,8102,10,7,emergency,0.05654761904761904,0.11904761904761904,0.0625,42,128,7305,7305,0.628720238095238
commercial,isolated,8102,10,8,silent,0.12723214285714285,0.14285714285714285,0.015625,42,128,7305,7305,0.628720238095238
commercial,isolated,8103,10,0,continue,0.34963658388855234,0.36538461538461536,0.015748031496062992,52,127,7301,7301,0.5295275590551182
commercial,isolated,8103,10,1,request_info,-0.015748031496062992,0.0,0.015748031496062992,52,127,7301,7301,0.5295275590551182
commercial,isolated,8103,10,2,disclose_summary,0.0,0.0,0.0,52,127,7301,7301,0.5295275590551182
commercial,isolated,8103,10,3,negotiate,-0.25984251968503935,0.0,0.25984251968503935,52,127,7301,7301,0.5295275590551182
commercial,isolated,8103,10,4,respond_offer,-0.07874015748031496,0.0,0.07874015748031496,52,127,7301,7301,0.5295275590551182
commercial,isolated,8103,10,5,propose_coalition,0.06541490006056935,0.23076923076923078,0.16535433070866143,52,127,7301,7301,0.5295275590551182
commercial,isolated,8103,10,6,request_reallocation,-0.1751968503937008,0.25,0.4251968503937008,52,127,7301,7301,0.5295275590551182
commercial,isolated,8103,10,7,emergency,0.07601453664445791,0.11538461538461539,0.03937007874015748,52,127,7301,7301,0.5295275590551182
commercial,isolated,8103,10,8,silent,0.038461538461538464,0.038461538461538464,0.0,52,127,7301,7301,0.5295275590551182
commercial,isolated,8104,10,0,continue,0.4433744221879815,0.4772727272727273,0.03389830508474576,44,118,7302,7302,0.49922958397534667
commercial,isolated,8104,10,1,request_info,-0.01694915254237288,0.0,0.01694915254237288,44,118,7302,7302,0.49922958397534667
commercial,isolated,8104,10,2,disclose_summary,0.0,0.0,0.0,44,118,7302,7302,0.49922958397534667
commercial,isolated,8104,10,3,negotiate,-0.17796610169491525,0.0,0.17796610169491525,44,118,7302,7302,0.49922958397534667
commercial,isolated,8104,10,4,respond_offer,-0.2711864406779661,0.0,0.2711864406779661,44,118,7302,7302,0.49922958397534667
commercial,isolated,8104,10,5,propose_coalition,-0.01617873651771959,0.13636363636363635,0.15254237288135594,44,118,7302,7302,0.49922958397534667
commercial,isolated,8104,10,6,request_reallocation,0.01579352850539295,0.29545454545454547,0.2796610169491525,44,118,7302,7302,0.49922958397534667
commercial,isolated,8104,10,7,emergency,0.040061633281972264,0.09090909090909091,0.05084745762711865,44,118,7302,7302,0.49922958397534667
commercial,isolated,8104,10,8,silent,-0.01694915254237288,0.0,0.01694915254237288,44,118,7302,7302,0.49922958397534667
