checkpoint,checkpoint_sha256,rl_training_seed,selection_rule,status,trigger_normalizer_sha256,variant
checkpoints/coordination_no_entropy_seed7301.pt,d59232dab18f8a7ebfe6226ff2dc9d2da59773489556044229aed52d4922e7f1,7301,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,complete,,no_entropy
checkpoints/coordination_no_entropy_seed7302.pt,c5820545298236be608ccd3bfadd18781a87b48d6bfc35fa66d87408d49f5934,7302,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,complete,,no_entropy
checkpoints/coordination_no_entropy_seed7303.pt,a547d8faec3aec348ce1e52006d727762c0d95bbd2b8b9ea98334b1594231c7d,7303,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,complete,,no_entropy
checkpoints/coordination_no_entropy_seed7304.pt,b6216222c7c3cffd9071ad06e6dc77a2ff1374491fd2987ada674e26d29b8425,7304,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,complete,,no_entropy
checkpoints/coordination_no_entropy_seed7305.pt,512bc5d1727ca4e45353d86743e923a86c6addbb01ccf7701810ff24e8a9b64c,7305,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,complete,,no_entropy
checkpoints/coordination_thermo_seed7301.pt,0d0a9e702c5787d9f25bc528cf6e64a1183932667325df09a5f56fc7a6e14427,7301,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,complete,,thermo
checkpoints/coordination_thermo_seed7302.pt,50601e9333aef37bbef7287a6e5cdca1fc1ef5a2bbc74cb1214728dd8e6f5294,7302,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,complete,,thermo
checkpoints/coordination_thermo_seed7303.pt,d0e9a0fef9173cfb25cb0bfa9b72f4bffe5c8504afd648173a29c6ffdc7d2bf4,7303,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,complete,,thermo
checkpoints/coordination_thermo_seed7304.pt,96e917080e0cdf8d04f7edd9881d9b44d1e8c0a48981b1046a9ac57c536ff29b,7304,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,complete,,thermo
checkpoints/coordination_thermo_seed7305.pt,e9e9fbbf368481b401472c0640eaf218c62265a5f6b89b7bbe13aa435927e826,7305,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,complete,,thermo
checkpoints/coordination_doet_rl_seed7301.pt,61f77f40d61b03cc3540efced44668ee9b9cc1baa9bcfedc911f190a33707018,7301,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,complete,d8b98337186dee1eab5de3e0b37fd87ca6cb3fc969760fc12d763bbd6312bf93,doet_rl
checkpoints/coordination_doet_rl_seed7302.pt,7426350442faed7316c8d433d157c3a9517e97af17f4d57d374d38cd6b752941,7302,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,complete,d8b98337186dee1eab5de3e0b37fd87ca6cb3fc969760fc12d763bbd6312bf93,doet_rl
checkpoints/coordination_doet_rl_seed7303.pt,942b4fed48c6fb1393f1e6e100b4cfb9c65f1f7be1a046c799bfdd3b7745d446,7303,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,complete,d8b98337186dee1eab5de3e0b37fd87ca6cb3fc969760fc12d763bbd6312bf93,doet_rl
checkpoints/coordination_doet_rl_seed7304.pt,b786ce65bf265a6af21e39b8529a43f2c15960fe6d6bb163e6d573bc9cb3222d,7304,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,complete,d8b98337186dee1eab5de3e0b37fd87ca6cb3fc969760fc12d763bbd6312bf93,doet_rl
checkpoints/coordination_doet_rl_seed7305.pt,4bfcafe6d22d44b6daad24d00530d414b14ce47d401f5f49ed0c4bc0990169c5,7305,final checkpoint after the identical fixed episode budget; no outcome-based seed or checkpoint selection,complete,d8b98337186dee1eab5de3e0b37fd87ca6cb3fc969760fc12d763bbd6312bf93,doet_rl
