application,episode,failed_actions,imitation_anchor_accuracy,imitation_anchor_loss,messages,ppo_actor,ppo_entropy,ppo_rows,ppo_total,ppo_value,primary_outcome,reward_sum,rl_training_seed,scenario,total_communication_messages,trigger_activations,variant
commercial,0,0,,,32,,,,,,10.00056739084051,-21.554950396520624,7301,reliable-nominal-p0.0-o0.0,32,0,no_entropy
humanitarian,1,6,,,41,,,,,,1368.0605671970004,-34.014788110564034,7301,reliable-moderate-p0.5-o0.5,41,0,no_entropy
commercial,2,0,,,33,,,,,,14.30462138865309,-36.377697348764606,7301,intermittent-correlated-p1.0-o0.8,33,0,no_entropy
humanitarian,3,2,,,58,,,,,,2424.673128076345,-38.22713188928447,7301,partition-compound-p1.0-o1.0,58,0,no_entropy
commercial,4,2,,,33,,,,,,6.900861515037201,-14.416756013947696,7301,reliable-nominal-p0.0-o0.0,33,0,no_entropy
humanitarian,5,2,,,62,,,,,,1386.0666984469397,-28.848688274093597,7301,reliable-moderate-p0.5-o0.5,62,0,no_entropy
commercial,6,5,,,27,,,,,,14.055304271652833,-35.35175977013619,7301,intermittent-correlated-p1.0-o0.8,27,0,no_entropy
humanitarian,7,2,,,47,,,,,,2167.354675695574,-45.96228750933308,7301,partition-compound-p1.0-o1.0,47,0,no_entropy
commercial,8,0,,,31,,,,,,12.93605626952764,-24.68488077264103,7301,reliable-nominal-p0.0-o0.0,31,0,no_entropy
humanitarian,9,2,0.79833984375,0.8504436388611794,37,-0.01192914143204689,1.2029478883743285,552,0.5425033113360405,1.1329238605499268,1252.2429724677522,-28.98139800905774,7301,reliable-moderate-p0.5-o0.5,37,0,no_entropy
commercial,10,2,,,28,,,,,,13.935469566813369,-34.3481954580936,7301,intermittent-correlated-p1.0-o0.8,28,0,no_entropy
humanitarian,11,2,,,74,,,,,,1923.8184707794828,-30.6926030186711,7301,partition-compound-p1.0-o1.0,74,0,no_entropy
commercial,12,4,,,22,,,,,,8.981614556425821,-25.483837956487633,7301,reliable-nominal-p0.0-o0.0,22,0,no_entropy
humanitarian,13,15,,,46,,,,,,1454.6652412081387,-35.10501338521524,7301,reliable-moderate-p0.5-o0.5,46,0,no_entropy
commercial,14,1,,,41,,,,,,13.100860353478433,-43.284885898920265,7301,intermittent-correlated-p1.0-o0.8,41,0,no_entropy
humanitarian,15,2,,,61,,,,,,1247.4391971239434,-36.49951070705693,7301,partition-compound-p1.0-o1.0,61,0,no_entropy
commercial,16,8,,,42,,,,,,11.892891802577735,-21.300638416761725,7301,reliable-nominal-p0.0-o0.0,42,0,no_entropy
humanitarian,17,1,,,41,,,,,,418.75464451881885,-20.695726702280428,7301,reliable-moderate-p0.5-o0.5,41,0,no_entropy
commercial,18,6,0.80712890625,0.8227339647710323,29,0.008577358275651932,1.136000807285309,521,0.4798776439204812,0.9653205931186676,11.69378995738008,-43.14485767975831,7301,intermittent-correlated-p1.0-o0.8,29,0,no_entropy
humanitarian,19,0,,,62,,,,,,2293.777288093762,-37.091672387227455,7301,partition-compound-p1.0-o1.0,62,0,no_entropy
commercial,20,8,,,22,,,,,,13.281683142430825,-28.163239111592773,7301,reliable-nominal-p0.0-o0.0,22,0,no_entropy
humanitarian,21,3,,,48,,,,,,1283.138934125493,-21.915417510784994,7301,reliable-moderate-p0.5-o0.5,48,0,no_entropy
commercial,22,0,,,35,,,,,,14.81397329384264,-30.28161339484366,7301,intermittent-correlated-p1.0-o0.8,35,0,no_entropy
humanitarian,23,2,,,42,,,,,,2473.0433913183615,-30.376555555687933,7301,partition-compound-p1.0-o1.0,42,0,no_entropy
