application,information_condition,excluded_split_family,feature_block,selected_c,training_rows,test_panels
commercial,private_fragmented,commercial_v6_split_0,kpi_confidence,0.1,4032,42
commercial,private_fragmented,commercial_v6_split_0,combined_generalized_entropic,0.1,4032,42
commercial,private_fragmented,commercial_v6_split_1,kpi_confidence,0.1,4032,42
commercial,private_fragmented,commercial_v6_split_1,combined_generalized_entropic,0.1,4032,42
commercial,private_fragmented,commercial_v6_split_2,kpi_confidence,0.1,4032,42
commercial,private_fragmented,commercial_v6_split_2,combined_generalized_entropic,0.1,4032,42
commercial,private_fragmented,commercial_v6_split_3,kpi_confidence,0.3,4032,42
commercial,private_fragmented,commercial_v6_split_3,combined_generalized_entropic,0.1,4032,42
commercial,private_fragmented,commercial_v6_split_4,kpi_confidence,0.1,4032,42
commercial,private_fragmented,commercial_v6_split_4,combined_generalized_entropic,0.1,4032,42
commercial,public_shared,commercial_v6_split_0,kpi_confidence,3.0,4032,42
commercial,public_shared,commercial_v6_split_0,combined_generalized_entropic,3.0,4032,42
commercial,public_shared,commercial_v6_split_1,kpi_confidence,3.0,4032,42
commercial,public_shared,commercial_v6_split_1,combined_generalized_entropic,3.0,4032,42
commercial,public_shared,commercial_v6_split_2,kpi_confidence,1.0,4032,42
commercial,public_shared,commercial_v6_split_2,combined_generalized_entropic,1.0,4032,42
commercial,public_shared,commercial_v6_split_3,kpi_confidence,3.0,4032,42
commercial,public_shared,commercial_v6_split_3,combined_generalized_entropic,3.0,4032,42
commercial,public_shared,commercial_v6_split_4,kpi_confidence,3.0,4032,42
commercial,public_shared,commercial_v6_split_4,combined_generalized_entropic,3.0,4032,42
humanitarian,private_fragmented,humanitarian_v6_split_0,kpi_confidence,0.3,4032,42
humanitarian,private_fragmented,humanitarian_v6_split_0,combined_generalized_entropic,0.3,4032,42
humanitarian,private_fragmented,humanitarian_v6_split_1,kpi_confidence,0.1,4032,42
humanitarian,private_fragmented,humanitarian_v6_split_1,combined_generalized_entropic,0.3,4032,42
humanitarian,private_fragmented,humanitarian_v6_split_2,kpi_confidence,0.3,4032,42
humanitarian,private_fragmented,humanitarian_v6_split_2,combined_generalized_entropic,0.3,4032,42
humanitarian,private_fragmented,humanitarian_v6_split_3,kpi_confidence,0.3,4032,42
humanitarian,private_fragmented,humanitarian_v6_split_3,combined_generalized_entropic,1.0,4032,42
humanitarian,private_fragmented,humanitarian_v6_split_4,kpi_confidence,1.0,4032,42
humanitarian,private_fragmented,humanitarian_v6_split_4,combined_generalized_entropic,1.0,4032,42
humanitarian,public_shared,humanitarian_v6_split_0,kpi_confidence,3.0,4032,42
humanitarian,public_shared,humanitarian_v6_split_0,combined_generalized_entropic,3.0,4032,42
humanitarian,public_shared,humanitarian_v6_split_1,kpi_confidence,3.0,4032,42
humanitarian,public_shared,humanitarian_v6_split_1,combined_generalized_entropic,3.0,4032,42
humanitarian,public_shared,humanitarian_v6_split_2,kpi_confidence,3.0,4032,42
humanitarian,public_shared,humanitarian_v6_split_2,combined_generalized_entropic,3.0,4032,42
humanitarian,public_shared,humanitarian_v6_split_3,kpi_confidence,3.0,4032,42
humanitarian,public_shared,humanitarian_v6_split_3,combined_generalized_entropic,3.0,4032,42
humanitarian,public_shared,humanitarian_v6_split_4,kpi_confidence,3.0,4032,42
humanitarian,public_shared,humanitarian_v6_split_4,combined_generalized_entropic,3.0,4032,42
utility_restoration,private_fragmented,utility_restoration_v6_split_0,kpi_confidence,0.1,4032,42
utility_restoration,private_fragmented,utility_restoration_v6_split_0,combined_generalized_entropic,0.1,4032,42
utility_restoration,private_fragmented,utility_restoration_v6_split_1,kpi_confidence,0.1,4032,42
utility_restoration,private_fragmented,utility_restoration_v6_split_1,combined_generalized_entropic,0.1,4032,42
utility_restoration,private_fragmented,utility_restoration_v6_split_2,kpi_confidence,0.1,4032,42
utility_restoration,private_fragmented,utility_restoration_v6_split_2,combined_generalized_entropic,0.3,4032,42
utility_restoration,private_fragmented,utility_restoration_v6_split_3,kpi_confidence,0.3,4032,42
utility_restoration,private_fragmented,utility_restoration_v6_split_3,combined_generalized_entropic,3.0,4032,42
utility_restoration,private_fragmented,utility_restoration_v6_split_4,kpi_confidence,0.1,4032,42
utility_restoration,private_fragmented,utility_restoration_v6_split_4,combined_generalized_entropic,0.1,4032,42
utility_restoration,public_shared,utility_restoration_v6_split_0,kpi_confidence,0.3,4032,42
utility_restoration,public_shared,utility_restoration_v6_split_0,combined_generalized_entropic,1.0,4032,42
utility_restoration,public_shared,utility_restoration_v6_split_1,kpi_confidence,0.3,4032,42
utility_restoration,public_shared,utility_restoration_v6_split_1,combined_generalized_entropic,0.3,4032,42
utility_restoration,public_shared,utility_restoration_v6_split_2,kpi_confidence,0.3,4032,42
utility_restoration,public_shared,utility_restoration_v6_split_2,combined_generalized_entropic,3.0,4032,42
utility_restoration,public_shared,utility_restoration_v6_split_3,kpi_confidence,0.3,4032,42
utility_restoration,public_shared,utility_restoration_v6_split_3,combined_generalized_entropic,0.3,4032,42
utility_restoration,public_shared,utility_restoration_v6_split_4,kpi_confidence,0.3,4032,42
utility_restoration,public_shared,utility_restoration_v6_split_4,combined_generalized_entropic,3.0,4032,42
