cluster_id,application,regime,information_condition,environment_seed,topology_family,scenario_family,split_family,coverage_target,eligible_decisions,selected_actions,action_coverage,harmful_actions,harmful_action_rate,beneficial_actions,neutral_actions,mean_causal_utility,total_causal_utility,entropy_measure
commercial|compound|private_fragmented|66101,commercial,compound,private_fragmented,66101,commercial_v6_topology_1,commercial_compound_family_1,commercial_v6_split_1,0.5,20,10,0.5,1,0.1,9,0,0.5548368669633347,5.548368669633347,shannon_local
commercial|compound|private_fragmented|66102,commercial,compound,private_fragmented,66102,commercial_v6_topology_2,commercial_compound_family_2,commercial_v6_split_2,0.5,20,10,0.5,0,0.0,10,0,0.4583911908464583,4.583911908464583,shannon_local
commercial|compound|private_fragmented|66103,commercial,compound,private_fragmented,66103,commercial_v6_topology_3,commercial_compound_family_3,commercial_v6_split_3,0.5,20,10,0.5,6,0.6,4,0,-0.004684940204443102,-0.04684940204443101,shannon_local
commercial|compound|private_fragmented|66104,commercial,compound,private_fragmented,66104,commercial_v6_topology_4,commercial_compound_family_4,commercial_v6_split_4,0.5,19,10,0.5263157894736842,1,0.1,9,0,0.6142116742581626,6.142116742581626,shannon_local
commercial|compound|private_fragmented|66105,commercial,compound,private_fragmented,66105,commercial_v6_topology_0,commercial_compound_family_0,commercial_v6_split_0,0.5,19,10,0.5263157894736842,0,0.0,10,0,0.5053360446281748,5.053360446281748,shannon_local
commercial|compound|private_fragmented|66106,commercial,compound,private_fragmented,66106,commercial_v6_topology_1,commercial_compound_family_1,commercial_v6_split_1,0.5,20,10,0.5,0,0.0,10,0,0.5247673497924217,5.247673497924217,shannon_local
commercial|compound|private_fragmented|66107,commercial,compound,private_fragmented,66107,commercial_v6_topology_2,commercial_compound_family_2,commercial_v6_split_2,0.5,20,10,0.5,6,0.6,4,0,0.06115626144183468,0.6115626144183468,shannon_local
commercial|compound|private_fragmented|66108,commercial,compound,private_fragmented,66108,commercial_v6_topology_3,commercial_compound_family_3,commercial_v6_split_3,0.5,19,10,0.5263157894736842,0,0.0,10,0,0.47730619452253825,4.773061945225383,shannon_local
commercial|compound|private_fragmented|66109,commercial,compound,private_fragmented,66109,commercial_v6_topology_4,commercial_compound_family_4,commercial_v6_split_4,0.5,20,10,0.5,1,0.1,9,0,0.3022899522073791,3.022899522073791,shannon_local
commercial|compound|private_fragmented|66110,commercial,compound,private_fragmented,66110,commercial_v6_topology_0,commercial_compound_family_0,commercial_v6_split_0,0.5,20,10,0.5,1,0.1,9,0,0.2714813435864912,2.7148134358649116,shannon_local
commercial|compound|private_fragmented|66111,commercial,compound,private_fragmented,66111,commercial_v6_topology_1,commercial_compound_family_1,commercial_v6_split_1,0.5,19,10,0.5263157894736842,1,0.1,9,0,0.4915569343832661,4.915569343832661,shannon_local
commercial|compound|private_fragmented|66112,commercial,compound,private_fragmented,66112,commercial_v6_topology_2,commercial_compound_family_2,commercial_v6_split_2,0.5,20,10,0.5,2,0.2,8,0,0.32261791215417523,3.2261791215417523,shannon_local
commercial|compound|private_fragmented|66113,commercial,compound,private_fragmented,66113,commercial_v6_topology_3,commercial_compound_family_3,commercial_v6_split_3,0.5,20,10,0.5,0,0.0,10,0,0.41486704862007356,4.148670486200736,shannon_local
commercial|compound|private_fragmented|66114,commercial,compound,private_fragmented,66114,commercial_v6_topology_4,commercial_compound_family_4,commercial_v6_split_4,0.5,20,10,0.5,1,0.1,9,0,0.5436637744161766,5.436637744161766,shannon_local
