feature_block,bin,predicted,observed,n
combined_generalized_entropic,"(-0.001, 0.1]",0.06254706980860839,0.02091633466135458,1004
combined_generalized_entropic,"(0.1, 0.2]",0.14776124434014737,0.12283894449499545,1099
combined_generalized_entropic,"(0.2, 0.3]",0.24801480574588677,0.29093369418132614,739
combined_generalized_entropic,"(0.3, 0.4]",0.3478949894634752,0.44,500
combined_generalized_entropic,"(0.4, 0.5]",0.44671830050802785,0.5598086124401914,418
combined_generalized_entropic,"(0.5, 0.6]",0.5481716488852229,0.5948905109489051,274
combined_generalized_entropic,"(0.6, 0.7]",0.6509223292939342,0.6693548387096774,248
combined_generalized_entropic,"(0.7, 0.8]",0.7574655988484054,0.8048780487804879,328
combined_generalized_entropic,"(0.8, 0.9]",0.8584375607795036,0.8819095477386935,796
combined_generalized_entropic,"(0.9, 1.0]",0.9506130220697311,0.924896510940272,1691
predictive_uncertainty,"(-0.001, 0.1]",0.07845699919945924,0.05542168674698795,415
predictive_uncertainty,"(0.1, 0.2]",0.1493775942534989,0.15631005765534914,1561
predictive_uncertainty,"(0.2, 0.3]",0.24414265695153153,0.32779316712834716,1083
predictive_uncertainty,"(0.3, 0.4]",0.34444212598693164,0.3333333333333333,447
predictive_uncertainty,"(0.4, 0.5]",0.4498971620543642,0.3551020408163265,245
predictive_uncertainty,"(0.5, 0.6]",0.5499716431953093,0.4485294117647059,272
predictive_uncertainty,"(0.6, 0.7]",0.6526887538765284,0.5848375451263538,277
predictive_uncertainty,"(0.7, 0.8]",0.7515031129441148,0.6903914590747331,281
predictive_uncertainty,"(0.8, 0.9]",0.8611267138508725,0.9061522419186653,959
predictive_uncertainty,"(0.9, 1.0]",0.9364300965331391,0.9499036608863198,1557
