application,policy,mean_operator_minutes
commercial,coverage_matched_no_consensus,6.8375
commercial,mandatory_intervention,10.8375
commercial,operator_budget_matched_escalation,7.9625
commercial,original_safe,6.675
commercial,same_score_no_consensus,7.9625
humanitarian,coverage_matched_no_consensus,6.85
humanitarian,mandatory_intervention,10.9875
humanitarian,operator_budget_matched_escalation,7.7
humanitarian,original_safe,6.775
humanitarian,same_score_no_consensus,7.7
utility_restoration,coverage_matched_no_consensus,5.1375
utility_restoration,mandatory_intervention,11.75
utility_restoration,operator_budget_matched_escalation,6.3125
utility_restoration,original_safe,4.9125
utility_restoration,same_score_no_consensus,6.3125
