figure,source_data,source_data_rows,data_derived
figures/pdf/generalized_entropic_architecture.pdf,figures/data/architecture.csv,8,True
figures/pdf/independent_agent_operator_flow.pdf,figures/data/agent_operator_flow.csv,7,True
figures/pdf/entropy_family_curves.pdf,figures/data/entropy_family_curves.csv,900,True
figures/pdf/entropy_spectrum_examples.pdf,figures/data/entropy_spectrum_examples.csv,20,True
figures/pdf/uncertainty_disagreement_phase_plane.pdf,figures/data/uncertainty_disagreement_phase_plane.csv,1400,True
figures/pdf/graph_weighted_consensus_network.pdf,figures/data/graph_weighted_consensus_network.csv,22,True
figures/pdf/risk_coverage.pdf,figures/data/risk_coverage.csv,232,True
figures/pdf/harm_coverage.pdf,figures/data/harm_coverage.csv,232,True
figures/pdf/utility_coverage.pdf,figures/data/utility_coverage.csv,232,True
figures/pdf/operator_workload_service_pareto.pdf,figures/data/operator_workload_service_pareto.csv,6,True
figures/pdf/communication_safety_pareto.pdf,figures/data/communication_safety_pareto.csv,4,True
figures/pdf/entropy_family_effect_forest.pdf,figures/data/entropy_family_effect_forest.csv,18,True
figures/pdf/primary_dynamic_effect_forest.pdf,figures/data/primary_dynamic_effect_forest.csv,6,True
figures/pdf/fragmented_public_interaction.pdf,figures/data/fragmented_public_interaction.csv,3,True
figures/pdf/v5_same_score_abstention.pdf,figures/data/v5_same_score_abstention.csv,15,True
figures/pdf/coverage_matched_escalation.pdf,figures/data/coverage_matched_escalation.csv,15,True
figures/pdf/sequential_rl_learning_curves.pdf,figures/data/sequential_rl_learning_curves.csv,500,True
figures/pdf/rl_seed_evaluation.pdf,figures/data/rl_seed_evaluation.csv,25,True
figures/pdf/qwen_agent_evaluation.pdf,figures/data/qwen_agent_evaluation.csv,3,True
figures/pdf/calibration_conformal_risk.pdf,figures/data/calibration_conformal_risk.csv,20,True
figures/pdf/regime_heterogeneity.pdf,figures/data/regime_heterogeneity.csv,14,True
figures/pdf/consensus_recovery_timing.pdf,figures/data/consensus_recovery_timing.csv,12,True
figures/pdf/utility_cyber_physical_network.pdf,figures/data/utility_cyber_physical_network.csv,53,True
figures/pdf/entropy_family_ablation.pdf,figures/data/entropy_family_ablation.csv,24,True
figures/pdf/operator_dashboard.pdf,figures/data/operator_dashboard.csv,1,True
figures/pdf/matched_operator_dashboard.pdf,figures/data/matched_operator_dashboard.csv,1,True
figures/pdf/causal_chain_funnel.pdf,figures/data/causal_chain_funnel.csv,12,True
