application,feature_block,coverage_target,mean,sem
humanitarian,action_value_margin,0.25,2.0944444444444446,0.10736307296511616
humanitarian,action_value_margin,0.5,4.338888888888889,0.18072271782479904
humanitarian,action_value_margin,0.75,6.805555555555555,0.24815860927701175
humanitarian,action_value_margin,1.0,9.544444444444444,0.3098148485166653
humanitarian,always_act,0.25,2.45,0.15880430785614258
humanitarian,always_act,0.5,4.955555555555556,0.22572350359647375
humanitarian,always_act,0.75,7.138888888888889,0.25925020675277916
humanitarian,always_act,1.0,9.544444444444444,0.3098148485166653
humanitarian,calibrated_max_probability,0.25,0.9444444444444444,0.08290288164692775
humanitarian,calibrated_max_probability,0.5,2.716666666666667,0.16792356601247593
humanitarian,calibrated_max_probability,0.75,5.466666666666667,0.25080874772017203
humanitarian,calibrated_max_probability,1.0,9.544444444444444,0.3098148485166653
humanitarian,combined_generalized_entropic,0.25,0.6777777777777778,0.07745788609886502
humanitarian,combined_generalized_entropic,0.5,2.4833333333333334,0.17484141968081382
humanitarian,combined_generalized_entropic,0.75,5.5,0.2562078416062995
humanitarian,combined_generalized_entropic,1.0,9.544444444444444,0.3098148485166653
humanitarian,conformal_risk_control,0.25,1.1,0.09055316589444645
humanitarian,conformal_risk_control,0.5,3.1777777777777776,0.17478470494377227
humanitarian,conformal_risk_control,0.75,6.016666666666667,0.25377045009374544
humanitarian,conformal_risk_control,1.0,9.544444444444444,0.3098148485166653
humanitarian,ensemble_variance_proxy,0.25,1.3333333333333333,0.10422484408905566
humanitarian,ensemble_variance_proxy,0.5,3.2,0.17955735628525904
humanitarian,ensemble_variance_proxy,0.75,5.738888888888889,0.2536345226245239
humanitarian,ensemble_variance_proxy,1.0,9.544444444444444,0.3098148485166653
humanitarian,fixed_severity,0.25,2.5166666666666666,0.1554862619450068
humanitarian,fixed_severity,0.5,5.0055555555555555,0.201252629474511
humanitarian,fixed_severity,0.75,7.338888888888889,0.26498115938422656
humanitarian,fixed_severity,1.0,9.544444444444444,0.3098148485166653
humanitarian,generalized_tsallis_gini,0.25,0.6888888888888889,0.07890029730153082
humanitarian,generalized_tsallis_gini,0.5,2.5166666666666666,0.17590327317758248
humanitarian,generalized_tsallis_gini,0.75,5.5,0.2570544121884979
humanitarian,generalized_tsallis_gini,1.0,9.544444444444444,0.3098148485166653
humanitarian,gini_simpson,0.25,2.1277777777777778,0.10512342530192856
humanitarian,gini_simpson,0.5,4.338888888888889,0.1779537265557801
humanitarian,gini_simpson,0.75,6.9,0.24564487142085686
humanitarian,gini_simpson,1.0,9.544444444444444,0.3098148485166653
humanitarian,graph_disagreement,0.25,2.188888888888889,0.10710016917667108
humanitarian,graph_disagreement,0.5,4.5055555555555555,0.18384425543345032
