cluster_id,application,regime,information_condition,environment_seed,topology_family,scenario_family,split_family,coverage_target,eligible_decisions,selected_actions,action_coverage,harmful_actions,harmful_action_rate,beneficial_actions,neutral_actions,mean_causal_utility,total_causal_utility,feature_block
commercial|compound|private_fragmented|60941,commercial,compound,private_fragmented,60941,commercial_v6_topology_1,commercial_compound_family_1,commercial_v6_split_1,0.25,20,5,0.25,1,0.2,4,0,0.15935255687734712,0.7967627843867355,kpi_confidence
commercial|compound|private_fragmented|60942,commercial,compound,private_fragmented,60942,commercial_v6_topology_2,commercial_compound_family_2,commercial_v6_split_2,0.25,20,5,0.25,3,0.6,2,0,0.05485300242296195,0.27426501211480975,kpi_confidence
commercial|compound|private_fragmented|60943,commercial,compound,private_fragmented,60943,commercial_v6_topology_3,commercial_compound_family_3,commercial_v6_split_3,0.25,20,5,0.25,1,0.2,4,0,0.23603374473043853,1.1801687236521927,kpi_confidence
commercial|compound|private_fragmented|60944,commercial,compound,private_fragmented,60944,commercial_v6_topology_4,commercial_compound_family_4,commercial_v6_split_4,0.25,20,5,0.25,3,0.6,2,0,-0.003094308295587339,-0.015471541477936696,kpi_confidence
commercial|compound|private_fragmented|60945,commercial,compound,private_fragmented,60945,commercial_v6_topology_0,commercial_compound_family_0,commercial_v6_split_0,0.25,20,5,0.25,1,0.2,4,0,0.25765295927409637,1.2882647963704819,kpi_confidence
commercial|partition|private_fragmented|60941,commercial,partition,private_fragmented,60941,commercial_v6_topology_1,commercial_partition_family_1,commercial_v6_split_1,0.25,20,5,0.25,2,0.4,3,0,0.15974268635706806,0.7987134317853403,kpi_confidence
commercial|partition|private_fragmented|60942,commercial,partition,private_fragmented,60942,commercial_v6_topology_2,commercial_partition_family_2,commercial_v6_split_2,0.25,20,5,0.25,1,0.2,4,0,0.1853847773320151,0.9269238866600755,kpi_confidence
commercial|partition|private_fragmented|60943,commercial,partition,private_fragmented,60943,commercial_v6_topology_3,commercial_partition_family_3,commercial_v6_split_3,0.25,20,5,0.25,2,0.4,3,0,0.05518759046016684,0.2759379523008342,kpi_confidence
commercial|partition|private_fragmented|60944,commercial,partition,private_fragmented,60944,commercial_v6_topology_4,commercial_partition_family_4,commercial_v6_split_4,0.25,20,5,0.25,3,0.6,2,0,0.03983538181213711,0.19917690906068555,kpi_confidence
commercial|partition|private_fragmented|60945,commercial,partition,private_fragmented,60945,commercial_v6_topology_0,commercial_partition_family_0,commercial_v6_split_0,0.25,20,5,0.25,3,0.6,2,0,-0.028052330692972204,-0.14026165346486102,kpi_confidence
commercial|telemetry_integrity|private_fragmented|60941,commercial,telemetry_integrity,private_fragmented,60941,commercial_v6_topology_1,commercial_telemetry_integrity_family_1,commercial_v6_split_1,0.25,20,5,0.25,0,0.0,5,0,0.16678744613413535,0.8339372306706767,kpi_confidence
commercial|telemetry_integrity|private_fragmented|60942,commercial,telemetry_integrity,private_fragmented,60942,commercial_v6_topology_2,commercial_telemetry_integrity_family_2,commercial_v6_split_2,0.25,20,5,0.25,3,0.6,2,0,0.011544856102473699,0.0577242805123685,kpi_confidence
commercial|telemetry_integrity|private_fragmented|60943,commercial,telemetry_integrity,private_fragmented,60943,commercial_v6_topology_3,commercial_telemetry_integrity_family_3,commercial_v6_split_3,0.25,20,5,0.25,1,0.2,4,0,0.09694948521015033,0.48474742605075166,kpi_confidence
