method,rl_seed,episode_index,application,regime,information_condition,environment_seed,service_loss,net_causal_utility,harmful_actions,beneficial_actions,autonomous_completed_actions,autonomous_harmful_actions,autonomous_harm_rate,operator_minutes,operational_messages,operational_bytes,sketch_messages,sketch_bytes,total_messages,total_bytes,trajectory_reward,delegation_execute_autonomously,delegation_communicate,delegation_request_evidence,delegation_defer,delegation_abstain,delegation_escalate_operator
ppo_combined_generalized_entropic,66205,0,commercial,isolated_physical,public_shared,66410,1.6724260626100003,3.227082937394723,2,11,10,1,0.1,20.17652386825233,52,8240,72,7200,124,15440,1.1581594446127406,10,0,0,2,0,12
ppo_combined_generalized_entropic,66205,1,humanitarian,isolated_physical,private_fragmented,66401,5.603430356372401,-1.0076046306242157,11,1,10,10,1.0,20.642163917396765,52,8240,102,10200,154,18440,-2.8264951673403345,11,0,0,0,3,10
ppo_combined_generalized_entropic,66205,2,utility_restoration,isolated_physical,private_fragmented,66402,2.7313718015809707,1.4351936436961024,4,6,5,0,0.0,15.40747837779951,58,8996,98,9800,156,18796,1.3730363154359917,5,1,2,4,8,4
ppo_combined_generalized_entropic,66205,3,commercial,telemetry_integrity,private_fragmented,66403,3.7188952682336205,0.467075120328418,11,7,13,9,0.6923076923076923,20.743215814609346,56,8744,114,11400,170,20144,-0.9490982936460889,13,2,0,1,3,5
ppo_combined_generalized_entropic,66205,4,humanitarian,telemetry_integrity,public_shared,66404,2.1233890644580735,2.1599586516618174,1,7,6,0,0.0,20.193309901415212,52,8240,66,6600,118,14840,1.1219160036911289,6,0,0,0,1,17
ppo_combined_generalized_entropic,66205,5,utility_restoration,telemetry_integrity,private_fragmented,66405,6.112977167691841,0.023563978958845738,7,3,7,5,0.7142857142857143,20.20180652085567,56,8744,122,12200,178,20944,-1.6323577310179436,7,1,1,3,2,10
ppo_combined_generalized_entropic,66205,6,commercial,partition,private_fragmented,66406,4.631867988761353,0.04269797093120882,8,3,7,4,0.5714285714285714,20.927434543833776,26,4348,53,5300,79,9648,-0.3114868829084527,7,1,1,1,8,6
ppo_combined_generalized_entropic,66205,7,humanitarian,partition,private_fragmented,66407,4.7850003256765,1.0463194015566657,3,4,6,2,0.3333333333333333,20.995718602703707,24,4096,61,6100,85,10196,-1.506951068063616,11,0,0,0,3,10
ppo_combined_generalized_entropic,66205,8,utility_restoration,partition,public_shared,66408,1.2408517222829474,1.9166781346923252,4,8,7,0,0.0,20.740269468669762,27,4474,40,4000,67,8474,1.6464095185687107,9,0,3,1,7,4
ppo_combined_generalized_entropic,66205,9,commercial,correlated,private_fragmented,66409,1.4258837669566229,4.064779935827401,1,13,12,1,0.08333333333333333,20.167799025929284,52,8240,104,10400,156,18640,2.2839132846137495,12,0,0,0,4,8
ppo_combined_generalized_entropic,66205,10,humanitarian,correlated,private_fragmented,66410,0.9643222014217471,3.775042669123776,5,13,14,3,0.21428571428571427,21.51361541305798,52,8240,118,11800,170,20040,2.290950158266953,16,0,0,0,2,6
ppo_combined_generalized_entropic,66205,11,utility_restoration,correlated,private_fragmented,66401,2.491541615631589,2.050532890853696,1,10,11,1,0.09090909090909091,5.041359465170692,49,7388,92,9200,141,16588,1.8600141329751412,11,0,0,4,8,1
ppo_combined_generalized_entropic,66205,12,commercial,compound,public_shared,66402,5.502528541706124,-0.28362056162172183,10,0,2,2,1.0,20.619643349112735,56,8524,73,7300,129,15824,-0.6978971088033578,2,2,6,0,8,6
ppo_combined_generalized_entropic,66205,13,humanitarian,compound,private_fragmented,66403,6.732743078205852,0.7553608179920641,3,4,6,3,0.5,20.659901080767924,46,7352,104,10400,150,17752,-0.18230585426229548,6,0,0,0,3,15
ppo_combined_generalized_entropic,66205,14,utility_restoration,compound,private_fragmented,66404,3.046053250158815,0.4623750245184514,4,2,3,1,0.3333333333333333,20.341108973317375,46,7308,96,9600,142,16908,0.10905143179597962,3,0,0,2,12,7
ppo_combined_generalized_entropic,66205,15,commercial,ood,private_fragmented,66401,2.2611986158169546,2.5610109616754597,6,9,10,2,0.2,20.338885518005128,46,7264,82,8200,128,15464,2.749685705352404,10,1,1,0,3,9
ppo_combined_generalized_entropic,66205,16,humanitarian,ood,public_shared,66402,3.584443795090594,1.818155077474512,2,5,5,1,0.2,20.21413650597936,45,7204,68,6800,113,14004,0.3009456529955538,5,0,0,0,4,15
ppo_combined_generalized_entropic,66205,17,utility_restoration,ood,private_fragmented,66403,2.600508091527351,3.4318313417232194,3,11,11,1,0.09090909090909091,21.36941971658492,43,6908,101,10100,144,17008,3.13362865172113,11,0,0,2,7,4
ppo_combined_generalized_entropic,66205,18,commercial,isolated_physical,private_fragmented,66404,2.9619324196240697,-0.16424867368320642,10,1,4,4,1.0,20.68669435314598,62,9500,90,9000,152,18500,-0.6879727035244969,4,1,4,1,6,8
ppo_combined_generalized_entropic,66205,19,humanitarian,isolated_physical,private_fragmented,66405,1.0909429430925204,2.618978379612195,1,12,11,1,0.09090909090909091,20.879825128131763,52,8240,110,11000,162,19240,1.189469077278823,11,0,0,0,2,11
