method,rl_seed,episode_index,application,regime,information_condition,environment_seed,service_loss,net_causal_utility,harmful_actions,beneficial_actions,autonomous_completed_actions,autonomous_harmful_actions,autonomous_harm_rate,operator_minutes,operational_messages,operational_bytes,sketch_messages,sketch_bytes,total_messages,total_bytes,trajectory_reward,delegation_execute_autonomously,delegation_communicate,delegation_request_evidence,delegation_defer,delegation_abstain,delegation_escalate_operator
ppo_predictive_uncertainty,66203,0,commercial,isolated_physical,public_shared,66408,4.305332235785007,0.5931654791578648,5,5,8,3,0.375,20.243369873697404,54,8492,76,7600,130,16092,-2.221531589869651,8,0,1,0,0,15
ppo_predictive_uncertainty,66203,1,humanitarian,isolated_physical,private_fragmented,66409,2.71846922041569,0.23346651006146316,0,1,0,0,0.0,20.197838762653056,52,8240,96,9600,148,17840,-0.21484430526103093,0,0,0,0,0,24
ppo_predictive_uncertainty,66203,2,utility_restoration,isolated_physical,private_fragmented,66410,6.23867994201296,0.26059115299782,6,6,9,4,0.4444444444444444,20.282713133497495,52,8240,98,9800,150,18040,-1.4075566922046177,9,0,0,1,1,13
ppo_predictive_uncertainty,66203,3,commercial,telemetry_integrity,private_fragmented,66401,4.42307166622212,0.22485963001929818,5,4,6,2,0.3333333333333333,20.847123971188505,54,8492,112,11200,166,19692,-0.6963588302066597,6,0,1,0,0,17
ppo_predictive_uncertainty,66203,4,humanitarian,telemetry_integrity,public_shared,66402,2.8015881585612115,0.13455300052246402,1,1,0,0,0.0,20.256072880210866,52,8240,76,7600,128,15840,-0.2782565284289032,0,0,0,0,2,22
ppo_predictive_uncertainty,66203,5,utility_restoration,telemetry_integrity,private_fragmented,66403,2.3691507235761273,1.0246667973112178,3,5,7,3,0.42857142857142855,20.225354579853843,52,8240,114,11400,166,19640,0.21802296265455343,7,0,0,5,1,11
ppo_predictive_uncertainty,66203,6,commercial,partition,private_fragmented,66404,5.029924135292438,0.24636309954092545,5,3,8,5,0.625,20.180979390158324,24,4096,53,5300,77,9396,-1.6707900955734623,8,0,0,1,0,15
ppo_predictive_uncertainty,66203,7,humanitarian,partition,private_fragmented,66405,2.774642585884633,-0.020324915179010854,2,0,0,0,0.0,20.622086624356058,24,4096,54,5400,78,9496,-0.4320662608023257,0,1,0,0,1,22
ppo_predictive_uncertainty,66203,8,utility_restoration,partition,public_shared,66406,5.339314671866079,0.6517896156481933,7,5,9,4,0.4444444444444444,20.89367079386318,24,4096,46,4600,70,8696,-1.1672368072989712,9,0,0,6,1,8
ppo_predictive_uncertainty,66203,9,commercial,correlated,private_fragmented,66407,6.108689065077394,0.22459546540512548,8,2,7,5,0.7142857142857143,20.232829711501306,54,8492,118,11800,172,20292,-1.1272970093721053,7,0,1,0,0,16
ppo_predictive_uncertainty,66203,10,humanitarian,correlated,private_fragmented,66408,4.929550891392491,0.18710445257721614,1,1,0,0,0.0,20.174457483092212,52,8240,104,10400,156,18640,-0.27447285277113875,0,0,0,0,0,24
ppo_predictive_uncertainty,66203,11,utility_restoration,correlated,private_fragmented,66409,3.0151030586312975,3.690536056919189,0,11,10,0,0.0,20.290127528460562,52,8240,110,11000,162,19240,2.4278704664299444,10,0,0,6,0,8
ppo_predictive_uncertainty,66203,12,commercial,compound,public_shared,66410,1.5582169231859655,4.967963017809846,3,15,14,0,0.0,20.238471524667148,48,7560,72,7200,120,14760,4.700253965357889,16,0,2,0,0,6
ppo_predictive_uncertainty,66203,13,humanitarian,compound,private_fragmented,66401,5.180498686692065,0.2480923732143907,1,1,0,0,0.0,20.866221145005834,48,7648,104,10400,152,18048,-0.17899061890576168,0,0,0,0,2,22
ppo_predictive_uncertainty,66203,14,utility_restoration,compound,private_fragmented,66402,5.509540014332735,0.5129661293815813,7,4,8,5,0.625,21.58633790904627,42,6760,101,10100,143,16860,-0.2862161903081092,8,0,0,8,0,8
ppo_predictive_uncertainty,66203,15,commercial,ood,private_fragmented,66403,4.471244232163149,1.5669344669164709,2,5,4,0,0.0,20.739654047560613,46,7308,103,10300,149,17608,0.9636225408661403,4,0,1,0,0,19
