evidence_stage,application,regime,information_condition,independent_panels,activation_rate,timely_activation_rate,pre_disruption_false_activation_rate,nominal_false_activation_rate,mean_operator_requests,mean_operator_interventions,mean_operator_minutes,mean_active_agent_epoch_fraction,low_confidence_decisions,confirmatory
development,commercial,compound,globally_public,12,1.0,1.0,0.0,0.0,3.0,1.0,8.0,0.21,0,False
development,commercial,compound,private_fragmented,12,1.0,1.0,0.0,0.0,3.0,1.0,8.0,0.21,0,False
development,commercial,correlated,globally_public,12,1.0,1.0,0.0,0.0,2.0,1.0,8.0,0.14000000000000004,0,False
development,commercial,correlated,private_fragmented,12,1.0,1.0,0.0,0.0,2.0,1.0,8.0,0.14000000000000004,0,False
development,commercial,isolated_physical,globally_public,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,commercial,isolated_physical,private_fragmented,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,commercial,nominal,globally_public,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
development,commercial,nominal,private_fragmented,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
development,commercial,partition,globally_public,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,commercial,partition,private_fragmented,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,commercial,telemetry_integrity,globally_public,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,commercial,telemetry_integrity,private_fragmented,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,humanitarian,compound,globally_public,12,1.0,1.0,0.0,0.0,3.0,1.0,8.0,0.21,0,False
development,humanitarian,compound,private_fragmented,12,1.0,1.0,0.0,0.0,3.0,1.0,8.0,0.21,0,False
development,humanitarian,correlated,globally_public,12,1.0,1.0,0.0,0.0,2.0,1.0,8.0,0.14000000000000004,0,False
development,humanitarian,correlated,private_fragmented,12,1.0,1.0,0.0,0.0,2.0,1.0,8.0,0.14000000000000004,0,False
development,humanitarian,isolated_physical,globally_public,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,humanitarian,isolated_physical,private_fragmented,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,humanitarian,nominal,globally_public,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
development,humanitarian,nominal,private_fragmented,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
development,humanitarian,partition,globally_public,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,humanitarian,partition,private_fragmented,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,humanitarian,telemetry_integrity,globally_public,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,humanitarian,telemetry_integrity,private_fragmented,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,utility_restoration,compound,globally_public,12,1.0,1.0,0.0,0.0,3.0,1.0,8.0,0.21,0,False
development,utility_restoration,compound,private_fragmented,12,1.0,1.0,0.0,0.0,3.0,1.0,8.0,0.21,0,False
development,utility_restoration,correlated,globally_public,12,1.0,1.0,0.0,0.0,2.0,1.0,8.0,0.14000000000000004,0,False
development,utility_restoration,correlated,private_fragmented,12,1.0,1.0,0.0,0.0,2.0,1.0,8.0,0.14000000000000004,0,False
development,utility_restoration,isolated_physical,globally_public,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,utility_restoration,isolated_physical,private_fragmented,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,utility_restoration,nominal,globally_public,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
development,utility_restoration,nominal,private_fragmented,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
development,utility_restoration,partition,globally_public,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,utility_restoration,partition,private_fragmented,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,utility_restoration,telemetry_integrity,globally_public,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
development,utility_restoration,telemetry_integrity,private_fragmented,12,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.07000000000000002,0,False
