agents,application,beneficial_candidates,bounded_oracle_effect,bounded_oracle_harmful,bounded_oracle_interventions,bounded_oracle_loss,bounded_oracle_operator_minutes,candidate_count,cluster_id,complete_causal_chains,conservation_feasible,coordination_changed_outcome,coordination_loss_reduction,environment_seed,event_count,event_ledger_digest,fixed_accepted_actions,fixed_commitment_revisions,fixed_communication_loss,fixed_negotiations,fixed_operational_bytes,fixed_operational_messages,fixed_service_reaching_actions,harmful_candidates,incidents,information_condition,maximum_conservation_residual,no_communication_loss,operational_bytes,operational_messages,regime,run_id,sketch_bytes,sketch_latency,sketch_messages,sketch_policy,status,stochastic_tape_digest
12,commercial,4,0.1290624439640169,0,2,1.6899133952914118,13.0,36,commercial|nominal|private_fragmented|51001,1,True,True,0.36192471872071996,51001,185,79986aea7deac603b405fbbbe5f3c1ec48d2df2921841b4dec2b962d076fb9a8,4,3,1.8189758392554287,4,1449,12,3,28,4,private_fragmented,0.0,2.1809005579761487,1449,12,nominal,v5-commercial-nominal-private_fragmented-event_triggered-e51001,3577,0.04,20,event_triggered,complete,c9d3e01b760faaa42008cf1dbc3ed7e4d0bac3993b302c4c654095f5ab5ab185
12,commercial,4,0.12746926634411798,0,2,1.4204708148395193,15.0,36,commercial|nominal|private_fragmented|51002,1,True,True,0.4538924235320887,51002,189,fcbfacb56ae0b495ec2259c6fd85b661e46990d93b15df0bbe02457989f78b36,4,0,1.5479400811836372,4,1416,12,3,28,4,private_fragmented,0.0,2.001832504715726,1416,12,nominal,v5-commercial-nominal-private_fragmented-event_triggered-e51002,4283,0.048,24,event_triggered,complete,86c7e5e3fb6f4147c0cfbd31f2020c5ba158299ebe6a80750353e9e0b71e91f8
12,commercial,4,0.12136316754241316,0,2,1.389050603305762,13.0,36,commercial|nominal|private_fragmented|51003,1,True,True,0.39668190708163586,51003,188,417ba1c426668fac0bea2e8acc08537d1401f81bb202391696eb0be37768ab0c,4,1,1.510413770848175,4,1419,12,4,28,4,private_fragmented,0.0,1.907095677929811,1419,12,nominal,v5-commercial-nominal-private_fragmented-event_triggered-e51003,4116,0.046000000000000006,23,event_triggered,complete,8fd73bfa99c484f6c73e89351fee2e497c3bd56aea7e3863a7e9d239c81c6ef1
12,commercial,4,0.0981458112913689,0,2,1.158239435497191,8.0,36,commercial|nominal|private_fragmented|51004,2,True,False,0.0,51004,191,31d3f483530ee6ee7a174e56c78cf9fa42b4478de6b0a72fb17750dd3821b24a,4,2,1.25638524678856,4,1431,12,4,28,4,private_fragmented,0.0,1.25638524678856,1431,12,nominal,v5-commercial-nominal-private_fragmented-event_triggered-e51004,4303,0.048,24,event_triggered,complete,803be37cf03ea643cf2a3179d0c12b0c326e2b4360a227e4f99b17cb836cef8a
12,commercial,4,0.11538805250109418,0,2,1.2923149436190713,18.0,36,commercial|nominal|private_fragmented|51005,1,True,True,0.3732173466850075,51005,187,6fd456d8f6c2fe311ab50a8cb202e0d66c8d8e553e9144a8c31886974074e2f0,4,1,1.4077029961201655,4,1446,12,4,28,4,private_fragmented,0.0,1.780920342805173,1446,12,nominal,v5-commercial-nominal-private_fragmented-event_triggered-e51005,3581,0.04,20,event_triggered,complete,6d7d171740a1a1efbcf2ff74ebd97037f263d7b78ca308d34ddfbc5150c697eb
12,commercial,4,0.1306297975462118,0,2,1.5533065230264984,13.0,36,commercial|nominal|private_fragmented|51006,2,True,False,0.0,51006,187,e9b0d6c63f3bb298e3136a95d264d8ba2aef02a755af2f73336ad17a95ae66ad,4,2,1.6839363205727103,4,1434,12,4,28,4,private_fragmented,0.0,1.6839363205727103,1434,12,nominal,v5-commercial-nominal-private_fragmented-event_triggered-e51006,3569,0.04,20,event_triggered,complete,9cbbaad79e3ccf06ad67f5a9360a04114efd03e7e3ffdb00ba008b0c65b60166
12,commercial,4,0.12139184228584693,0,2,1.3017196673081974,13.0,36,commercial|nominal|private_fragmented|51007,1,True,False,0.0,51007,193,9536c1eaab0d1ed5b2bb35fc143fd11ce35aeccc344a649743cb4d347649c0f3,4,1,1.4231115095940443,4,1443,12,3,28,4,private_fragmented,0.0,1.4231115095940443,1443,12,nominal,v5-commercial-nominal-private_fragmented-event_triggered-e51007,4652,0.052000000000000005,26,event_triggered,complete,2a4aa37fe7b12de47303077e706f836e3edc2d3b78f6ab10b6371aa59075e51e
12,commercial,4,0.21878135214893507,0,2,1.3656156587013404,16.0,36,commercial|nominal|private_fragmented|51008,1,True,True,0.40470594952792127,51008,187,dd7e4f9942cb70cde3d036049da776155a0bcf3c8592df4e8ba7f62fad788dea,4,2,1.5843970108502754,4,1443,12,3,28,4,private_fragmented,0.0,1.9891029603781967,1443,12,nominal,v5-commercial-nominal-private_fragmented-event_triggered-e51008,3929,0.044000000000000004,22,event_triggered,complete,e6702b9747a4059745860a56a1c0ba1d0e2f8335215eb2330cc2db3335f6c0bd
12,commercial,4,0.12614895907443224,0,2,1.3379989483001689,8.0,36,commercial|nominal|private_fragmented|51009,2,True,False,0.0,51009,188,368ead541115deb9cc26d8fe6fdb627070f52b6ea16b21dcbcbe9437b545255d,4,3,1.464147907374601,4,1425,12,4,28,4,private_fragmented,0.0,1.464147907374601,1425,12,nominal,v5-commercial-nominal-private_fragmented-event_triggered-e51009,3767,0.042,21,event_triggered,complete,6696ce9a23f5a6cb1870c355d9710272a05a167462453e0209da7368708d5843
12,commercial,4,0.11494173546712066,0,2,1.4196169902214255,15.0,36,commercial|nominal|private_fragmented|51010,0,True,True,0.41073524253829174,51010,193,7c03d320d3bbaced27e9b93e5079a18c8098e0e398a5952968f7967765117aca,4,3,1.5345587256885462,4,1446,12,4,28,4,private_fragmented,0.0,1.945293968226838,1446,12,nominal,v5-commercial-nominal-private_fragmented-event_triggered-e51010,4655,0.052,26,event_triggered,complete,0821e40c88d38942426a4a7c030f4403fff5bb7d5cade1e146e3ed3106937d5f
