cluster_id,application,regime,information_condition,environment_seed,sketch_policy,incidents,agents,sketch_messages,sketch_bytes,sketch_latency,operational_messages,operational_bytes,maximum_conservation_residual,conservation_feasible,event_count,event_ledger_digest,stochastic_tape_digest,run_id,status,no_communication_loss,fixed_communication_loss,coordination_loss_reduction,coordination_changed_outcome,fixed_operational_messages,fixed_operational_bytes,fixed_accepted_actions,fixed_service_reaching_actions,fixed_negotiations,fixed_commitment_revisions,bounded_oracle_loss,bounded_oracle_effect,bounded_oracle_interventions,bounded_oracle_operator_minutes,bounded_oracle_harmful,complete_causal_chains,candidate_count,beneficial_candidates,harmful_candidates
commercial|nominal|private_fragmented|51101,commercial,nominal,private_fragmented,51101,event_triggered,4,12,26,4646,0.052000000000000005,12,1449,0.0,True,189,d588d20de5ad9fde091a2f6921ee0572f9235a9622a0c7f2fb090fe3c935162d,16239d668fc43432fc0f68ec758a6626a8544690b78549546c502ad7c1073886,v5-commercial-nominal-private_fragmented-event_triggered-e51101,complete,1.6979913608527821,1.6979913608527821,0.0,False,12,1449,3,2,4,1,1.558424972613008,0.13956638823977413,2,15.0,0,1,36,6,26
commercial|nominal|private_fragmented|51102,commercial,nominal,private_fragmented,51102,event_triggered,4,12,23,4121,0.046,12,1419,0.0,True,188,1c27371e3d11c341ce0f14fa55e377cdf2c5ad3b6664312841e49dc023d6deed,7b023f79095f57b471ce2eed61deb9a95517c0473129ec436006114af87390a6,v5-commercial-nominal-private_fragmented-event_triggered-e51102,complete,1.6048530962996854,1.6048530962996854,0.0,False,12,1419,4,3,4,0,1.4889719488779318,0.11588114742175365,2,10.0,0,0,36,4,28
commercial|nominal|private_fragmented|51103,commercial,nominal,private_fragmented,51103,event_triggered,4,12,25,4461,0.05,12,1482,0.0,True,192,4f67e8704ad5ba6042cd268b1b18520ad1e4d083300e942ef909e35197b2d85e,cd52696f596bec2f622da92fb7cffed083c7cbc726c2dfb2cf8cd01bef18aa77,v5-commercial-nominal-private_fragmented-event_triggered-e51103,complete,1.1485865198332128,1.1485865198332128,0.0,False,12,1482,4,4,4,2,1.0563045931055561,0.09228192672765675,2,13.0,0,1,36,4,28
commercial|nominal|private_fragmented|51104,commercial,nominal,private_fragmented,51104,event_triggered,4,12,23,4116,0.046,12,1410,0.0,True,190,a3744daef0a0cf1472850945cf7bf0d46da8491a8a84429ca3f47c9ff02f5224,c3e181fc3ab782a13eef01ec7b8ab78378fa2f09fc843a5d77fc4d0b96570f64,v5-commercial-nominal-private_fragmented-event_triggered-e51104,complete,1.4962955435119496,1.4962955435119496,0.0,False,12,1410,4,4,4,1,1.373678942254647,0.12261660125730262,2,10.0,0,1,36,4,28
commercial|nominal|private_fragmented|51105,commercial,nominal,private_fragmented,51105,event_triggered,4,12,24,4293,0.048,12,1431,0.0,True,189,4ccc83caf9f6186c10e714d83267a5ba7a233a5b8e998c31aefa896e1322110c,414b520b2b62e97c1f8d827012b3f8d6422ab4f6079faa32037d4b5c14e4ac1d,v5-commercial-nominal-private_fragmented-event_triggered-e51105,complete,2.0239360652412097,1.5856983765517676,0.43823768868944213,True,12,1431,4,3,4,1,1.4704754804047728,0.11522289614699482,2,13.0,0,0,36,4,28
commercial|nominal|private_fragmented|51106,commercial,nominal,private_fragmented,51106,event_triggered,4,12,25,4482,0.05,12,1431,0.0,True,190,1ec8ed96c46dca9cad068cfe36429651471dce4a4a4df20f2b18c31354b94677,ab0743fa176ad8427416a679b2c0f7579b308c602f0e1ac3c6c74b5e24d6f165,v5-commercial-nominal-private_fragmented-event_triggered-e51106,complete,1.4937317598613,1.4937317598613,0.0,False,12,1431,3,3,4,0,1.373047435043644,0.12068432481765612,2,13.0,0,2,36,5,27
commercial|nominal|private_fragmented|51107,commercial,nominal,private_fragmented,51107,event_triggered,4,12,21,3753,0.042,12,1479,0.0,True,188,8441d38a4614838bd02216820186f3bf08019d9257d5a526677492d74bb3fa51,fffd76285cbbf51f4a4678f943a2ec024a8b2a1d6c2583d80586a70cfa8193fd,v5-commercial-nominal-private_fragmented-event_triggered-e51107,complete,1.4285389035626028,1.4285389035626028,0.0,False,12,1479,4,4,4,1,1.3028988751656623,0.1256400283969405,2,15.0,0,1,36,4,28
commercial|nominal|private_fragmented|51108,commercial,nominal,private_fragmented,51108,event_triggered,4,12,24,4292,0.048,12,1422,0.0,True,191,eaafe23862dcf132503c63762e8d9752af9146763ef8d65ac20db5f4648497f1,ec4e4212fcf1f235764d9f74d7be34c5b8ade16916d624f9c8d08251f9a52684,v5-commercial-nominal-private_fragmented-event_triggered-e51108,complete,1.6364239120787232,1.2302431309124715,0.40618078116625167,True,12,1422,4,4,4,1,1.108967716350319,0.1212754145621524,2,13.0,0,1,36,4,28
commercial|nominal|private_fragmented|51109,commercial,nominal,private_fragmented,51109,event_triggered,4,12,22,3951,0.044,12,1470,0.0,True,189,4871a258845cecf30a08055cb9bcd9e5ea8c33709c5e6d3ab05de92aca0598ec,d1f9dc2e780e728638cce0f2658c70266f00fcb252571ddae07a7c8233f8a915,v5-commercial-nominal-private_fragmented-event_triggered-e51109,complete,1.9084647391312735,1.9084647391312735,0.0,False,12,1470,4,4,4,1,1.75291416705647,0.15555057207480327,2,15.0,0,2,36,4,28
commercial|nominal|private_fragmented|51110,commercial,nominal,private_fragmented,51110,event_triggered,4,12,27,4831,0.054000000000000006,12,1437,0.0,True,194,13650a92a0c2f47daa8dcb3a57e542973406209a6c5ab45a486d065c256f3600,f0546c9317f780a8732de66a36cca7af60d8e36974c8b581f5b8fca659a02ea3,v5-commercial-nominal-private_fragmented-event_triggered-e51110,complete,1.54024472349841,1.54024472349841,0.0,False,12,1437,4,4,4,2,1.414744090823187,0.12550063267522293,2,13.0,0,1,36,4,28
